"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"AADAT",75.2990271412555,0.896645344269966,0.305582735135832,0.000266635181045469,0.00280390402323937,".","aminoadipate_aminotransferase"
"ABCC1",382.083773012321,-0.645109650747271,0.224358208354943,0.000518232407826036,0.00469002105311065,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1"
"ABCC3",363.901135202171,0.518873599095823,0.188536119116699,0.00113690065094025,0.00858387095376852,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCE1",541.057467022364,0.519402675198069,0.154933467810541,0.000165134194892808,0.00194027608802554,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCG2",362.413050001367,0.633154029422086,0.165296983886621,1.92935286143713e-05,0.000347536900987953,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD16A",59.7866929717842,0.704133765428151,0.405909826224591,0.0066061888678233,0.0327266597391782,".","abhydrolase_domain_containing_16A"
"ABHD2",372.781619663872,-0.425316642459997,0.176790077709581,0.00425651773216503,0.0235679508342079,".","abhydrolase_domain_containing_2"
"ABHD5",103.171029195507,0.586939020910161,0.257613384355025,0.00314679153221552,0.0187537836752336,"CHANARIN-DORFMAN_SYNDROME__CDS","abhydrolase_domain_containing_5"
"ABI1",404.798631178416,0.541545416833223,0.172591858438114,0.000317885442890828,0.00323307006058775,".","abl-interactor_1"
"ABL1",384.277200970696,-0.698582617874102,0.162332686408697,2.20025490672696e-06,5.98431936529336e-05,"LEUKEMIA__CHRONIC_MYELOID__CML","c-abl_oncogene_1__non-receptor_tyrosine_kinase"
"ABL2",110.12679989654,-0.528803134954056,0.246043914913091,0.00512404689455211,0.0271052199639641,".","c-abl_oncogene_2__non-receptor_tyrosine_kinase"
"ACAT1",223.603337729043,0.544745953444312,0.196901375314107,0.000997546768957319,0.00772998105630284,"ALPHA-METHYLACETOACETIC_ACIDURIA","acetyl-CoA_acetyltransferase_1"
"ACAT2",334.02880812331,0.448661539081103,0.177334651163613,0.00279761385232508,0.0171409640052158,".","acetyl-CoA_acetyltransferase_2"
"ACBD6",295.747500782353,0.435132320676123,0.201576860195265,0.00747640560216771,0.0359084393128625,".","acyl-CoA_binding_domain_containing_6"
"ACLY",1126.13068615012,-0.61148644474387,0.130205581507709,4.39778631999249e-07,1.78911637534949e-05,".","ATP_citrate_lyase"
"ACO1",85.9139550748962,0.933584582971592,0.315326072199718,0.000239793306483296,0.00259379496759877,".","aconitase_1__soluble"
"ACOT13",608.062215941095,0.463545431147608,0.164471758337546,0.00116034868646923,0.00871714220562681,".","acyl-CoA_thioesterase_13"
"ACP1",2329.46565767799,0.545142800605343,0.125734694970794,2.93169746172467e-06,7.70012801979536e-05,".","acid_phosphatase_1__soluble"
"ACSL3",1068.4332095576,0.797518796117,0.138227955917493,9.15215784654572e-10,1.14116711019072e-07,".","acyl-CoA_synthetase_long-chain_family_member_3"
"ACTG1",22382.4308314187,-0.35523179521501,0.102461295260943,0.000208313762069249,0.00230103705946356,"BARAITSER-WINTER_SYNDROME_2__BRWS2,DEAFNESS__AUTOSOMAL_DOMINANT_20__DFNA20","actin__gamma_1"
"ACTN4",3011.6823602076,-0.440904163534367,0.113936718797202,3.08568260519799e-05,0.000514334005078228,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_1__FSGS1","actinin__alpha_4"
"ACTR10",498.436150398538,0.6599908783499,0.185577673564251,5.12862469713486e-05,0.000765784225772811,".","actin-related_protein_10_homolog__S._cerevisiae"
"ACTR3",1119.47025930818,0.458148500649118,0.13137278733516,0.000127555621015615,0.00159333482365134,".","ARP3_actin-related_protein_3_homolog__yeast"
"ACVR1",216.722359306909,0.57718607339532,0.203836636652744,0.000738484859815047,0.00620266320469685,"FIBRODYSPLASIA_OSSIFICANS_PROGRESSIVA__FOP","activin_A_receptor__type_I"
"ACVR1B",133.136935594985,-0.764536068194516,0.247033752081473,0.000199612308740521,0.00223626344949561,".","activin_A_receptor__type_IB"
"ADA",179.496507942491,0.618809071750998,0.244007355900816,0.00148627444831142,0.0105051851045156,"SEVERE_COMBINED_IMMUNODEFICIENCY__AUTOSOMAL_RECESSIVE__T_CELL-NEGATIVE_","adenosine_deaminase"
"ADAM10",384.599022893379,-0.566819552155206,0.176825287850574,0.000230541768609824,0.00250955954696476,".","ADAM_metallopeptidase_domain_10"
"ADAR",2081.83595890775,-0.616929536228898,0.117784272544252,2.70356239187764e-08,1.89466441784068e-06,"AICARDI-GOUTIERES_SYNDROME_6__AGS6,DYSCHROMATOSIS_SYMMETRICA_HEREDITARIA__DSH","adenosine_deaminase__RNA-specific"
"ADD1",276.237578617042,-0.40134793114286,0.181238626927302,0.00760665688497476,0.0363702752752205,".","adducin_1__alpha"
"ADH5",845.081282917919,0.71849316264611,0.14476480163276,9.06624762705314e-08,5.0878410847598e-06,".","alcohol_dehydrogenase_5__class_III__chi_polypeptide"
"ADIPOR2",337.592637830376,-0.580484106899093,0.180015396836784,0.00020648699395927,0.00229188627630399,".","adiponectin_receptor_2"
"ADNP2",333.402359626365,-0.509973852110745,0.205426892009808,0.00244105344558702,0.015408648343906,".","ADNP_homeobox_2"
"ADRM1",486.280520536728,-0.354839491644094,0.160520340431865,0.00958751979339166,0.0432971672325274,".","adhesion_regulating_molecule_1"
"ADSL",682.497171479966,0.723489752836062,0.14648980038308,1.0177250882239e-07,5.5204398712077e-06,"ADENYLOSUCCINASE_DEFICIENCY","adenylosuccinate_lyase"
"AEN",252.123376866735,-0.521440666266522,0.186008316089804,0.000962269352118626,0.00756035028616279,".","apoptosis_enhancing_nuclease"
"AES",750.753439325554,-0.479499150164615,0.15576502920344,0.000478370981274095,0.00441619210693518,".","amino-terminal_enhancer_of_split"
"AFF1",132.111224335293,-0.471631955230295,0.252772231937173,0.0116310693102743,0.0496310650879749,".","AF4_FMR2_family__member_1"
"AGAP3",93.5268690597967,-0.748567929523336,0.304371010945004,0.00129385374680522,0.00938948588290017,".","ArfGAP_with_GTPase_domain__ankyrin_repeat_and_PH_domain_3"
"AGPAT2",104.90899431,-0.619786371366817,0.283189108926963,0.00344499850513061,0.0201066447706741,"LIPODYSTROPHY__CONGENITAL_GENERALIZED__TYPE_1__CGL1","1-acylglycerol-3-phosphate_O-acyltransferase_2"
"AGPAT5",169.126969763044,0.56889601016057,0.223701019364353,0.0017131108476537,0.0118157882531057,".","1-acylglycerol-3-phosphate_O-acyltransferase_5"
"AGPAT9",203.996092649865,0.740428664087724,0.196009545419024,1.84166715488599e-05,0.000336797073410673,".","1-acylglycerol-3-phosphate_O-acyltransferase_9"
"AGR2",3187.59566845505,0.453290732169954,0.127553764159306,0.00010183843542349,0.00132128488986612,".","anterior_gradient_2"
"AGRN",279.084814137543,-0.879038221808083,0.183218167124318,1.55123441170915e-07,7.79759245383221e-06,"MYASTHENIA__LIMB-GIRDLE__FAMILIAL","agrin"
"AHCTF1",176.935270047141,0.743062125033557,0.215734638067745,6.40466280090349e-05,0.000910980260021843,".","AT_hook_containing_transcription_factor_1"
"AHNAK2",408.4701454959,-0.607342248583491,0.175265661776688,8.26757527570057e-05,0.00113233937549217,".","AHNAK_nucleoprotein_2"
"AIMP1",434.625612643513,0.539742776971595,0.16567191997837,0.000213480520915936,0.0023531876938162,"LEUKODYSTROPHY__HYPOMYELINATING__3__HLD3","aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_1"
"AIMP2",595.093436003021,0.401354263427311,0.150115433847185,0.00230903903019814,0.0148090071669555,".","aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_2"
"AIP",143.457006801948,0.469053163401183,0.216988868218769,0.00641628033434258,0.0320680413795019,"PITUITARY_ADENOMA__ACTH-SECRETING,PITUITARY_ADENOMA__GROWTH_HORMONE-SECRETING,PITUITARY_ADENOMA__PROLACTIN-SECRETING","aryl_hydrocarbon_receptor_interacting_protein"
"AJUBA",352.398498499851,-0.447031722756217,0.173967628895219,0.00250915408374615,0.0157556496782517,".","ajuba_LIM_protein"
"AK2",492.041626378446,0.524719877593746,0.144175770607162,5.66166910459964e-05,0.000823601288988805,"RETICULAR_DYSGENESIS","adenylate_kinase_2"
"AKAP1",131.778855373725,0.563522084981405,0.225920162433286,0.00198571977334243,0.0132524843304579,".","A_kinase__PRKA__anchor_protein_1"
"AKAP17A",269.835054521828,-0.524945487342592,0.17494475760005,0.000519097149962921,0.00469257569318594,".","A_kinase__PRKA__anchor_protein_17A"
"AKAP9",68.2026287370852,0.850454839165805,0.34041351251352,0.00098624164998099,0.0076920439329549,"LONG_QT_SYNDROME_11__LQT11","A_kinase__PRKA__anchor_protein_9"
"AKIP1",167.913261103947,0.420683068830534,0.210942412142765,0.0114797396283987,0.0492920304884864,".","A_kinase__PRKA__interacting_protein_1"
"AKR1A1",361.782294104876,0.436171649558553,0.17338495685083,0.00307011429259074,0.0184341259056684,".","aldo-keto_reductase_family_1__member_A1__aldehyde_reductase"
"AKR1B1",3936.52903320191,0.552028895423792,0.15035317609205,4.55368441810731e-05,0.000701764431753584,".","aldo-keto_reductase_family_1__member_B1__aldose_reductase"
"AKR1B10",21072.1709630265,0.69389806481111,0.109816166060179,3.80368601888824e-11,9.12979736683649e-09,".","aldo-keto_reductase_family_1__member_B10__aldose_reductase"
"AKR1C2",17829.7603019512,0.59150398517106,0.123425189031691,2.94584336981888e-07,1.34042853998252e-05,"46_XY_SEX_REVERSAL_8__SRXY8","aldo-keto_reductase_family_1__member_C2"
"AKR1C3",17368.0927980028,0.493646020641602,0.104024089540186,5.08340585499788e-07,1.98769606144368e-05,".","aldo-keto_reductase_family_1__member_C3"
"AKT1",129.427437881807,-0.588672752017644,0.235597958873024,0.00179144919199998,0.0122330751723981,"BREAST_CANCER,COLORECTAL_CANCER__CRC,COWDEN_SYNDROME_6__CWS6,PROTEUS_SYNDROME","v-akt_murine_thymoma_viral_oncogene_homolog_1"
"AKT2",603.518550683884,-0.856227892387173,0.149242759837164,9.95099800713793e-10,1.19424414833164e-07,"DIABETES_MELLITUS__NONINSULIN-DEPENDENT__NIDDM,HYPOINSULINEMIC_HYPOGLYCEMIA_WITH_HEMIHYPERTROPHY__HIHGHH","v-akt_murine_thymoma_viral_oncogene_homolog_2"
"AKTIP",188.561272804393,0.467757635861385,0.202825091106661,0.00459118204796699,0.0248617816370733,".","AKT_interacting_protein"
"ALDH18A1",154.430799286835,0.725892978472631,0.227579723107604,0.000160145576784438,0.0018912148618787,"CUTIS_LAXA__AUTOSOMAL_RECESSIVE__TYPE_IIIA__ARCL3A","aldehyde_dehydrogenase_18_family__member_A1"
"ALDH1A1",17063.7777686099,0.974818813892032,0.127879860780865,2.32109827023856e-15,1.48565763283736e-12,".","aldehyde_dehydrogenase_1_family__member_A1"
"ALDH3A1",5044.52515712694,0.447569622054525,0.149142934165329,0.000704531103503141,0.00597017045431038,".","aldehyde_dehydrogenase_3_family__member_A1"
"ALDH9A1",252.835349104745,0.57907752088658,0.179281938334937,0.000207208922800434,0.00229717198959179,".","aldehyde_dehydrogenase_9_family__member_A1"
"ALYREF",542.805536538317,0.622981847503819,0.156357667230676,1.05931790158169e-05,0.000213218263586705,".","Aly_REF_export_factor"
"AMACR",114.909477027474,0.469454871165758,0.240166400919922,0.00999586452640499,0.0445544546508887,"ALPHA-METHYLACYL-CoA_RACEMASE_DEFICIENCY__AMACRD,BILE_ACID_SYNTHESIS_DEFECT__CONGENITAL__4__CBAS4","alpha-methylacyl-CoA_racemase"
"AMMECR1L",172.271200990925,-0.4419248032734,0.214310065577782,0.008904870843031,0.0410000042551934,".","AMMECR1-like"
"AMOTL2",245.152417355588,-0.814525488058301,0.187354053676852,1.42728274829797e-06,4.22942644024963e-05,".","angiomotin_like_2"
"AMZ2",581.139632212789,0.567854345907277,0.211274899873821,0.00114737848320525,0.00865355916516384,".","archaelysin_family_metallopeptidase_2"
"ANAPC10",166.1485705763,0.640104596507605,0.26346062094296,0.00182870886106896,0.0124168555693939,".","anaphase_promoting_complex_subunit_10"
"ANAPC13",293.039377788127,0.558536398066177,0.183916669053333,0.000416272221961797,0.0039807067759514,".","anaphase_promoting_complex_subunit_13"
"ANAPC4",115.41995895757,0.864928130171245,0.259382008376938,7.58402970041061e-05,0.00105681087305722,".","anaphase_promoting_complex_subunit_4"
"ANAPC5",401.724904473027,0.483742908142826,0.160876149191358,0.000599435673671128,0.0052474018970351,".","anaphase_promoting_complex_subunit_5"
"ANAPC7",459.320868207613,0.775235962129982,0.166111136842011,3.5152480151387e-07,1.51344825979133e-05,".","anaphase_promoting_complex_subunit_7"
"ANKFY1",265.52285215416,-0.756087384340128,0.19386366401797,1.07879604055703e-05,0.000216684535259164,".","ankyrin_repeat_and_FYVE_domain_containing_1"
"ANKRD13D",29.4563482105607,-0.746310489948191,0.543924854846404,0.00983327243911194,0.0440958658047238,".","ankyrin_repeat_domain_13_family__member_D"
"ANKRD52",337.081169147164,-0.465841952917579,0.169265810974543,0.00138735029152814,0.00991067719416789,".","ankyrin_repeat_domain_52"
"ANKS1A",59.0266767787518,-1.12353110348117,0.33927513880823,6.12838133935169e-05,0.000879500586533866,".","ankyrin_repeat_and_sterile_alpha_motif_domain_containing_1A"
"ANP32A",502.976879283231,0.561660384859835,0.163541678786612,0.000106981411621507,0.00138240717762865,".","acidic__leucine-rich__nuclear_phosphoprotein_32_family__member_A"
"ANP32B",1670.45003923346,0.707728072033905,0.143959492745708,1.17926814098402e-07,6.29008523421533e-06,".","acidic__leucine-rich__nuclear_phosphoprotein_32_family__member_B"
"ANTXR1",473.507227497931,-0.515269702664043,0.172870485262277,0.00057179629692157,0.00506184981159864,"GAPO_SYNDROME,HEMANGIOMA__CAPILLARY_INFANTILE","anthrax_toxin_receptor_1"
"ANXA1",10072.9042670489,1.10934817792324,0.107739781466941,6.17260664607219e-26,2.96315982044695e-22,".","annexin_A1"
"ANXA2",8500.9912388535,0.693821756025622,0.115484016691763,2.68492511263381e-10,4.25649708260873e-08,".","annexin_A2"
"ANXA3",239.39186450512,0.976613192096164,0.221422501977872,8.71319386364337e-07,2.93527629069614e-05,".","annexin_A3"
"ANXA4",2122.37351049932,0.353822927554843,0.142376413166668,0.00482913445435615,0.0258586279399182,".","annexin_A4"
"ANXA5",1260.81080364406,0.692639434913388,0.13187216033335,2.10218358552746e-08,1.52902004580676e-06,"PREGNANCY_LOSS__RECURRENT__SUSCEPTIBILITY_TO__3__RPRGL3","annexin_A5"
"ANXA6",167.656288481109,0.50247577948438,0.218421567285403,0.00403831234798303,0.0226074850454724,".","annexin_A6"
"ANXA7",596.119634398994,0.676399088592077,0.143026332354697,3.20863826611541e-07,1.40027890877155e-05,".","annexin_A7"
"AP1B1",200.124399659138,-0.413170882742755,0.199199882981076,0.00994660300351728,0.0444216156242236,".","adaptor-related_protein_complex_1__beta_1_subunit"
"AP2M1",994.601356866007,0.327749529713744,0.126591276902153,0.00409472335695981,0.0228549449103297,".","adaptor-related_protein_complex_2__mu_1_subunit"
"AP3B1",203.981145392169,-0.569160355894673,0.230259188697569,0.00204353859131218,0.0135160085550467,"HERMANSKY-PUDLAK_SYNDROME_1__HPS1,HERMANSKY-PUDLAK_SYNDROME_2__HPS2","adaptor-related_protein_complex_3__beta_1_subunit"
"APBA3",66.5622586988437,-0.729429520368068,0.327375357322515,0.00235630698351157,0.0150019252975428,".","amyloid_beta__A4__precursor_protein-binding__family_A__member_3"
"APOA1BP",634.622407202571,0.496884174927272,0.174501355302532,0.000931393354818841,0.00735992395030098,".","apolipoprotein_A-I_binding_protein"
"APOH",54.464269792415,0.699275671590474,0.369590348992837,0.00513291756152706,0.0271371924604743,".","apolipoprotein_H__beta-2-glycoprotein_I"
"APOL6",127.562793949727,-0.901419637856972,0.25334844728221,3.12268364060971e-05,0.000518274759950421,".","apolipoprotein_L__6"
"APRT",1099.40126482598,0.393303691180744,0.123855006956255,0.00049943973288761,0.0045624366084243,"ADENINE_PHOSPHORIBOSYLTRANSFERASE_DEFICIENCY__APRTD","adenine_phosphoribosyltransferase"
"APTX",253.107599829301,0.667622466204269,0.195302331682888,8.35209184078146e-05,0.0011422853812442,"ATAXIA__EARLY-ONSET__WITH_OCULOMOTOR_APRAXIA_AND_HYPOALBUMINEMIA_","aprataxin"
"AREG",706.245032315472,-0.401740141152219,0.13544185667693,0.000943585265850497,0.00744599896044289,".","amphiregulin"
"ARFGAP1",113.30955216186,-0.795022124597899,0.262547871590426,0.00023371537717343,0.00254122461635573,".","ADP-ribosylation_factor_GTPase_activating_protein_1"
"ARHGAP1",350.566430086942,-0.589760971230826,0.171834639705703,9.76533780768322e-05,0.00127908606127649,".","Rho_GTPase_activating_protein_1"
"ARHGAP10",49.7605080161842,-0.620344980914498,0.405593370798068,0.0114702296484891,0.0492732325973799,".","Rho_GTPase_activating_protein_10"
"ARHGAP23",79.3190982255692,-0.598790161475893,0.306362361826576,0.00606101890169967,0.0306919000396722,".","Rho_GTPase_activating_protein_23"
"ARHGAP35",387.588413623297,-0.907553803952017,0.198226716781819,4.26752415883735e-07,1.7584763712016e-05,".","Rho_GTPase_activating_protein_35"
"ARHGEF18",118.046770250684,-0.741101019823813,0.283354212917034,0.000873086190749189,0.00701464478442089,".","Rho_Rac_guanine_nucleotide_exchange_factor__GEF__18"
"ARID1A",288.514674670052,-0.738209127987693,0.176930160286706,3.58378215015149e-06,9.0309428933345e-05,"MENTAL_RETARDATION__AUTOSOMAL_DOMINANT_14__MRD14","AT_rich_interactive_domain_1A__SWI-like"
"ARL1",990.658657613007,0.522684830104368,0.137445962058831,3.01635501551294e-05,0.000505410549806976,".","ADP-ribosylation_factor-like_1"
"ARL6IP5",547.555067210472,0.456146498023342,0.152397395108084,0.000696904998728389,0.00591599017930262,".","ADP-ribosylation-like_factor_6_interacting_protein_5"
"ARL8A",230.987576986541,-0.64619081336908,0.194522829755016,0.00012304179893411,0.00155233155264965,".","ADP-ribosylation_factor-like_8A"
"ARMC5",24.0768089440104,-1.23903153470925,0.539792450274029,0.00106414348700913,0.00815390392559827,".","armadillo_repeat_containing_5"
"ARMC8",127.896020024716,0.512664898296288,0.250510811000697,0.00688998775410911,0.0338021320527346,".","armadillo_repeat_containing_8"
"ARNTL",34.5989851433218,0.703433899826941,0.501580045498113,0.0106401141915561,0.046646454955767,".","aryl_hydrocarbon_receptor_nuclear_translocator-like"
"ARPC1A",336.316514959944,0.693450023727127,0.167924126859594,4.82217391413069e-06,0.000114033723521105,".","actin_related_protein_2_3_complex__subunit_1A__41kDa"
"ARPC2",3385.34074827959,0.605272892636985,0.113666775167901,1.76665990064277e-08,1.32513294578682e-06,".","actin_related_protein_2_3_complex__subunit_2__34kDa"
"ARPC3",2685.49632912643,0.508085579744511,0.131397106604919,2.45820903145604e-05,0.000423721093554927,".","actin_related_protein_2_3_complex__subunit_3__21kDa"
"ARPC5",886.986219471288,0.300446342199358,0.128009300094292,0.00890803133802037,0.0410000042551934,".","actin_related_protein_2_3_complex__subunit_5__16kDa"
"ASAH1",282.983446517463,0.642396213292523,0.212574822722357,0.000338319152562972,0.00339060770747088,"FARBER_LIPOGRANULOMATOSIS,SPINAL_MUSCULAR_ATROPHY_WITH_PROGRESSIVE_MYOCLONIC_EPILEPSY__SMAPME","N-acylsphingosine_amidohydrolase__acid_ceramidase__1"
"ASCC3",246.110142979148,0.421399582799952,0.186600433535411,0.00631259426273902,0.0317149228239442,".","activating_signal_cointegrator_1_complex_subunit_3"
"ASF1A",243.720883310656,0.45722555099137,0.20393418858965,0.00559983590655657,0.0289365040575079,".","anti-silencing_function_1A_histone_chaperone"
"ASMTL",47.6792201038092,0.705740682418783,0.392046361313587,0.00590390652157189,0.0301187069679127,".","acetylserotonin_O-methyltransferase-like"
"ASNSD1",152.003382102294,0.559809829932831,0.223082237760077,0.0019355795461331,0.012995454001695,".","asparagine_synthetase_domain_containing_1"
"ASUN",260.794371750592,1.08412095822829,0.210106480254125,1.93251544754149e-08,1.4272369855266e-06,".","asunder_spermatogenesis_regulator"
"ATF1",419.058529647587,0.391742169181691,0.182958562692917,0.0095133484543378,0.0430838011840081,"HISTIOCYTOMA__ANGIOMATOID_FIBROUS","activating_transcription_factor_1"
"ATF3",376.601342252729,-0.355807858567836,0.157987510248785,0.00862818337277069,0.0400614871421562,".","activating_transcription_factor_3"
"ATF4",2022.51156288305,0.316842086588827,0.119657407503744,0.00364404828889589,0.0209625569932232,".","activating_transcription_factor_4"
