"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ABCB10",101.449433090128,-0.620246122979288,0.283034939818993,0.0016568711098229,0.0301658145193295,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCC3",363.901135202171,-0.535136830885592,0.18955302614377,0.000397247361921338,0.0102326524017445,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ACO1",85.9139550748962,-0.771371705337213,0.278628899066291,0.000301872238904877,0.00829151461683069,".","aconitase_1__soluble"
"ADAR",2081.83595890775,0.368448433826701,0.120713123567721,0.00037599620971312,0.00984083252490122,"AICARDI-GOUTIERES_SYNDROME_6__AGS6,DYSCHROMATOSIS_SYMMETRICA_HEREDITARIA__DSH","adenosine_deaminase__RNA-specific"
"ADI1",567.849112042488,0.509515664936138,0.215739613472821,0.00148439050676066,0.0277981980820668,".","acireductone_dioxygenase_1"
"ADM",849.835823785362,0.75764697263335,0.163793354759516,2.58874387899914e-07,1.72151467953443e-05,".","adrenomedullin"
"ADNP2",333.402359626365,0.651683870856824,0.217266618618775,0.000182347576064725,0.00547630946181481,".","ADNP_homeobox_2"
"AEN",252.123376866735,0.531671210582419,0.196197042302452,0.000564679022501783,0.0136296784801634,".","apoptosis_enhancing_nuclease"
"AGPAT9",203.996092649865,-0.464834850325872,0.217447803551828,0.00287899578474252,0.0465568623552532,".","1-acylglycerol-3-phosphate_O-acyltransferase_9"
"AGRN",279.084814137543,0.525609228529932,0.190998489118431,0.000510151835845784,0.012689540130561,"MYASTHENIA__LIMB-GIRDLE__FAMILIAL","agrin"
"AKIRIN1",461.056378040206,0.479183013522523,0.160806301309064,0.00029851961356695,0.0082785205175141,".","akirin_1"
"AKR1A1",361.782294104876,-0.47464558285525,0.180299252319469,0.000824595690040026,0.0180939061009793,".","aldo-keto_reductase_family_1__member_A1__aldehyde_reductase"
"AKR1B1",3936.52903320191,-0.452318974194995,0.15373179762577,0.00036270569217626,0.00953126208029309,".","aldo-keto_reductase_family_1__member_B1__aldose_reductase"
"AKR1B10",21072.1709630265,-0.830081812264886,0.110295819818466,3.6438499936954e-15,6.24920273918761e-13,".","aldo-keto_reductase_family_1__member_B10__aldose_reductase"
"AKR1C2",17829.7603019512,-0.524050219997349,0.125394740986075,2.95711904437744e-06,0.000154818676885751,"46_XY_SEX_REVERSAL_8__SRXY8","aldo-keto_reductase_family_1__member_C2"
"AKR1C3",17368.0927980028,-0.419453837476018,0.105506661863864,9.9729243434702e-06,0.000442132979227179,".","aldo-keto_reductase_family_1__member_C3"
"ALDH1A1",17063.7777686099,-0.444614440868705,0.130383855336939,7.93338689875358e-05,0.00275010012867963,".","aldehyde_dehydrogenase_1_family__member_A1"
"ALDH3A1",5044.52515712694,-0.547271931433853,0.153587524784827,3.29848441649635e-05,0.00129495318929559,".","aldehyde_dehydrogenase_3_family__member_A1"
"AMOTL2",245.152417355588,0.462927710864573,0.198985775061246,0.00190737518043068,0.033778163181703,".","angiomotin_like_2"
"ANKRD1",107.219132469978,1.27680903064001,0.308187276336522,1.69128842526305e-06,9.50887057450927e-05,"TOTAL_ANOMALOUS_PULMONARY_VENOUS_RETURN_1__TAPVR1","ankyrin_repeat_domain_1__cardiac_muscle"
"APOL1",209.367060477295,1.92098241568404,0.245017788553852,2.7619795988333e-16,5.45449122593836e-14,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_4__SUSCEPTIBILITY_TO__FSGS4","apolipoprotein_L__1"
"APOL6",127.562793949727,1.71814444652192,0.295027259284701,3.24260579357422e-10,3.06261767488742e-08,".","apolipoprotein_L__6"
"APRT",1099.40126482598,0.439202740360811,0.127883925421365,7.53690180458425e-05,0.00264075210002557,"ADENINE_PHOSPHORIBOSYLTRANSFERASE_DEFICIENCY__APRTD","adenine_phosphoribosyltransferase"
"ARL1",990.658657613007,0.37322313162781,0.141759575827671,0.00128184422015538,0.0249366530828435,".","ADP-ribosylation_factor-like_1"
"ARL3",277.583893125024,-0.493028892041137,0.201240570181345,0.00124946706532586,0.0244527833775635,".","ADP-ribosylation_factor-like_3"
"ARL6IP4",227.990043772973,-0.432623872480175,0.198887545698357,0.0030082404075945,0.047756064768235,".","ADP-ribosylation-like_factor_6_interacting_protein_4"
"ASAP1",642.895564061498,0.455086128218485,0.192011662558606,0.0017588516548303,0.0317801214567485,".","ArfGAP_with_SH3_domain__ankyrin_repeat_and_PH_domain_1"
"ATF3",376.601342252729,1.09505112651742,0.16884605660452,5.29241790091027e-12,6.98364268573389e-10,".","activating_transcription_factor_3"
