"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0003723",1.71278980396639e-38,1,488,1384,"RNA binding","MF"
"GO:0032991",2.53676251720151e-33,1,977,3505,"macromolecular complex","CC"
"GO:0031974",9.28237155068149e-30,1,1018,3821,"membrane-enclosed lumen","CC"
"GO:0043233",9.28237155068149e-30,1,1018,3821,"organelle lumen","CC"
"GO:0070013",9.28237155068149e-30,1,1018,3821,"intracellular organelle lumen","CC"
"GO:0044446",1.02114766211566e-25,1,1470,6149,"intracellular organelle part","CC"
"GO:0070062",1.31169533224632e-25,1,559,1775,"extracellular exosome","CC"
"GO:1903561",2.07748075977999e-25,1,560,1783,"extracellular vesicle","CC"
"GO:0043234",2.34105658711885e-25,1,657,2292,"protein complex","CC"
"GO:0043230",2.75226697124977e-25,1,560,1784,"extracellular organelle","CC"
"GO:0044422",1.98606705021351e-24,1,1479,6225,"organelle part","CC"
"GO:0044428",1.90039535009565e-23,1,877,3341,"nuclear part","CC"
"GO:0031981",2.08375609703585e-23,1,826,3104,"nuclear lumen","CC"
"GO:0005829",4.79503719219418e-23,1,923,3581,"cytosol","CC"
"GO:0005615",3.50603762200494e-22,1,611,2045,"extracellular space","CC"
"GO:0016071",8.36780267648072e-22,1,255,677,"mRNA metabolic process","BP"
"GO:0044421",2.75543833021338e-21,1,626,2131,"extracellular region part","CC"
"GO:0005634",4.86667257697661e-19,1,1176,4892,"nucleus","CC"
"GO:0005654",8.59711411067109e-19,1,705,2670,"nucleoplasm","CC"
"GO:0005515",1.08027134656418e-18,1,1610,7129,"protein binding","MF"
"GO:0005576",1.68115144439455e-18,1,659,2325,"extracellular region","CC"
"GO:0043227",2.6130875876574e-18,1,1760,7896,"membrane-bounded organelle","CC"
"GO:0071840",4.58392250173537e-18,1,1021,4119,"cellular component organization or biogenesis","BP"
"GO:0044424",7.20223035917334e-18,1,1919,8868,"intracellular part","CC"
"GO:1990904",9.91729438804845e-18,1,255,696,"ribonucleoprotein complex","CC"
"GO:0030529",1.23897488342469e-17,1,254,693,"intracellular ribonucleoprotein complex","CC"
"GO:0051444",2.20103300778039e-17,1,55,78,"negative regulation of ubiquitin-protein transferase activity","BP"
"GO:0043228",3.86108347557481e-17,1,738,2826,"non-membrane-bounded organelle","CC"
"GO:0043232",3.86108347557481e-17,1,738,2826,"intracellular non-membrane-bounded organelle","CC"
"GO:0005622",5.91187225285519e-17,1,1931,8964,"intracellular","CC"
"GO:0034641",1.38904866311447e-16,1,1085,4448,"cellular nitrogen compound metabolic process","BP"
"GO:0051437",2.27585380603957e-16,1,50,71,"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition","BP"
"GO:0031982",3.40618052281939e-16,1,699,2613,"vesicle","CC"
"GO:0043226",4.36865076179376e-16,1,1825,8335,"organelle","CC"
"GO:1904668",4.74327951140671e-16,1,52,77,"positive regulation of ubiquitin protein ligase activity","BP"
"GO:1904667",4.82788332318811e-16,1,51,72,"negative regulation of ubiquitin protein ligase activity","BP"
"GO:0051436",5.73785465442265e-16,1,48,67,"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:1904666",7.18647930701893e-16,1,55,83,"regulation of ubiquitin protein ligase activity","BP"
"GO:0051439",1.30501285045852e-15,1,48,68,"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:0043231",2.07311178913518e-15,1,1606,7137,"intracellular membrane-bounded organelle","CC"
"GO:0043229",3.15234861257019e-15,1,1751,7948,"intracellular organelle","CC"
"GO:2000060",5.20728009556259e-15,1,52,81,"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0006412",1.10633120961129e-14,1,218,579,"translation","BP"
"GO:0038061",1.16492613877139e-14,1,58,100,"NIK/NF-kappaB signaling","BP"
"GO:0043604",1.23069814237692e-14,1,235,646,"amide biosynthetic process","BP"
"GO:2000058",1.29915829374827e-14,1,57,94,"regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0043043",1.7618395768659e-14,1,222,596,"peptide biosynthetic process","BP"
"GO:0044403",1.84651255577097e-14,1,228,664,"symbiosis, encompassing mutualism through parasitism","BP"
"GO:0044419",1.9397144548494e-14,1,230,671,"interspecies interaction between organisms","BP"
"GO:0006521",2.45798200764057e-14,1,38,49,"regulation of cellular amino acid metabolic process","BP"
"GO:0044444",2.68783602305342e-14,1,1415,6166,"cytoplasmic part","CC"
"GO:0010608",3.10767524350673e-14,1,164,446,"posttranscriptional regulation of gene expression","BP"
"GO:0006402",3.93238545675055e-14,1,127,286,"mRNA catabolic process","BP"
"GO:0006401",4.91586059372013e-14,1,134,312,"RNA catabolic process","BP"
"GO:0010629",5.24236837520091e-14,1,372,1270,"negative regulation of gene expression","BP"
"GO:0003676",5.67307354868464e-14,1,711,2812,"nucleic acid binding","MF"
