"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006955",2.62639461968684e-22,1,117,1017,"immune response","BP"
"GO:0002376",3.41518617757918e-22,1,151,1549,"immune system process","BP"
"GO:0051607",4.73763130799031e-20,1,39,147,"defense response to virus","BP"
"GO:0060337",1.08777885269995e-18,1,26,62,"type I interferon signaling pathway","BP"
"GO:0071357",1.08777885269995e-18,1,26,62,"cellular response to type I interferon","BP"
"GO:0034340",8.30422604327042e-18,1,26,67,"response to type I interferon","BP"
"GO:0043207",2.55033936951923e-17,1,65,440,"response to external biotic stimulus","BP"
"GO:0051707",2.55033936951923e-17,1,65,440,"response to other organism","BP"
"GO:0045087",3.08972888072878e-17,1,66,455,"innate immune response","BP"
"GO:0009615",4.00796397049945e-17,1,43,208,"response to virus","BP"
"GO:0006952",1.00088945786734e-16,1,87,747,"defense response","BP"
"GO:0009607",1.01966708439812e-16,1,66,467,"response to biotic stimulus","BP"
"GO:0098542",1.73749620838945e-16,1,43,214,"defense response to other organism","BP"
"GO:0019221",5.16351827867401e-16,1,58,359,"cytokine-mediated signaling pathway","BP"
"GO:0002252",5.90372753602807e-16,1,79,663,"immune effector process","BP"
"GO:0034097",1.0321725225273e-15,1,75,587,"response to cytokine","BP"
"GO:0009605",1.92335010105084e-15,1,105,1081,"response to external stimulus","BP"
"GO:0007166",2.77105983630166e-15,1,130,1509,"cell surface receptor signaling pathway","BP"
"GO:0010033",5.08023458187769e-14,1,147,1838,"response to organic substance","BP"
"GO:0006950",4.12890905543462e-13,1,170,2309,"response to stress","BP"
"GO:0071310",2.05290879884563e-12,1,121,1473,"cellular response to organic substance","BP"
"GO:0002684",2.17991773866816e-12,1,61,515,"positive regulation of immune system process","BP"
"GO:0071345",2.40329472678535e-12,1,63,514,"cellular response to cytokine stimulus","BP"
"GO:0048519",3.31177106267616e-12,1,208,3113,"negative regulation of biological process","BP"
"GO:0050896",7.4746359223196e-12,1,276,4630,"response to stimulus","BP"
"GO:0051704",9.25356082781718e-12,1,117,1387,"multi-organism process","BP"
"GO:0044421",1.14423521076734e-11,1,165,2131,"extracellular region part","CC"
"GO:0005615",1.77680328644049e-11,1,160,2045,"extracellular space","CC"
"GO:0005576",1.93224960892125e-11,1,175,2325,"extracellular region","CC"
"GO:0045071",2.20824718979053e-11,1,16,41,"negative regulation of viral genome replication","BP"
"GO:0048584",2.24220681437143e-11,1,101,1186,"positive regulation of response to stimulus","BP"
"GO:0007165",2.34628226098361e-11,1,197,3025,"signal transduction","BP"
"GO:0042221",3.05361073187473e-11,1,164,2305,"response to chemical","BP"
"GO:0070887",3.44228608151328e-11,1,134,1758,"cellular response to chemical stimulus","BP"
"GO:0009986",3.63893791256195e-11,1,42,318,"cell surface","CC"
"GO:0007154",5.33389975469052e-11,1,206,3241,"cell communication","BP"
"GO:0023052",1.05308953162342e-10,1,204,3227,"signaling","BP"
"GO:0002682",1.18496003111047e-10,1,74,754,"regulation of immune system process","BP"
"GO:0009888",1.58479241765767e-10,1,87,1021,"tissue development","BP"
