"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"A4GALT","A4GALT","AMPL31888788",20,20,17,19,16,12,19,18,0,"alpha_1_4-galactosyltransferase","18149","53947",".","BLOOD_GROUP__P1PK_SYSTEM"
"AAAS","AAAS","AMPL33679306",172,158,158,172,180,195,149,148,0,"achalasia__adrenocortical_insufficiency__alacrimia","13666","8086","218075_at","ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS"
"AACS","AACS","AMPL36995895",157,174,120,90,155,159,66,92,0,"acetoacetyl-CoA_synthetase","21298","65985","218434_s_at","."
"AADAC","AADAC","AMPL5825582",197,244,172,192,236,315,228,271,0,"arylacetamide_deacetylase","17","13","205969_at","."
"AADAT","AADAT","AMPL32613953",58,67,44,62,77,75,106,115,0,"aminoadipate_aminotransferase","17929","51166","223593_at","."
"AAGAB","AAGAB","AMPL14432082",387,422,372,394,412,425,452,487,0,"alpha-_and_gamma-adaptin_binding_protein","25662","79719","202851_at,202852_s_at","KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A"
"AAK1","AAK1","AMPL25904291",7,20,11,10,18,21,6,15,0,"AP2_associated_kinase_1","19679","22848","205434_s_at,205435_s_at,211186_s_at,214956_at,214998_at,238100_at","."
"AAMP","AAMP","AMPL3466806",494,460,493,453,493,426,433,418,0,"angio-associated__migratory_cell_protein","18","14","201511_at","."
"AARS","AARS","AMPL10784042",906,1025,824,879,1011,1248,1007,906,0,"alanyl-tRNA_synthetase","20","16","201000_at","CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N"
"AARS2","AARS2","AMPL31469233",19,11,23,13,27,11,12,20,0,"alanyl-tRNA_synthetase_2__mitochondrial","21022","57505","230024_at,231845_at","COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8"
"AASDH","AASDH","AMPL21447136",9,7,7,3,6,11,13,16,0,"aminoadipate-semialdehyde_dehydrogenase","23993","132949","228041_at,235435_at","."
"AASDHPPT","AASDHPPT","AMPL25092600",285,335,257,324,331,296,344,338,0,"aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase","14235","60496","202169_s_at,202170_s_at","."
"AATF","AATF","AMPL12558335",714,789,888,884,1003,911,1003,1109,0,"apoptosis_antagonizing_transcription_factor","19235","26574","209165_at","."
"ABCA1","ABCA1","AMPL28385508",51,63,81,73,128,107,46,49,0,"ATP-binding_cassette__sub-family_A__ABC1__member_1","29","19","1570279_at,203504_s_at,203505_at,216066_at","ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD"
"ABCA2","ABCA2","AMPL8099046",74,71,66,70,80,75,60,66,0,"ATP-binding_cassette__sub-family_A__ABC1__member_2","32","20","210100_s_at,212772_s_at","."
"ABCA3","ABCA3","AMPL5076273",63,73,39,36,88,96,31,41,0,"ATP-binding_cassette__sub-family_A__ABC1__member_3","33","21","204343_at","SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3"
"ABCA5","ABCA5","AMPL16435662",26,22,18,17,36,25,23,31,0,"ATP-binding_cassette__sub-family_A__ABC1__member_5","35","23461","213353_at","."
"ABCA7","ABCA7","AMPL31288152",14,9,5,9,14,8,4,9,0,"ATP-binding_cassette__sub-family_A__ABC1__member_7","37","10347","219577_s_at","."
"ABCB10","ABCB10","AMPL12686552",108,138,88,94,74,75,112,123,0,"ATP-binding_cassette__sub-family_B__MDR_TAP__member_10","41","23456","223320_s_at","."
"ABCB6","ABCB6","AMPL29447135",83,88,55,48,67,57,73,44,0,"ATP-binding_cassette__sub-family_B__MDR_TAP__member_6","47","10058","203192_at","BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7"
"ABCB7","ABCB7","AMPL28554255",158,191,155,152,189,178,184,198,0,"ATP-binding_cassette__sub-family_B__MDR_TAP__member_7","48","22","209620_s_at","ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT"
"ABCB8","ABCB8","AMPL12342162",35,40,34,28,39,42,40,32,0,"ATP-binding_cassette__sub-family_B__MDR_TAP__member_8","49","11194","206317_s_at,229539_at","."
"ABCC1","ABCC1","AMPL28603395",500,299,496,442,442,330,273,287,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1","51","4363","202804_at,202805_s_at","."
"ABCC10","ABCC10","AMPL7136100",26,31,29,26,24,30,13,15,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10","52","89845","213485_s_at,215873_x_at","."
"ABCC2","ABCC2","AMPL3093849",985,992,1110,1113,956,1091,931,861,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2","53","1244","206155_at","DUBIN-JOHNSON_SYNDROME__DJS"
"ABCC3","ABCC3","AMPL11367250",563,466,250,226,359,341,403,320,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3","54","8714","208161_s_at,209641_s_at,214979_at,230682_x_at,239217_x_at","."
"ABCC4","ABCC4","AMPL27233725",83,78,52,56,45,59,41,39,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4","55","10257","1554918_a_at,1555039_a_at,203196_at","."
"ABCC5","ABCC5","AMPL28800826",51,42,26,23,29,51,24,28,0,"ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5","56","10057","1558460_at,209380_s_at,226363_at","."
"ABCD1","ABCD1","AMPL4354534",20,21,19,20,30,25,10,23,0,"ATP-binding_cassette__sub-family_D__ALD__member_1","61","215","205142_x_at","ADRENOLEUKODYSTROPHY__ALD"
"ABCD3","ABCD3","AMPL10799498",268,264,175,163,168,255,262,163,0,"ATP-binding_cassette__sub-family_D__ALD__member_3","67","5825","1554878_a_at,202850_at","."
"ABCD4","ABCD4","AMPL28234371",57,74,44,43,45,47,37,54,0,"ATP-binding_cassette__sub-family_D__ALD__member_4","68","5826","203981_s_at,203982_s_at","METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ"
"ABCE1","ABCE1","AMPL8835806",472,495,442,487,550,501,617,778,0,"ATP-binding_cassette__sub-family_E__OABP__member_1","69","6059","201872_s_at,201873_s_at","."
"ABCF1","ABCF1","AMPL1062180",244,217,302,296,297,237,276,270,0,"ATP-binding_cassette__sub-family_F__GCN20__member_1","70","23","200045_at","."
"ABCF2","ABCF2","AMPL28710948",404,415,472,469,406,499,463,452,0,"ATP-binding_cassette__sub-family_F__GCN20__member_2","71","10061","207622_s_at,207623_at,209246_at,209247_s_at,214232_at","."
"ABCF3","ABCF3","AMPL33247607",31,45,41,36,37,33,45,25,0,"ATP-binding_cassette__sub-family_F__GCN20__member_3","72","55324","202394_s_at","."
"ABCG2","ABCG2","AMPL28876904",418,402,271,274,306,352,430,455,0,"ATP-binding_cassette__sub-family_G__WHITE__member_2","74","9429","209735_at","BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1"
"ABHD10","ABHD10","AMPL34005486",69,66,47,34,51,45,68,65,0,"abhydrolase_domain_containing_10","25656","55347","218633_x_at,222697_s_at","."
