"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ABCC3",363.901135202171,-1.00296840530615,0.185785685599535,6.47114435798276e-09,3.43371245623819e-07,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ACO1",85.9139550748962,-1.92842470183326,0.290762909674074,2.2263961552526e-12,1.92315754713021e-10,".","aconitase_1__soluble"
"ADAR",2081.83595890775,1.01095987257369,0.118092929493681,1.16468281337695e-18,1.85400865563705e-16,"AICARDI-GOUTIERES_SYNDROME_6__AGS6,DYSCHROMATOSIS_SYMMETRICA_HEREDITARIA__DSH","adenosine_deaminase__RNA-specific"
"ADM",849.835823785362,1.02899052685689,0.160517049684175,1.42298899464011e-11,1.10883680890033e-09,".","adrenomedullin"
"AFAP1L2",48.6755526858658,-1.31665007474454,0.396762768220164,5.7831133371728e-05,0.00104105382740091,".","actin_filament_associated_protein_1-like_2"
"AKR1B1",3936.52903320191,-1.0758932046094,0.149520282967746,5.71098102890755e-14,6.00353411369026e-12,".","aldo-keto_reductase_family_1__member_B1__aldose_reductase"
"ALDH1A1",17063.7777686099,-1.08799709237709,0.127587949369982,1.38099695310922e-18,2.13728459006889e-16,".","aldehyde_dehydrogenase_1_family__member_A1"
"ANKRD33B",76.1243099262202,1.12245847062361,0.307857910090784,2.07283586256939e-05,0.000436627788593775,".","ankyrin_repeat_domain_33B"
"ANXA13",24.6662283545062,-2.78051051460038,0.565744298731296,6.1898075996861e-08,2.87387608680426e-06,".","annexin_A13"
"ANXA3",239.39186450512,-1.07578859131156,0.219160118017293,8.05633410797643e-08,3.59086923860726e-06,".","annexin_A3"
"APOL1",209.367060477295,2.97225908214388,0.237555123581201,4.94338324731567e-37,1.96728998302995e-34,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_4__SUSCEPTIBILITY_TO__FSGS4","apolipoprotein_L__1"
"APOL3",21.6458259309301,4.31700736884837,0.902740088152001,5.63354130697402e-07,2.01200483280806e-05,".","apolipoprotein_L__3"
"APOL6",127.562793949727,2.71101737712505,0.284240787410858,1.01503591190443e-22,2.05646275751837e-20,".","apolipoprotein_L__6"
"APP",464.559515654241,-1.10094177624994,0.159037460400358,4.01676057909792e-13,3.72989692774067e-11,"ALZHEIMER_DISEASE__AD,CEREBRAL_AMYLOID_ANGIOPATHY__APP-RELATED","amyloid_beta__A4__precursor_protein"
"AREG",706.245032315472,1.02167378793564,0.139367301314668,2.30641427916604e-14,2.44765469645211e-12,".","amphiregulin"
