"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ANKS1A",59.0266767787518,-1.12353110348117,0.33927513880823,6.12838133935169e-05,0.000879500586533866,".","ankyrin_repeat_and_sterile_alpha_motif_domain_containing_1A"
"ANXA1",10072.9042670489,1.10934817792324,0.107739781466941,6.17260664607219e-26,2.96315982044695e-22,".","annexin_A1"
"ARMC5",24.0768089440104,-1.23903153470925,0.539792450274029,0.00106414348700913,0.00815390392559827,".","armadillo_repeat_containing_5"
"ASUN",260.794371750592,1.08412095822829,0.210106480254125,1.93251544754149e-08,1.4272369855266e-06,".","asunder_spermatogenesis_regulator"
"BAHCC1",49.4872432692421,-1.16602907631009,0.4355533530499,0.000411528529435562,0.003947138272838,".","BAH_domain_and_coiled-coil_containing_1"
"BAP1",163.223424920965,-1.01615540004935,0.224931654108876,5.02219420460808e-07,1.97615108846074e-05,"MESOTHELIOMA__MALIGNANT__MESOM,TUMOR_PREDISPOSITION_SYNDROME__TPDS","BRCA1_associated_protein-1__ubiquitin_carboxy-terminal_hydrolase"
"CDK8",124.495420379529,1.02054783481102,0.247672296638079,2.99723539293889e-06,7.80312669477634e-05,".","cyclin-dependent_kinase_8"
"COL27A1",176.166536238912,-1.00650457371167,0.252307816577513,5.13847833477072e-06,0.000119744006048868,".","collagen__type_XXVII__alpha_1"
"CPSF3",219.961080633338,1.00701874319606,0.217468611730004,2.99303779852323e-07,1.35184454793186e-05,".","cleavage_and_polyadenylation_specific_factor_3__73kDa"
"CSRNP1",92.6644688980362,-1.19939489272468,0.298547690391971,3.88363549337469e-06,9.53626198769575e-05,".","cysteine-serine-rich_nuclear_protein_1"
"DDX1",433.920073089816,1.11967208517863,0.181694643538581,5.62371640191979e-11,1.10212121072378e-08,".","DEAD__Asp-Glu-Ala-Asp__box_helicase_1"
"DOCK7",103.505484700713,1.01938251980794,0.269921091234205,1.22056650081775e-05,0.000238184125494944,".","dedicator_of_cytokinesis_7"
"DSN1",200.526950876159,1.07354221458596,0.198701927798402,5.29387154562895e-09,5.03232284253302e-07,".","DSN1__MIS12_kinetochore_complex_component"
"ERF",445.454788126319,-1.05640440141816,0.15363611173446,5.13225373232166e-13,1.75981314585787e-10,"CRANIOSYNOSTOSIS_4__CRS4","Ets2_repressor_factor"
"ERLEC1",638.477613414976,1.01616442329095,0.163726268068503,4.69372239487812e-11,9.70525397535819e-09,".","endoplasmic_reticulum_lectin_1"
"FAM115A",58.6025500292012,-1.62523139074282,0.376312368471554,9.59441031869425e-07,3.15465525581451e-05,".","family_with_sequence_similarity_115__member_A"
"FGB",110.123033238384,1.00610616376003,0.269538531008626,1.4634755114683e-05,0.000275506438933474,"AFIBRINOGENEMIA__CONGENITAL","fibrinogen_beta_chain"
"FGFBP1",39.0047586827819,1.35454004237592,0.41883332910974,6.98856919557155e-05,0.00098527537219798,".","fibroblast_growth_factor_binding_protein_1"
"FGG",162.140096441545,1.00361212446641,0.223534247085684,5.87816258939352e-07,2.20454058674872e-05,"AFIBRINOGENEMIA__CONGENITAL","fibrinogen_gamma_chain"
"FHOD1",48.6862865113738,-1.20834829420237,0.43418960919189,0.000311698612613591,0.00318776790985544,".","formin_homology_2_domain_containing_1"
"FOSL2",222.441963297177,-1.14237434523611,0.191871671750473,2.00785483577401e-10,3.44239540683326e-08,".","FOS-like_antigen_2"
"FOXA2",30.1041040166348,-1.084779742414,0.526881332876747,0.00201949841942148,0.0134157878879328,".","forkhead_box_A2"
"GAA",77.722106471609,-1.09242587228903,0.349656790490822,0.00012056830490824,0.00152714550847495,"GLYCOGEN_STORAGE_DISEASE_II","glucosidase__alpha__acid"
"GATSL2",26.125482488431,-1.23660579249472,0.637191241882082,0.00242835828706062,0.0153588062675027,".","GATS_protein-like_2"
"GFM2",144.557771058071,1.14550818873222,0.230460649487438,5.00818443131024e-08,3.14271756372612e-06,".","G_elongation_factor__mitochondrial_2"
"GLI2",102.169314075658,-1.05774258521102,0.276201956838729,9.54779356477677e-06,0.000195872576956029,"HOLOPROSENCEPHALY_9__HPE9","GLI_family_zinc_finger_2"
"GPR37",23.1252561940051,1.13748040630571,0.583859891197537,0.00237465497508088,0.0150887242989752,".","G_protein-coupled_receptor_37__endothelin_receptor_type_B-like"
"GRB14",87.0382456125216,1.40249783003662,0.318954012361256,6.83472559755291e-07,2.43941265658385e-05,".","growth_factor_receptor-bound_protein_14"
"HBS1L",107.705327723756,1.18041164000468,0.267234280861643,7.10529406384558e-07,2.48970541266355e-05,".","HBS1-like__S._cerevisiae"
"HDAC2",825.341052488748,1.06764499659369,0.184816140052965,6.15142184625869e-10,8.43711444941852e-08,".","histone_deacetylase_2"
"HIST1H2AG",369.346847389135,-1.02168384562915,0.180994692902533,1.37889327949959e-09,1.61448224103361e-07,".","histone_cluster_1__H2ag"
"HIST1H2BE",148.547591339247,-1.09926889419304,0.256576440915249,1.32085368538773e-06,4.00177660016529e-05,".","histone_cluster_1__H2be"
"HIST1H3B",1075.75857802082,-1.10141940564025,0.151943849626915,3.35987559027857e-14,1.61290827711323e-11,".","histone_cluster_1__H3b"
"HIST1H4A",392.29777446107,-1.13958702506254,0.188514141837709,1.13517267419743e-10,2.09592170095569e-08,".","histone_cluster_1__H4a"
"HIST1H4B",393.091325480677,-1.228753640189,0.190094395667608,7.30625274229101e-12,1.89587385347935e-09,".","histone_cluster_1__H4b"
"HIST1H4E",279.916163928289,-1.02495210684949,0.192276076324506,8.03160652558241e-09,6.98440069010386e-07,".","histone_cluster_1__H4e"
"HIST2H2AB",247.755901165719,-1.05945619234823,0.204889227929619,1.84775918445304e-08,1.37521983952974e-06,".","histone_cluster_2__H2ab"
"HSPA6",134.540594775997,-4.6720098043498,0.669081057807659,2.20103862107981e-13,8.33142683725456e-11,".","heat_shock_70kDa_protein_6__HSP70Bp"
"HSPA8",6466.36433086241,1.21112062919454,0.152327590410544,1.41419955018123e-16,1.35777298812899e-13,".","heat_shock_70kDa_protein_8"
"HSPG2",178.177741820601,-1.07098167726778,0.248504182049867,1.25490333397951e-06,3.84930572189688e-05,"DYSSEGMENTAL_DYSPLASIA__SILVERMAN-HANDMAKER_TYPE__DDSH,SCHWARTZ-JAMPEL_SYNDROME__TYPE_1__SJS1","heparan_sulfate_proteoglycan_2"
"IRGQ",22.8376138189397,-1.15705311069636,0.600223589847491,0.002439017690811,0.0154059268746555,".","immunity-related_GTPase_family__Q"
"ITFG1",326.847325842368,1.02142878162009,0.174381599578036,4.04986151273177e-10,6.07542505995901e-08,".","integrin_alpha_FG-GAP_repeat_containing_1"
"IWS1",405.35585583404,1.02896222270521,0.16503549761382,3.90179050679565e-11,9.13685137945001e-09,".","IWS1_homolog__S._cerevisiae"
"KIAA0284",43.5290051248132,-1.23623359147419,0.419014272115399,0.00018050429469874,0.00207796370911583,".","."
"LEO1",599.818747687511,1.15864954128447,0.157357015067322,1.40796957636049e-14,7.16813069160355e-12,".","Leo1__Paf1_RNA_polymerase_II_complex_component__homolog__S._cerevisiae"
"LOC100216545",77.3310377782367,-1.20207626426592,0.302725053023014,4.78947401914257e-06,0.000113540098908118,".","."
"MAFK",320.816428073847,-1.21652797043719,0.179771462407276,9.58444573362358e-13,3.1731125340869e-10,".","v-maf_avian_musculoaponeurotic_fibrosarcoma_oncogene_homolog_K"
"MAP3K10",93.4898627159065,-1.15807971288018,0.290972190655715,4.7498862077906e-06,0.000112880340299499,".","mitogen-activated_protein_kinase_kinase_kinase_10"
"MKKS",194.971597065673,1.00331547510277,0.212165481895479,1.88665000819631e-07,9.24169731055755e-06,"BARDET-BIEDL_SYNDROME__BBS,MCKUSICK-KAUFMAN_SYNDROME__MKKS","McKusick-Kaufman_syndrome"
"MLLT6",107.540161739323,-1.2242741890536,0.287294971662574,1.37108974157929e-06,4.08814677295116e-05,".","myeloid_lymphoid_or_mixed-lineage_leukemia__trithorax_homolog__Drosophila__translocated_to__6"
"NRD1",70.9996036817073,1.17558039320631,0.326769055859383,2.12568654639731e-05,0.000374648714230442,".","nardilysin__N-arginine_dibasic_convertase"
"OSTF1",47.0860487377804,1.01524606161285,0.437798860875542,0.00121480639435588,0.00898340998487984,".","osteoclast_stimulating_factor_1"
"PER1",98.9350475855379,-1.01972078358263,0.280048186155384,2.02537042021994e-05,0.000360103359343179,".","period_circadian_clock_1"
"PHRF1",84.5048286287584,-1.2452301480004,0.286259234335818,9.09721959898855e-07,3.02222855951173e-05,".","PHD_and_ring_finger_domains_1"
"PKD1",113.019238813526,-1.00856408057555,0.249336990749341,4.13956152306873e-06,0.000100617544767045,"POLYCYSTIC_KIDNEY_DISEASE_1__PKD1","polycystic_kidney_disease_1__autosomal_dominant"
"PPP1R37",64.0259604250793,-1.36519221105071,0.354235004092766,7.04652618737661e-06,0.000153398333621907,".","protein_phosphatase_1__regulatory_subunit_37"
"RAD17",169.155976835547,1.00843287071381,0.239573375876441,2.0406316237588e-06,5.67887078832123e-05,".","RAD17_homolog__S._pombe"
"RFX1",59.3214099118572,-1.07423523279124,0.360294795058649,0.000187155426160784,0.00212900384664655,".","regulatory_factor_X__1__influences_HLA_class_II_expression"
"RIN1",25.6531211539204,-1.19972036665013,0.581405580329293,0.0017969202518385,0.0122530052115777,".","Ras_and_Rab_interactor_1"
"RPPH1",102424.695535485,-1.57470415521197,0.306360577162321,1.51138987162834e-08,1.15165509186537e-06,".","ribonuclease_P_RNA_component_H1"
"SBNO2",164.153469570823,-1.07373652894646,0.223965868967935,1.24891550012102e-07,6.62477221915023e-06,".","strawberry_notch_homolog_2__Drosophila"
"SCARNA10",270.180752684065,-1.70416770343823,0.196462048838648,2.65200722984123e-19,4.24365356895095e-16,".","small_Cajal_body-specific_RNA_10"
"SCARNA16",148.565191212255,-1.13833768559206,0.256102042826125,6.24154018198597e-07,2.29597805698266e-05,".","Small_Cajal_body_specific_RNA_16_Source_RFAM_Acc_RF00424"
"SCARNA3",124.000547775724,-1.76308119848197,0.253372646728898,2.25619308164377e-13,8.33142683725456e-11,".","small_Cajal_body-specific_RNA_3"
"SCARNA5",120.898610007495,-1.42699237605977,0.263193484035578,3.80715415876923e-09,3.84763021877299e-07,".","small_Cajal_body-specific_RNA_5"
"SCARNA7",491.130680950419,-1.43500207630213,0.18997142547323,2.75933777063757e-15,1.65577512099321e-12,".","small_Cajal_body-specific_RNA_7"
