"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ABCA1",73.6629697434032,-1.04797332961341,0.300958975096576,4.0751202205946e-05,0.000517945711180687,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA3",57.3043809894167,-1.06765808415473,0.339482011780938,0.00012787928610461,0.00134177244939792,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ADAM19",24.403203970117,-1.68863419130895,0.671612268769627,0.000573734926417235,0.00456982484704062,".","ADAM_metallopeptidase_domain_19"
"ADAMTS15",25.190325316375,-1.58681111013329,0.540046771385717,0.000182488574710192,0.00180627501427029,".","ADAM_metallopeptidase_with_thrombospondin_type_1_motif__15"
"AGPAT9",203.996092649865,1.28344367786865,0.198379080763261,7.75477453579259e-12,7.13031111264718e-10,".","1-acylglycerol-3-phosphate_O-acyltransferase_9"
"AHNAK2",408.4701454959,-1.27377110422574,0.169513704506184,4.59013909400954e-15,9.81915060885878e-13,".","AHNAK_nucleoprotein_2"
"AIFM2",48.5480384395224,1.04268407263394,0.381110170998149,0.000461069505737751,0.00382958047475682,".","apoptosis-inducing_factor__mitochondrion-associated__2"
"AKAP1",131.778855373725,1.28569663892979,0.232260413285086,2.41266141694181e-09,1.21002473552077e-07,".","A_kinase__PRKA__anchor_protein_1"
"AKR1B10",21072.1709630265,1.03339439122015,0.109541410553863,4.02560087330661e-22,2.10981741769999e-19,".","aldo-keto_reductase_family_1__member_B10__aldose_reductase"
"ALKBH2",144.10968002256,1.03424399714681,0.237439462865686,1.18586188797758e-06,2.63014828045715e-05,".","alkB__alkylation_repair_homolog_2__E._coli"
"ANKRD1",107.219132469978,-1.00616692329681,0.304644564746931,7.82118360980063e-05,0.000901888301407373,"TOTAL_ANOMALOUS_PULMONARY_VENOUS_RETURN_1__TAPVR1","ankyrin_repeat_domain_1__cardiac_muscle"
"ANTXR1",473.507227497931,-1.18151536332084,0.169057917278718,2.31014638719245e-13,3.02686930381891e-11,"GAPO_SYNDROME,HEMANGIOMA__CAPILLARY_INFANTILE","anthrax_toxin_receptor_1"
"APBB2",38.9260387521669,-1.10446678150746,0.455995407798751,0.000986669583611565,0.00707889840890926,".","amyloid_beta__A4__precursor_protein-binding__family_B__member_2"
"ARHGEF18",118.046770250684,-1.13615218781567,0.272046082877766,2.35106108358544e-06,4.77593455002763e-05,".","Rho_Rac_guanine_nucleotide_exchange_factor__GEF__18"
"ARRDC2",68.3094943685315,1.05724537082625,0.337250382573532,0.000132919498471176,0.00138633053032325,".","arrestin_domain_containing_2"
"ATP9A",48.202313690905,-1.13340332472544,0.404205986964482,0.000353632772633043,0.00311494010314248,".","ATPase__class_II__type_9A"
"AVPI1",330.978298395379,1.06511904614322,0.169330779295987,2.98940788599091e-11,2.41038257391975e-09,".","arginine_vasopressin-induced_1"
"BAAT",38.2496845821596,-1.22260730692857,0.43105314174907,0.000287977968695938,0.00262485658075724,"HYPERCHOLANEMIA__FAMILIAL__FHCA","bile_acid_CoA__amino_acid_N-acyltransferase__glycine_N-choloyltransferase"
"BOLA1",38.1489318593182,1.11386659822688,0.434329111078904,0.000688576729030625,0.00526836589321095,".","bolA_family_member_1"
"BORA",39.1298359656631,1.08881196207384,0.426660918515932,0.000717407065919993,0.00545312608047379,".","bora__aurora_kinase_A_activator"
"BRD7",325.234046856796,1.00584525752936,0.180046187491007,2.27630378997397e-09,1.16391299153693e-07,".","bromodomain_containing_7"
"BST2",178.726508028113,1.0698113649649,0.213530952750912,4.88713363727389e-08,1.67408283614068e-06,".","bone_marrow_stromal_cell_antigen_2"
"BUD13",60.6819512067427,1.22987562842286,0.320757764146596,9.11843432451974e-06,0.000152439280047234,".","BUD13_homolog__S._cerevisiae"
"KIAA1549L",20.8828111597511,-1.8702561181872,0.63517530008808,0.000179548615601119,0.00178222404235884,".","KIAA1549-like"
"TEX30",89.9155472537046,1.20986238030972,0.275790885347271,8.83233091653574e-07,2.08046050937365e-05,".","testis_expressed_30"
"C1orf63",133.93362730822,1.08415546395386,0.237999336085766,4.51668917315832e-07,1.17187960180806e-05,".","chromosome_1_open_reading_frame_63"
"C20orf196",53.8395789346819,1.07580566936354,0.358345981024192,0.000200209080613346,0.00195387344371857,".","chromosome_20_open_reading_frame_196"
"C21orf59",240.6191407777,1.07808406332574,0.188910397188858,1.0551359356568e-09,6.11046125831745e-08,".","chromosome_21_open_reading_frame_59"
"FAM176C",68.6275693980023,1.23527351641336,0.322996252949413,9.43823654072552e-06,0.000156290040157796,".","."
"FAM219A",17.0428503986172,-1.59532641242367,0.715625294730294,0.00131401694126912,0.00893224745679829,".","family_with_sequence_similarity_219__member_A"
"CAMKK1",24.3405699074002,-1.04642486979809,0.676288400654779,0.00567628591738206,0.0286741344510838,".","calcium_calmodulin-dependent_protein_kinase_kinase_1__alpha"
"CASP4",102.249920608941,1.2082449435977,0.275878059354454,8.96306202799534e-07,2.0971164325323e-05,".","caspase_4__apoptosis-related_cysteine_peptidase"
"CCBE1",21.6804854593219,-1.38273771956158,0.61282440928057,0.00116678348158067,0.00811561012204946,"HENNEKAM_LYMPHANGIECTASIA-LYMPHEDEMA_SYNDROME","collagen_and_calcium_binding_EGF_domains_1"
"CCDC12",260.461878073586,1.00436424664397,0.183400973989914,4.26452718662065e-09,2.01121066990867e-07,".","coiled-coil_domain_containing_12"
"CCDC58",317.877189746975,1.03511874880204,0.173014662901338,2.10906785842441e-10,1.43553566831199e-08,".","coiled-coil_domain_containing_58"
"CCL20",45.0384393106753,2.81355035253803,0.447185317402998,2.48536617220223e-11,2.01950451294758e-09,".","chemokine__C-C_motif__ligand_20"
"CCL5",1188.30325423749,1.668274737333,0.139433279405898,3.76542280422953e-34,9.86729045848348e-31,".","chemokine__C-C_motif__ligand_5"
"CCNA2",161.379431506706,1.10163053981479,0.228859885779112,1.26830431767337e-07,3.89864101403293e-06,".","cyclin_A2"
"CCNB1",1335.2276529696,1.10467892746493,0.118720700594122,1.26296029737841e-21,6.01743174414568e-19,".","cyclin_B1"
"CD55",20.8084299128186,1.70057126688601,0.596666063957461,0.000227453932317841,0.00216940138176125,"BLOOD_GROUP__CROMER_SYSTEM__CROM","CD55_molecule__decay_accelerating_factor_for_complement__Cromer_blood_group"
"CDA",93.407752985059,-1.0768837167875,0.304403510964473,3.1495932835611e-05,0.00041842885675903,".","cytidine_deaminase"
"CDC42BPB",313.908222620544,-1.08680604085424,0.18491623441611,3.72516836020325e-10,2.36649786373639e-08,".","CDC42_binding_protein_kinase_beta__DMPK-like"
"CDC6",420.55793916668,1.59643043138348,0.166029808244214,4.80179290174327e-23,3.14577457475456e-20,"MEIER-GORLIN_SYNDROME_5__MGORS5","cell_division_cycle_6"
"CDH4",31.8302427329276,-1.63325142518675,0.462042161666833,2.37422301154664e-05,0.000335851627625262,".","cadherin_4__type_1__R-cadherin__retinal"
"CDK1",828.26704892966,1.44130177811064,0.142674790552502,3.99298591181889e-25,3.80495257524414e-22,".","cyclin-dependent_kinase_1"
"CDKN2C",116.904887672719,1.43272592425467,0.28293989002554,2.8014333473081e-08,1.03761923485808e-06,".","cyclin-dependent_kinase_inhibitor_2C__p18__inhibits_CDK4"
"CH25H",57.4388950048381,2.65645390558903,0.377839696263116,1.58160578566454e-13,2.24032322234266e-11,".","cholesterol_25-hydroxylase"
"CHAF1B",116.974620016599,1.2726946406519,0.24355858418384,1.33457212656984e-08,5.57330080904585e-07,".","chromatin_assembly_factor_1__subunit_B__p60"
"CHGB",40.0692529010224,1.05252828244891,0.423507419011896,0.000879064994663673,0.00644360788396127,".","chromogranin_B__secretogranin_1"
"CNTNAP1",23.5050467958295,-1.28792236737248,0.571195253932599,0.00129974355288313,0.00885820020892133,".","contactin_associated_protein_1"
