"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ANKRD1",107.219132469978,1.27680903064001,0.308187276336522,1.69128842526305e-06,9.50887057450927e-05,"TOTAL_ANOMALOUS_PULMONARY_VENOUS_RETURN_1__TAPVR1","ankyrin_repeat_domain_1__cardiac_muscle"
"APOL1",209.367060477295,1.92098241568404,0.245017788553852,2.7619795988333e-16,5.45449122593836e-14,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_4__SUSCEPTIBILITY_TO__FSGS4","apolipoprotein_L__1"
"APOL6",127.562793949727,1.71814444652192,0.295027259284701,3.24260579357422e-10,3.06261767488742e-08,".","apolipoprotein_L__6"
"ATF3",376.601342252729,1.09505112651742,0.16884605660452,5.29241790091027e-12,6.98364268573389e-10,".","activating_transcription_factor_3"
"B2M",2942.9636371349,1.24436090788579,0.115727869691125,3.4201893019273e-28,2.02630669824184e-25,"HYPOPROTEINEMIA__HYPERCATABOLIC","beta-2-microglobulin"
"BST2",178.726508028113,2.55919756828493,0.297240908251673,6.08607165280573e-19,1.65262204005562e-16,".","bone_marrow_stromal_cell_antigen_2"
"C1QL1",81.0165365047748,1.07615984934302,0.311528117262181,2.79116921481263e-05,0.00112284257857617,".","complement_component_1__q_subcomponent-like_1"
"C1R",221.104192939104,1.21719994753852,0.22658754080311,4.2930398175857e-09,3.63347279106572e-07,".","complement_component_1__r_subcomponent"
"C6orf141",159.554500216658,1.07871995160656,0.216984418571694,3.812774983388e-08,2.92327700785172e-06,".","chromosome_6_open_reading_frame_141"
"CCL5",1188.30325423749,2.50648525791822,0.168159296416648,1.92514583989613e-51,4.18205847953436e-48,".","chemokine__C-C_motif__ligand_5"
"CD68",309.352070995715,1.45048787951469,0.182667736182374,1.14638563275206e-16,2.40999844149845e-14,".","CD68_molecule"
"CEACAM6",115.360370550252,-1.03752064785985,0.261733259906291,3.84110303726381e-06,0.000192557449952679,".","carcinoembryonic_antigen-related_cell_adhesion_molecule_6__non-specific_cross_reacting_antigen"
"CFB",92.4163077639324,1.50081840968862,0.331379936689072,3.30093820577659e-07,2.12992220663822e-05,"HEMOLYTIC_UREMIC_SYNDROME__ATYPICAL__SUSCEPTIBILITY_TO__4__AHUS4,MACULAR_DEGENERATION__AGE-RELATED__1__ARMD1","complement_factor_B"
"CMPK2",290.706281671411,1.76852056840718,0.21560288756588,1.37312900921163e-17,3.31432657519712e-15,".","cytidine_monophosphate__UMP-CMP__kinase_2__mitochondrial"
"CTSS",200.018265670823,1.06121168215878,0.212334647469482,3.37816653388424e-08,2.64248090136388e-06,".","cathepsin_S"
"CXCL10",106.724962418051,2.38927150749908,0.385212111858192,4.94581913022736e-11,5.47015092465983e-09,".","chemokine__C-X-C_motif__ligand_10"
"CXCL2",233.151908337377,1.07792893346085,0.236087154498879,2.89671705962605e-07,1.88779050775829e-05,".","chemokine__C-X-C_motif__ligand_2"
"DDX58",2064.44494325451,1.83938541476764,0.133438162989356,1.72608832503361e-44,2.81222940356101e-41,".","DEAD__Asp-Glu-Ala-Asp__box_polypeptide_58"
"DDX60L",471.604112207423,1.2225752304667,0.198768228217469,4.31240931888251e-11,4.93052132125567e-09,".","DEAD__Asp-Glu-Ala-Asp__box_polypeptide_60-like"
