"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"A4GALT",2.41388482054005,2.41388482054005,2.26680713015393,2.46772638946897,2.09409833759479,1.8625269476076,2.59691936831337,2.4749648174962
"AAAS",5.38019313369034,5.22916031470469,5.23021543047765,5.3940238009839,5.31910437023647,5.46287425006773,5.21241974137325,5.13442227669496
"AACS",5.24675109398431,5.37220195348124,4.83652633626617,4.48681542408124,5.11965008687675,5.16014783511241,4.14069790441286,4.51816276767718
"AADAC",5.57709651567995,5.84708675288523,5.36008791579573,5.550877672314,5.73406082461445,6.14157177473504,5.76634749133313,5.93367928252285
"AADAT",3.80760786335978,3.99754833777033,3.46130372572598,3.9618582718306,4.12289029774113,4.1276633557737,4.76360842656329,4.81159965177335
"AAGAB",6.58249222018493,6.66178504555508,6.48110619500227,6.61332336240587,6.49855509159624,6.57864396233848,6.67150655243433,6.70149853520823
"AAK1",1.36392697453909,2.41388482054005,1.79432713468154,1.75536668611399,2.23268197902111,2.48892095101492,1.47377787822679,2.26680713015393
"AAMP",6.92719830810319,6.77806982703841,6.89863924118484,6.81595784308245,6.77543848242914,6.5833628224506,6.61310325716565,6.50457290965495
"AARS",7.83645555528818,7.95964450711835,7.65053707187445,7.77403647105973,7.81075540281795,8.11931077541527,7.76249062116645,7.53879228145579
"AARS2",2.35009027336432,1.78188107189949,2.63004171974281,2.03396976716913,2.73965716036561,1.75536668611399,2.09409833759479,2.58984510168181
"AASDH",1.57431607445303,1.36392697453909,1.36392697453909,0.762931668438788,1.03982440473383,1.75536668611399,2.17909057700842,2.35009027336432
"AASDHPPT",6.13651496606064,6.3242869625974,5.9296390021723,6.3237914185233,6.20664426182817,6.05063027952587,6.2908090262824,6.22447402140934
"AATF",7.4870885684398,7.57026867933965,7.76171172308673,7.77662231145127,7.80253716530023,7.67186776519583,7.75720724430468,7.84010020871973
"ABCA1",3.63186039562244,3.91339490566317,4.27432427606612,4.19718377869044,4.84517657844166,4.59880665690938,3.6777555608019,3.71888697582095
"ABCA2",4.15828754566851,4.07710108116636,4.00399677304351,4.13956961590508,4.17896673809388,4.1276633557737,4.02706703242091,4.06951100542551
"ABCA3",3.92124397358248,4.11690291122113,3.29838074425855,3.26020965908674,4.32267187601925,4.46459411954856,3.17101795474112,3.48760664749411
"ABCA5",2.73965716036561,2.53355285192995,2.35009027336432,2.35009027336432,3.10504979931731,2.70857221164666,2.82408624595138,3.11966017248053
"ABCA7",2.01405552258155,1.58875625098404,1.07864233999548,1.6400118168909,1.92928644925917,1.42725603686181,1.15553260898385,1.70730627994088
"ABCB10",4.69172535612441,5.02400584392718,4.39129580369843,4.54845005556598,4.06951100542551,4.1276633557737,4.83652633626617,4.90113854673694
"ABCB6",4.32683407522202,4.38352579539453,3.7485594245901,3.61842237140219,3.94038301989443,3.74692798856516,4.26580822233015,3.58075137781804
"ABCB7",5.25437171660507,5.49680783845994,5.19900035136609,5.21241974137325,5.39101616885754,5.31910437023647,5.46902948163943,5.5114965643791
"ABCB8",3.1218513717708,3.29447316090142,3.11203964022987,2.93895445927484,3.22077418322551,3.3524231508494,3.48760664749411,3.15738242723289
"ABCC1",6.94460389547285,6.15843408218272,6.90902511925709,6.78070213359448,6.60145341698819,6.20267999468915,6.00566010708183,6.00370529055359
"ABCC10",2.73965716036561,2.94684652794725,2.91460419196347,2.83911838109369,2.58314463231492,2.9362755235141,2.17909057700842,2.26680713015393
"ABCC2",7.95228233756141,7.90702994880751,8.07508974115649,8.1424026817083,7.73603973469299,7.91645785627345,7.65890963083866,7.48333810274802
"ABCC3",7.12492620211014,6.79566492224609,5.88687344030177,5.78227192263529,6.32018769708795,6.24636822597166,6.51454951121013,6.14800166778488
"ABCC4",4.32683407522202,4.21517320250467,3.67430541052645,3.8265544738592,3.4121789284798,3.79266306299354,3.51692406130571,3.4198330359287
"ABCC5",3.63186039562244,3.36012375125005,2.77637039965258,2.68900566705946,2.82973686202945,3.59769665150514,2.87574747269109,2.98932900015564
"ABCD1",2.41388482054005,2.4749648174962,2.40634366030928,2.53355285192995,2.86435440433063,2.70857221164666,1.92928644925917,2.77004107941817
"ABCD3",6.03432784220577,5.97735503889889,5.38310581281828,5.30766013474876,5.22134506022922,5.82830033806765,5.94854778234445,5.2554666057935
"ABCD4",3.77800944780223,4.13956961590508,3.46130372572598,3.48397034909016,3.4121789284798,3.48760664749411,3.38845560331806,3.82241339587719
"ABCE1",6.86716304277693,6.87988758762423,6.7466383879959,6.91971686738074,6.9202291280657,6.81264985440851,7.09431631956344,7.34175495227858
"ABCF1",5.89247135719213,5.6735582415785,6.16334490225268,6.17974812982735,6.05310456049576,5.71433663024498,6.01947597797375,5.92755340343158
"ABCF2",6.64819656407873,6.63944605339271,6.8384074534716,6.87074508277652,6.47647621326705,6.80310499068106,6.69809082400673,6.6012484500388
"ABCF3",2.96842653500914,3.44304570584944,3.36396762620328,3.26020965908674,3.15223047770359,3.05125890224088,3.64804379687533,2.86435440433063
"ABCG2",6.69488492563978,6.58723052993325,6.01499265167626,6.06245960236563,6.09179350577576,6.28873977637402,6.60461233687704,6.61354346764609
"ABHD10",4.05966655308015,3.98042644580965,3.54565586837745,3.18913193289721,3.58075137781804,3.43081453632143,4.17896673809388,4.05207695470316
"ABHD11",3.1983200447393,3.53824052383726,3.2251099122224,3.26020965908674,3.31136552914134,3.12404257106106,3.6777555608019,3.48760664749411
"ABHD12",6.28101542884279,6.25933416009245,5.98556403820815,6.10687509074437,6.09575274994854,6.24986332717638,5.9200777396978,5.99691140725771
"ABHD13",3.15738242723289,3.36012375125005,2.82973686202945,2.62290463392469,2.58314463231492,2.60987092094164,2.72045561610886,2.53355285192995
"ABHD14A",2.4749648174962,1.78188107189949,2.35009027336432,1.75536668611399,1.76800856686647,2.10376460211432,2.17909057700842,2.18784855059057
"ABHD14B",3.60824901153379,4.21517320250467,3.36396762620328,2.892178710793,3.72543244681543,3.62488108149405,3.48760664749411,3.89379096277136
"ABHD15",4.2720124109546,4.40315177336088,3.59769665150514,3.72543244681543,3.94038301989443,4.06951100542551,3.64804379687533,3.54565586837745
"ABHD16A",3.65480125829567,3.91339490566317,3.61842237140219,2.74659244859377,4.05207695470316,4.11092469751833,4.51986163076333,3.89379096277136
"ABHD16B",2.01405552258155,2.01405552258155,2.07425255368457,2.58984510168181,1.57431607445303,1.56017143682094,2.53355285192995,2.18784855059057
"ABHD2",6.77276657893449,6.50846109733333,6.68171484208352,6.30717565453553,6.69092815242735,6.63496752894365,5.9035722346868,5.95589368888029
"ABHD3",5.14263503061932,5.34892603466714,4.81159965177335,4.66410883238342,4.72975580838888,4.36954312118538,4.82337326836113,5.30130754471336
"ABHD4",6.67069599135106,6.73324288118608,6.37302589241775,6.14064292301361,6.70268969336774,6.49672991583947,6.02580330830962,5.99691140725771
