"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",17.6204043041521,-0.024746105611765,0.273224663234756,0.857380529715816,0.938486369609366,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",165.532523761713,0.0397716615323891,0.17291138773251,0.785069251188943,0.904691989449736,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",124.999908500926,-0.477550574856523,0.238412351936204,0.0108832157036789,0.0652700067740013,".","acetoacetyl-CoA_synthetase"
"AADAC",230.099680692171,-0.157853217197692,0.183005796930768,0.293969052598361,0.560139732062849,".","arylacetamide_deacetylase"
"AADAT",75.2990271412555,-0.0962554962133327,0.224957638863787,0.55060986538539,0.769642737535725,".","aminoadipate_aminotransferase"
"AAGAB",417.358619013824,-0.0177778704062945,0.137641910788583,0.884917168840226,0.951493145149839,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",13.2775579084477,-0.054180279388787,0.292740095948665,0.657125092980146,0.837397800112212,".","AP2_associated_kinase_1"
"AAMP",456.853490911309,0.0346464675822686,0.137390875541485,0.780735120577151,0.902929267775624,".","angio-associated__migratory_cell_protein"
"AARS",969.514538092969,-0.101542869657099,0.139163162585908,0.415353127054359,0.673792385320531,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",16.8567481365173,0.0678457984792002,0.288975585101285,0.609330739187246,0.808018228742358,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",8.97253393130055,-0.0820927767664795,0.309238578410067,0.451472671472254,0.7040577255573,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",312.68515730503,-0.0261982962963224,0.157414640610007,0.846733383110679,0.935331668738325,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",909.187475924923,0.261052786316762,0.126398360840379,0.0241212985226363,0.114230186756369,".","apoptosis_antagonizing_transcription_factor"
"ABCA1",73.6629697434032,0.314198790517444,0.265363493084491,0.0912004153983905,0.277454894150086,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA2",69.8065805281551,-0.0199341926341112,0.212165419392022,0.897959147177248,0.95860881174517,".","ATP-binding_cassette__sub-family_A__ABC1__member_2"
"ABCA3",57.3043809894167,-0.572665591077979,0.341985622985863,0.0138353253581986,0.0780987996283725,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ABCA5",24.4998537033774,-0.125459088568775,0.28743800005224,0.410853155336224,0.670621798854429,".","ATP-binding_cassette__sub-family_A__ABC1__member_5"
"ABCA7",8.89186150083647,-0.0958466035668286,0.311477826495571,0.401517785055125,0.661492345454579,".","ATP-binding_cassette__sub-family_A__ABC1__member_7"
"ABCB10",101.449433090128,-0.258037688698218,0.223688638880736,0.128613212860742,0.341955865165176,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCB6",64.0568472723833,-0.448254988945457,0.319234526027553,0.0343014072670354,0.144288630115733,"BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7","ATP-binding_cassette__sub-family_B__MDR_TAP__member_6"
"ABCB7",174.702825803197,-0.0921957179394073,0.173600146451989,0.525385721876447,0.754332315277574,"ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT","ATP-binding_cassette__sub-family_B__MDR_TAP__member_7"
"ABCB8",36.0233756420615,-0.0881580130703787,0.25546613909399,0.576792201912871,0.787263617114929,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_8"
"ABCC1",382.083773012321,0.206120207683569,0.191459775783599,0.185261350341081,0.427859125892061,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1"
"ABCC10",24.0596073142249,0.00177749374299029,0.259941064850963,0.992804251387885,0.99754894258027,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10"
"ABCC2",1001.50082182923,0.195296920292401,0.128785984082317,0.0963996039372446,0.286983913083814,"DUBIN-JOHNSON_SYNDROME__DJS","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2"
"ABCC3",363.901135202171,-1.00296840530615,0.185785685599535,6.47114435798276e-09,3.43371245623819e-07,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCC4",56.3472735284127,-0.314661570611409,0.282658479648201,0.0961080796578403,0.28634554321586,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4"
"ABCC5",33.9063146005643,-0.474037761776362,0.431175278252635,0.0392309124853783,0.158445109758815,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5"
"ABCD1",20.7412841589517,-0.00396861445423258,0.270875892746302,0.975649132655242,0.993042929703442,"ADRENOLEUKODYSTROPHY__ALD","ATP-binding_cassette__sub-family_D__ALD__member_1"
"ABCD3",213.958934840712,-0.463419981069112,0.247831511655594,0.0150492375049522,0.082485810879332,".","ATP-binding_cassette__sub-family_D__ALD__member_3"
"ABCD4",49.8154375785079,-0.297646657857759,0.295908720798663,0.11498916360285,0.318583777246089,"METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ","ATP-binding_cassette__sub-family_D__ALD__member_4"
"ABCE1",541.057467022364,-0.000568620151075277,0.139192635072246,0.995283194128403,0.997872880033459,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCF1",266.733590391939,0.359004876612007,0.177525147947484,0.0176638602719343,0.09232101079276,".","ATP-binding_cassette__sub-family_F__GCN20__member_1"
"ABCF2",446.261720541525,0.212538579657083,0.149862196743379,0.107963144005662,0.306037474855022,".","ATP-binding_cassette__sub-family_F__GCN20__member_2"
"ABCF3",36.5501736669222,0.0288403753250667,0.25111090803071,0.853468035619763,0.9364114140322,".","ATP-binding_cassette__sub-family_F__GCN20__member_3"
"ABCG2",362.413050001367,-0.474749251021031,0.163102361918066,0.00102365628727911,0.0107914872366614,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD10",55.4439838877839,-0.445951484337423,0.325277573449175,0.0362638706717228,0.14986712327726,".","abhydrolase_domain_containing_10"
"ABHD11",40.1101939068411,-0.069149052290679,0.246274816975898,0.661518406349564,0.840055339781339,".","abhydrolase_domain_containing_11"
"ABHD12",294.988519511079,-0.121228135727119,0.152622084878839,0.363852225557298,0.626356457498064,"POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_","abhydrolase_domain_containing_12"
"ABHD13",26.6012273876908,-0.254640022358155,0.330059949945005,0.156027494471684,0.384309100552162,".","abhydrolase_domain_containing_13"
"ABHD14A",14.1943163621251,-0.0298241326849602,0.283481669565536,0.815525692732366,0.919949499679498,".","abhydrolase_domain_containing_14A"
"ABHD14B",49.7165422603541,-0.568175855582883,0.388020979743415,0.0189227045895289,0.0966341417237034,".","abhydrolase_domain_containing_14B"
"ABHD15",61.5461815786601,-0.483920612324597,0.305708546168246,0.0227873680760115,0.109921923147618,".","abhydrolase_domain_containing_15"
"ABHD16A",59.7866929717842,-0.303899387087457,0.317396750994328,0.112269738345899,0.313868245239366,".","abhydrolase_domain_containing_16A"
"ABHD16B",14.3314755897771,0.0873309245317847,0.292115986649657,0.521574738586106,0.751794748531978,".","abhydrolase_domain_containing_16B"
"ABHD2",372.781619663872,-0.0678968876277658,0.152182751902319,0.60984150504379,0.808128582407297,".","abhydrolase_domain_containing_2"
