"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",17.6204043041521,-0.0618516538893625,0.186297010072324,0.280279036757311,NA,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",165.532523761713,0.0497884796727238,0.139738618666752,0.590334495851469,0.832909701117996,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",124.999908500926,-0.0596447497825356,0.149491911169058,0.512501473587417,0.783383606133821,".","acetoacetyl-CoA_synthetase"
"AADAC",230.099680692171,0.123380679251177,0.159310218436822,0.221753059874035,0.549368865306697,".","arylacetamide_deacetylase"
"AADAT",75.2990271412555,0.06100860395995,0.163404530143674,0.474431475036794,NA,".","aminoadipate_aminotransferase"
"AAGAB",417.358619013824,-0.014740390534725,0.116835043419863,0.868246627922848,0.956583809262634,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",13.2775579084477,0.0343179295266714,0.179469142733989,0.477526286372317,NA,".","AP2_associated_kinase_1"
"AAMP",456.853490911309,-0.0791825913565215,0.123166087397807,0.392875032476039,0.703397413913832,".","angio-associated__migratory_cell_protein"
"AARS",969.514538092969,0.0956747578238922,0.125235853578966,0.309995253022837,0.636496239429688,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",16.8567481365173,0.0215808450320225,0.175897390918204,0.66967426650593,NA,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",8.97253393130055,0.000821622964005579,0.17709397556851,0.985496638894582,NA,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",312.68515730503,-0.0295683572252075,0.129288114824658,0.745443248361688,0.907369004402898,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",909.187475924923,0.209593911342224,0.126103035524253,0.0351477387427939,0.211698533629194,".","apoptosis_antagonizing_transcription_factor"
