"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mim_morbid_descrip","ncbi_name"
"APOL1",623.50567800792,0.536729185621444,0.146335794749711,3.66779151020057,0.000244654546559427,0.0312504866136976,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_4__SUSCEPTIBILITY_TO__FSGS4","apolipoprotein_L__1"
"B4GALT1",2080.68919403265,0.349723460077832,0.0912874604670378,3.83101313464746,0.000127616691943035,0.0206143496385317,"CONGENITAL_DISORDER_OF_GLYCOSYLATION__TYPE_IId__CDG2D","UDP-Gal_betaGlcNAc_beta_1_4-_galactosyltransferase__polypeptide_1"
"C1R",596.042471689286,0.541015926000826,0.117397567663562,4.60840830664625,4.05763244748504e-06,0.000983164342025625,".","complement_component_1__r_subcomponent"
"CCL5",3231.61385679084,0.564597836533961,0.132444302250063,4.26290770491557,2.0178387713927e-05,0.00407435278590376,".","chemokine__C-C_motif__ligand_5"
"CD38",1473.56711536145,0.641879336156511,0.122194162903419,5.25294597470951,1.49685453748936e-07,6.04479757389455e-05,".","CD38_molecule"
"CFB",736.241316767148,0.775291343060839,0.134199965416855,5.77713519264041,7.59832324380574e-09,6.13691240658044e-06,"HEMOLYTIC_UREMIC_SYNDROME__ATYPICAL__SUSCEPTIBILITY_TO__4__AHUS4,MACULAR_DEGENERATION__AGE-RELATED__1__ARMD1","complement_factor_B"
"CTSS",936.496169782212,0.570487665080544,0.114401740460235,4.98670442237583,6.14179172568469e-07,0.000212593733590486,".","cathepsin_S"
"CXCL10",1511.92305912544,0.84775608928146,0.128093790409586,6.61824501071223,3.63488224306042e-11,4.4036598374677e-08,".","chemokine__C-X-C_motif__ligand_10"
"CXCL11",389.761548590631,0.937524469282397,0.124775108306867,7.51371392903692,5.7473102002762e-14,1.39257326152692e-10,".","chemokine__C-X-C_motif__ligand_11"
"CXCL5",4697.99739067217,0.395144693629812,0.107382126589183,3.67979948042506,0.000233417422457365,0.0312504866136976,".","chemokine__C-X-C_motif__ligand_5"
"HLA.A",987.290853969725,0.499207396682987,0.127974662286143,3.90082995934611,9.58634692447064e-05,0.0165912275699945,"SEVERE_CUTANEOUS_ADVERSE_REACTION__SUSCEPTIBILITY_TO","major_histocompatibility_complex__class_I__A"
"IDO1",608.295721549731,0.600625481211789,0.162368698289027,3.69914575617669,0.000216326346831466,0.0312504866136976,".","indoleamine_2_3-dioxygenase_1"
"IFI30",510.982250405579,0.737396933813023,0.148666981848011,4.96005854593119,7.04719372069971e-07,0.000213441879815693,".","interferon__gamma-inducible_protein_30"
"LAMP3",557.127608009484,0.584246263443111,0.107340663978535,5.44291642876315,5.2415241411711e-08,3.17505324851439e-05,".","lysosomal-associated_membrane_protein_3"
"RARRES3",1459.06543572555,0.441434050964988,0.106182800378751,4.15730277776066,3.22027071662701e-05,0.00600208918952864,".","retinoic_acid_receptor_responder__tazarotene_induced__3"
"SDC4",690.749295888537,0.460423091367308,0.125545609339832,3.66737708939717,0.000245051277614632,0.0312504866136976,".","syndecan_4"
"TGM2",7954.06984104372,0.49508653147424,0.105352094316666,4.69935158560886,2.6098880799252e-06,0.000702639868628751,".","transglutaminase_2"
"UBD",390.310565615127,0.66551703734713,0.125905437071501,5.28584827491753,1.25123571490111e-07,6.04479757389455e-05,".","ubiquitin_D"
"WARS",1981.83962169307,0.530340839580517,0.122003877555252,4.34691790300142,1.38063865939773e-05,0.00304117042883699,".","tryptophanyl-tRNA_synthetase"
