"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ABCE1",527.749552961758,0.40940439580729,0.122566679036766,3.34025853539266,0.000837004311510969,0.0215248170625166,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ACO1",59.163810995319,0.722048796559445,0.229517504426257,3.14594217275239,0.00165552735016345,0.0331847381394227,".","aconitase_1__soluble"
"ACP1",1556.06134162102,0.31843252180325,0.0890800163170969,3.57467965283852,0.000350656970109829,0.0129109049732689,".","acid_phosphatase_1__soluble"
"ACYP2",59.0227101835768,-0.931235107967935,0.212304345869791,-4.38632145824784,1.1528370960766e-05,0.00145607703096865,".","acylphosphatase_2__muscle_type"
"ADD2",159.390031448357,0.42403051144417,0.142795396421668,2.96949707112426,0.00298287655891154,0.0473181912636237,".","adducin_2__beta"
"ADSL",542.476691892491,0.368074369646656,0.116911955745617,3.14830392921943,0.00164220850642786,0.0331236504898186,"ADENYLOSUCCINASE_DEFICIENCY","adenylosuccinate_lyase"
"AEBP2",431.603783045919,-0.399723028867368,0.132131366080239,-3.02519409830842,0.00248473612395461,0.0422362811666424,".","AE_binding_protein_2"
"AFF4",739.552041202335,-0.440120367795978,0.11913555701039,-3.69428220122054,0.000220508804079926,0.009822485924596,".","AF4_FMR2_family__member_4"
"AHR",316.26982883586,-0.440728417457314,0.149280774718865,-2.95234545967036,0.00315369886808103,0.0487114664175116,".","aryl_hydrocarbon_receptor"
"AIFM1",312.456449238689,0.485574017327272,0.121337147085811,4.00185787279032,6.28470480745699e-05,0.00444743152970254,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_6__COXPD6,COWCHOCK_SYNDROME__COWCK","apoptosis-inducing_factor__mitochondrion-associated__1"
"AJUBA",739.261259985314,-0.457879943765141,0.128524433883152,-3.56259062912054,0.000367213075006611,0.0133238256815126,".","ajuba_LIM_protein"
"AK2",555.612665285505,0.382567359672481,0.128091236744808,2.986678631534,0.00282026019548487,0.0458315248054529,"RETICULAR_DYSGENESIS","adenylate_kinase_2"
"AKAP12",656.312800589161,-0.337508778771575,0.10734926560318,-3.14402503710818,0.00166641181545887,0.033321557303905,".","A_kinase__PRKA__anchor_protein_12"
"AKT1",210.829863686456,-0.461142573282522,0.146834814638093,-3.1405533791091,0.00168628974282147,0.0335844292492468,"BREAST_CANCER,COLORECTAL_CANCER__CRC,COWDEN_SYNDROME_6__CWS6,PROTEUS_SYNDROME","v-akt_murine_thymoma_viral_oncogene_homolog_1"
"ALDH3A1",3349.55907529003,0.555707428416626,0.14751497201488,3.7671256064813,0.000165137926469915,0.00809862149655145,".","aldehyde_dehydrogenase_3_family__member_A1"
"ALOXE3",64.5367029725713,-0.7092134138868,0.220230722082864,-3.22032006787842,0.001280475463851,0.0285650596547302,"ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_3__ARCI3","arachidonate_lipoxygenase_3"
"AMIGO2",358.181546083386,-0.499715090855886,0.126092084217079,-3.96309644620976,7.39838752875057e-05,0.00488302891916367,".","adhesion_molecule_with_Ig-like_domain_2"
"ANAPC5",418.824601220533,0.426858024425071,0.1288634375449,3.31248360712356,0.000924715451105507,0.0232413369549893,".","anaphase_promoting_complex_subunit_5"
"ANO6",756.917740489651,-0.298924265061363,0.0970663841663816,-3.07958586928484,0.00207288605851434,0.0380206931835591,"SCOTT_SYNDROME__SCTS","anoctamin_6"
"AP1S1",299.841573873569,0.412972680699654,0.126018683516583,3.27707502709557,0.00104888494118149,0.0254023639395848,"MENTAL_RETARDATION__ENTEROPATHY__DEAFNESS__PERIPHERAL_NEUROPATHY_","adaptor-related_protein_complex_1__sigma_1_subunit"
"APOO",148.990727248753,0.427278983245916,0.14072622452336,3.03624278056993,0.00239546397137416,0.0412102405282265,".","apolipoprotein_O"
"APRT",843.754810090007,0.686409962314694,0.135023405377322,5.08363687315193,3.7027552784439e-07,0.000178858842928728,"ADENINE_PHOSPHORIBOSYLTRANSFERASE_DEFICIENCY__APRTD","adenine_phosphoribosyltransferase"
"APTX",248.513495035295,0.492627078420314,0.138402304164438,3.55938494950933,0.000371724332892485,0.0133901277747336,"ATAXIA__EARLY-ONSET__WITH_OCULOMOTOR_APRAXIA_AND_HYPOALBUMINEMIA_","aprataxin"
"AREG",1595.25954136386,-0.466278034444366,0.13341187325635,-3.49502651498205,0.00047401466274255,0.0153176927987696,".","amphiregulin"
"ARF4",1884.03464639223,0.374402639316863,0.103167826599036,3.62906394036957,0.000284450785502947,0.0116321718760181,".","ADP-ribosylation_factor_4"
"ARID4B",420.605437119151,-0.621321621139502,0.132197706358228,-4.69994251984867,2.60234728378836e-06,0.00059014139085546,".","AT_rich_interactive_domain_4B__RBP1-like"
"ARL5B",871.709781372121,-0.427907700831132,0.125792471840781,-3.40169562271378,0.000669691798125861,0.0187176043745094,".","ADP-ribosylation_factor-like_5B"
"ARMC1",601.035034903323,0.372380271669859,0.117638410696735,3.16546499960659,0.00154835288581643,0.0317237476276721,".","armadillo_repeat_containing_1"
"ARMCX6",60.4997252530643,-0.631793283477338,0.211649755075249,-2.98508865863187,0.00283496142546681,0.0459208524404349,".","armadillo_repeat_containing__X-linked_6"
"ARPC3",1993.09051986088,0.387252878757696,0.121859036128979,3.17787577400346,0.00148358301463781,0.0307904240907706,".","actin_related_protein_2_3_complex__subunit_3__21kDa"
"ARRDC4",115.391653825314,-0.772196082494534,0.21424710400463,-3.6042311334012,0.000313078355172448,0.0120974889203245,".","arrestin_domain_containing_4"
"ASB7",118.804738224844,-0.642462261497579,0.153627936887661,-4.18193640110766,2.89036829670818e-05,0.00268104631815362,".","ankyrin_repeat_and_SOCS_box_containing_7"
"ASPH",391.448447149108,0.580528602886764,0.141774566138307,4.09473023758318,4.22660216541678e-05,0.00339407606989433,".","aspartate_beta-hydroxylase"
"ASPSCR1",172.845490386866,0.672257299135733,0.166399090293057,4.04002989410444,5.34443889003854e-05,0.00397961277946302,".","alveolar_soft_part_sarcoma_chromosome_region__candidate_1"
"ATIC",1422.06048142622,0.381809656707107,0.109670531507836,3.481424330289,0.000498754681793754,0.015748652578918,"AICAR_TRANSFORMYLASE_IMP_CYCLOHYDROLASE_DEFICIENCY","5-aminoimidazole-4-carboxamide_ribonucleotide_formyltransferase_IMP_cyclohydrolase"
"ATN1",885.072451782755,-0.467277947970022,0.125363721816098,-3.72737775490978,0.000193482354056404,0.00889662179158894,"DENTATORUBRAL-PALLIDOLUYSIAN_ATROPHY__DRPLA","atrophin_1"
"ATP2B4",183.975079295002,0.41573470300936,0.13419676878245,3.09794868223183,0.00194865168945057,0.0366861255798826,".","ATPase__Ca_transporting__plasma_membrane_4"
"ATP5G2",3435.82392041724,0.317911273424407,0.0907125684260113,3.5046000674505,0.000457293674826597,0.0151477026626756,".","ATP_synthase__H_transporting__mitochondrial_Fo_complex__subunit_C2__subunit_9"
"ATP5I",1747.13588765258,0.478319966153734,0.127406029486332,3.75429615130615,0.000173829244635078,0.00837907344429375,".","ATP_synthase__H_transporting__mitochondrial_Fo_complex__subunit_E"
"ATP5J2",2263.93227325169,0.437126280116841,0.109333859905768,3.99808696494926,6.38564912998819e-05,0.00445566482650505,".","ATP_synthase__H_transporting__mitochondrial_Fo_complex__subunit_F2"
"ATP5L",2379.33168485517,0.457824770102315,0.088774708913312,5.1571531543897,2.50732713606166e-07,0.000147165353903666,".","ATP_synthase__H_transporting__mitochondrial_Fo_complex__subunit_G"
"ATP5O",551.978119917157,0.468275125509396,0.133357568699571,3.51142518625494,0.000445710897012597,0.0149238366791668,".","ATP_synthase__H_transporting__mitochondrial_F1_complex__O_subunit"
"ATP6V0A1",241.169224868037,0.42167589833324,0.13433192862283,3.13905936329702,0.00169491108171122,0.0336888899866824,".","ATPase__H_transporting__lysosomal_V0_subunit_a1"
"ATP6V0E1",3826.16349636894,0.406661555082645,0.107762869971154,3.77367042276714,0.000160863242182219,0.00798553945519494,".","ATPase__H_transporting__lysosomal_9kDa__V0_subunit_e1"
"ATPIF1",588.226977720562,0.555595525781857,0.104954239678218,5.29369301788352,1.19870592903891e-07,9.20052904611558e-05,".","ATPase_inhibitory_factor_1"
"ATRAID",971.593396402813,0.315680113221108,0.100835064613333,3.13065811413551,0.00174415080269504,0.0343257134305545,".","all-trans_retinoic_acid-induced_differentiation_factor"
"ATXN1L",196.112164758332,-0.385279203548847,0.129362120163676,-2.97830000823558,0.00289852119319436,0.046497499140986,".","ataxin_1-like"
"AURKAIP1",712.647050007462,0.311612238524887,0.0901741814058175,3.45567027797587,0.000548926352250123,0.0165980577187354,".","aurora_kinase_A_interacting_protein_1"
"AVL9",213.019413320032,-0.611242767003844,0.132900124951868,-4.59926405054334,4.23986100684635e-06,0.000798213832571941,".","AVL9_homolog__S._cerevisiase"
"B4GALT1",2080.68919403265,-0.270109391098649,0.0847492573298094,-3.18715938769227,0.00143677574581431,0.0302450388011292,"CONGENITAL_DISORDER_OF_GLYCOSYLATION__TYPE_IId__CDG2D","UDP-Gal_betaGlcNAc_beta_1_4-_galactosyltransferase__polypeptide_1"
"B9D1",265.450213250485,0.536377385340195,0.138285729038936,3.87876167026006,0.000104989552401154,0.00612623247870596,"MECKEL_SYNDROME__TYPE_9__MKS9","B9_protein_domain_1"
"BAZ1A",226.390667324696,-0.477341819882017,0.148742402737165,-3.20918454386879,0.00133112025167633,0.0289998206795336,".","bromodomain_adjacent_to_zinc_finger_domain__1A"
"BBS7",60.141234455806,-0.769133820669589,0.234876572345425,-3.27462978954942,0.00105800525418666,0.0254380154849989,"BARDET-BIEDL_SYNDROME__BBS","Bardet-Biedl_syndrome_7"
"BCAT2",222.516812868615,0.549288639482021,0.135406428757895,4.05659202831605,4.97939478330616e-05,0.00382187701137145,".","branched_chain_amino-acid_transaminase_2__mitochondrial"
"BCCIP",1004.10303645113,0.379672327556185,0.0968721990596937,3.91931153872358,8.88022681304713e-05,0.00546103561001613,".","BRCA2_and_CDKN1A_interacting_protein"
"BCL2A1",207.555109312661,0.581190190427568,0.17197641323013,3.37947617066445,0.000726241028250962,0.0199077829117805,".","BCL2-related_protein_A1"
"BHLHE40",1848.47626034491,0.374021138947482,0.108170754301387,3.45769188135065,0.000544824105982042,0.0165739479557586,".","basic_helix-loop-helix_family__member_e40"
"BHLHE41",91.5172193853561,-0.88992991052916,0.192086903042647,-4.63295464934211,3.60483528828379e-06,0.000734062173601952,"SHORT_SLEEPER","basic_helix-loop-helix_family__member_e41"
"BNIP3",1368.24605294878,0.388682106660992,0.10954517868271,3.54814434861421,0.000387955541752954,0.0136785172989787,".","BCL2_adenovirus_E1B_19kDa_interacting_protein_3"
"BOLA3",926.464834317217,0.383009039907788,0.114261973779162,3.35202541352947,0.00080222654317583,0.0210647801258117,"MULTIPLE_MITOCHONDRIAL_DYSFUNCTIONS_SYNDROME_2__MMDS2","bolA_family_member_3"
"BRAT1",130.056571419735,0.543590483226077,0.165350210488627,3.28751007706438,0.00101077571540798,0.0247801476372012,"RIGIDITY_AND_MULTIFOCAL_SEIZURE_SYNDROME__LETHAL_NEONATAL__RMFSL","BRCA1-associated_ATM_activator_1"
"BRIX1",996.402966730209,0.414623781702576,0.124700567818726,3.32495504194739,0.000884327937840566,0.022433431023622,".","BRX1__biogenesis_of_ribosomes__homolog__S._cerevisiae"
"BRK1",708.743880545142,0.36631136821915,0.121734274047778,3.00910627745955,0.00262017442553358,0.0436902651323159,".","BRICK1__SCAR_WAVE_actin-nucleating_complex_subunit"
"BRSK1",65.516075326895,-0.613998002148489,0.199002573304401,-3.08537719866213,0.00203294153946046,0.0377740981019301,".","BR_serine_threonine_kinase_1"
"C12orf57",628.107916075467,0.519860253384748,0.109601847289204,4.74317054176109,2.10398997813832e-06,0.000524840300046605,"TEMTAMY_SYNDROME__TEMTYS","chromosome_12_open_reading_frame_57"
"C15orf52",70.9042170922992,-0.710843372308845,0.221696974996798,-3.20637380063085,0.00134419251028399,0.0291572888426384,".","chromosome_15_open_reading_frame_52"
"C18orf8",77.6387194650614,-0.592955028330265,0.186870504986964,-3.17307982001563,0.00150831050650008,0.0310948806484664,".","chromosome_18_open_reading_frame_8"
"C19orf54",94.636530575906,-0.771253171237502,0.203485180387023,-3.79021789090783,0.00015051519316569,0.00763892834992219,".","chromosome_19_open_reading_frame_54"
"C19orf66",394.249515639078,-0.368300815930201,0.114384141231108,-3.21985908156679,0.00128253625228694,0.0285650596547302,".","chromosome_19_open_reading_frame_66"
"C1orf52",150.991417294682,-0.631238219644726,0.149711876762492,-4.21635366074627,2.48284278489456e-05,0.00242880444192921,".","chromosome_1_open_reading_frame_52"
"C1QBP",4355.33947058392,0.371921444973707,0.106117683949632,3.50480175528743,0.000456947404123942,0.0151477026626756,".","complement_component_1__q_subcomponent_binding_protein"
"C4orf52",381.109464064254,0.587517020892113,0.129977013896398,4.52016093676696,6.17926384636372e-06,0.000980596826056488,".","."
"C7orf55",227.387763042105,0.500944319581023,0.144436249840279,3.46827282025794,0.000523815209547893,0.0162317644747481,".","chromosome_7_open_reading_frame_55"
"CAB39",152.996902143579,-0.454773447598765,0.149665943715722,-3.0385900513384,0.00237688055015547,0.0411031440718393,".","calcium_binding_protein_39"
"CACYBP",821.88381246606,0.323841742111311,0.103723967211411,3.12214959394346,0.00179535686356437,0.0347846034653306,".","calcyclin_binding_protein"
"CALU",651.558205081816,0.411295086412635,0.129836479936089,3.16779295476197,0.00153600868119174,0.0315355856397761,".","calumenin"
"CAPN2",859.002138113561,-0.400838914345379,0.132563949894407,-3.02373997353476,0.00249670929508865,0.0423676281401268,".","calpain_2__m_II__large_subunit"
"CAPNS1",3760.26720495376,0.329294718664253,0.0910269734550139,3.61755099796867,0.000297403744142707,0.0118699782362237,".","calpain__small_subunit_1"
"CAPZA2",514.329894885287,0.441346481665325,0.120319789686479,3.66811214360793,0.000244348013038922,0.0105090710090619,".","capping_protein__actin_filament__muscle_Z-line__alpha_2"
