"Gene","Direction","Count","Files"
"CCL5","UP",2,"GFP+IFNB1_vs_GFP,NS5+IFNB1_vs_GFP+IFNB1"
"RARRES3","UP",2,"GFP+IFNB1_vs_GFP,NS5+IFNB1_vs_GFP+IFNB1"
"APOL1","UP",1,"GFP+IFNB1_vs_GFP"
"B4GALT1","UP",1,"GFP+IFNB1_vs_GFP"
"B4GALT1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"C1R","UP",1,"GFP+IFNB1_vs_GFP"
"CD38","UP",1,"GFP+IFNB1_vs_GFP"
"CFB","UP",1,"GFP+IFNB1_vs_GFP"
"CTSS","UP",1,"GFP+IFNB1_vs_GFP"
"CXCL10","UP",1,"GFP+IFNB1_vs_GFP"
"CXCL11","UP",1,"GFP+IFNB1_vs_GFP"
"CXCL5","UP",1,"GFP+IFNB1_vs_GFP"
"HLA.A","UP",1,"GFP+IFNB1_vs_GFP"
"IDO1","UP",1,"GFP+IFNB1_vs_GFP"
"IFI30","UP",1,"GFP+IFNB1_vs_GFP"
"LAMP3","UP",1,"GFP+IFNB1_vs_GFP"
"SDC4","UP",1,"GFP+IFNB1_vs_GFP"
"TGM2","UP",1,"GFP+IFNB1_vs_GFP"
"UBD","UP",1,"GFP+IFNB1_vs_GFP"
"WARS","UP",1,"GFP+IFNB1_vs_GFP"
"ABCE1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ACO1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ACP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ACYP2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ADD2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ADSL","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AEBP2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AFF4","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AHR","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AIFM1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AJUBA","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AK2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AKAP12","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AKT1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ALDH3A1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ALOXE3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"AMIGO2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ANAPC5","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ANO6","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
