"","ex1_GFP_Rep2_Chip20","ex1_GFP_IFNB1_Rep1_Chip20","ex1_GFP_IFNB1_Rep2_Chip20","ex1_NS5_Rep1_Chip20","ex1_NS5_Rep2_Chip20","ex1_NS5_INFNB1_Rep1_Chip20","ex1_NS5_INFNB1_Rep2_Chip20","ex1_GFP_Rep1_Chip21","ex1_GFP_Rep2_Chip21","ex1_GFP_IFNB1_Rep1_Chip21","ex1_NS5_Rep1_Chip21","ex1_NS5_Rep2_Chip21","ex1_NS5_INFNB1_Rep1_Chip21","ex1_NS5_INFNB1_Rep2_Chip21"
"A4GALT",2.09198697220608,2.35265898144242,2.80324896449295,2.46656540221786,2.63502875119914,2.50485315023786,2.30588370369673,2.25133563872504,2.63502875119914,2.69140271069553,2.78727290898421,2.6495603869701,2.70847966557045,2.8178455889955
"AAAS",5.10551341598876,5.09385514727449,5.19935039515239,5.42235038357396,5.52168875138886,5.21231687145638,5.44061136789242,5.46000759536156,5.42759351285659,5.22125138522069,5.2109897937595,5.54038840043724,5.3694628061928,5.3592874059644
"AACS",5.69752544522714,5.48425534653215,5.88884842477032,5.57510278729428,5.5027005479616,5.17691178799535,5.47940134933498,5.85800358877022,5.53493117192445,5.51638844453106,5.49281093410123,5.52885851650167,5.25807276964729,5.33802757921711
"AADAC",6.42321542901835,6.33846235321632,6.22430176075679,6.26722064043665,6.14472378146291,6.1138172290041,6.01012325572805,6.40523627807322,6.10760231846164,5.92866561821093,5.90104682555002,5.76520597716492,5.83820171883849,5.7830784978602
"AADAT",4.40063566581124,4.21287131992415,4.06215416193992,4.56745184553462,4.2451232670934,4.55400555394441,4.3510221094385,3.73042553558613,3.36062062994094,3.94942075595614,4.43493707817691,4.20216949576403,4.06654398129446,3.69377815441954
"AAED1",4.33473046590647,4.62769324082736,4.38868782268816,4.43722501944237,4.64773476793458,4.44036002227782,4.68707774825086,4.43839259813502,4.35276371113317,4.36496270733123,4.41173476590082,4.27579980925912,4.30039153958895,4.67050502596724
"AAGAB",7.10658117739599,7.10312259982599,7.09748844802106,7.13746758512878,7.12690309072409,7.19859479933804,7.22805404426174,6.95446825611849,6.98838793396334,6.79720792100975,7.00042200465716,7.17757295804329,7.07351948048541,6.95503852052284
"AAK1",1.94186219169582,2.02167495692973,2.24077562273299,2.24077562273299,2.22232036252238,2.20701880878389,2.33635959680891,2.74894399635944,1.26468313996329,2.44013728380835,2.95697793686719,2.6495603869701,2.22232036252238,2.30588370369673
"AAMDC",3.43816253145224,3.35053954849656,3.5843561281674,3.18423309385891,3.31328494197597,3.23140012872438,3.55418421157476,3.76752480830088,3.77910983003055,3.3707885869099,3.44545715042329,3.43589548777942,3.67129408087836,3.1340100240671
"AAMP",5.96235611108395,6.01921472198748,6.07680101102279,6.22413475550655,6.10195085474044,6.10724385521211,6.18188994239429,6.17340040460841,6.43954095546104,6.01674825724152,6.14999089629331,6.27176531845028,6.30989426023638,6.40941996806917
"AAR2",5.81634224281847,5.82350206142343,5.912362056428,5.88788502427071,5.98808140501467,5.95939081074402,5.97869274019774,5.95919847125074,6.11446390928599,5.97832135470087,5.97364600812667,5.92946794335535,5.94772617258854,5.97996888886692
"AARD",2.90815309989472,2.55392398018269,2.80324896449295,2.46656540221786,2.59644462770465,2.94213941148266,3.17280897041616,2.99640449359992,3.05309903111125,3.42053002964053,3.02033359917188,3.25187335438674,2.44228617394249,2.69140271069553
"AARS",7.60004919659859,7.46593566374959,7.63726055285807,7.6403022494047,7.72986684496219,7.56871256582002,7.56121629878855,7.72267473792222,7.67331914862532,7.74063495981366,7.54269833190589,7.90208597189548,7.6484774727583,7.66909614416895
"AARS2",2.65785513196433,2.81691518511614,2.44710950441405,2.64295419977633,2.81511902073048,2.7774219536434,2.50705711513058,2.59644462770465,3.53861658668814,2.87742960172233,2.01866796606191,2.8004456756416,3.35197581813795,2.8178455889955
"AASDH",1.79536210808092,1.35057105303023,1.35057105303023,1.9994000553862,0.989151087791984,2.00905564875107,1.88997180726516,1.67871977406521,1.97647928582625,1.52204340083387,1.91986192554427,1.08601957010517,1.69451969955565,1.88997180726516
"AASDHPPT",6.51715722208798,6.67621221048655,6.54771523408544,6.58320700437161,6.43155693822812,6.31540362846137,6.35315766121554,6.23767798472812,6.49388499721223,6.26206462051779,6.43649184092369,6.36474982349139,6.27689817921272,6.32443411284115
"AATF",8.13397490792265,7.83549741789081,8.18333246538338,8.22845250812372,8.39468069238301,8.41892544839506,8.09018368747768,7.96977293616063,8.08927705445172,7.9296811140566,8.20034567070859,8.02230576044685,8.03564176603061,8.03983129372815
"ABCA1",5.49110756727562,5.35854253147735,5.54337806025154,5.42235038357396,5.14539882237127,5.61936611385422,5.62071005604012,5.39431446250526,5.54874144060275,5.68175902537835,5.3592874059644,5.56449190839496,5.48912934785684,5.68134431554066
