"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",22.8798415971611,0.417479862264777,0.346210855171434,1.20585434000344,0.227873658789322,NA,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",182.284495527349,-0.147173686444266,0.150906058887055,-0.975266914593654,0.329427877554457,NA,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",209.775259664746,-0.0531552540689677,0.146460471090677,-0.362932425883418,0.716655363531624,NA,".","acetoacetyl-CoA_synthetase"
"AADAC",313.662848618221,-0.148199555361918,0.153070612586296,-0.968177711305413,0.332955624354569,NA,".","arylacetamide_deacetylase"
"AADAT",78.7656552579132,0.11963573676834,0.241921206001544,0.494523563046294,0.620936469549922,NA,".","aminoadipate_aminotransferase"
"AAED1",97.7537573569125,0.113128839795936,0.183427896655262,0.616748280162381,0.537400770667047,NA,".","AhpC_TSA_antioxidant_enzyme_domain_containing_1"
"AAGAB",615.658681834249,-0.0150870159259823,0.119002042427561,-0.126779470488215,0.899114944785686,0.975806789818363,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",18.5335241668203,0.177962961790193,0.401959867320225,0.442738134472556,0.65795515593461,NA,".","AP2_associated_kinase_1"
"AAMDC",46.6103565643288,-0.198547679956366,0.241878410068593,-0.820857388222707,0.411727505375786,NA,".","adipogenesis_associated__Mth938_domain_containing"
"AAMP",330.115632324708,-0.147530957493628,0.133083402522828,-1.10856015623979,0.267619974526305,NA,".","angio-associated__migratory_cell_protein"
"AAR2",280.448012873757,-0.0577271569011314,0.123265816845984,-0.468314398737641,0.639559773073295,NA,".","AAR2_splicing_factor_homolog__S._cerevisiae"
"AARD",30.3010800702388,-0.0610372390711281,0.318742361626123,-0.191493966348669,0.848138607230044,NA,".","alanine_and_arginine_rich_domain_containing_protein"
"AARS",923.464667430346,-0.0555292968580554,0.108832329389904,-0.510227954959189,0.609891769537499,0.944787069154058,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",27.8968484808214,-0.240347364130432,0.331245416683563,-0.72558698784966,0.468092000398876,NA,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",10.4116732486642,-0.509037851048798,0.49482086869601,-1.0287315738931,0.303605828678922,NA,".","aminoadipate-semialdehyde_dehydrogenase"
