"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",22.8798415971611,-0.13429901681421,0.303240279313881,-0.442879874395574,0.65785262520141,0.858607389700414,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",182.284495527349,0.17235871105589,0.138181542923927,1.24733526206737,0.212274593072467,0.522723566060482,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",209.775259664746,-0.338124100174958,0.137152210306987,-2.4653200952295,0.0136890899159318,0.115014388116012,".","acetoacetyl-CoA_synthetase"
"AADAC",313.662848618221,-0.225894287710648,0.143241135890731,-1.57702105827315,0.114790679719216,0.384743500919831,".","arylacetamide_deacetylase"
"AADAT",78.7656552579132,0.133164376398805,0.218593523906049,0.609187198318092,0.542400364704696,0.797648961369579,".","aminoadipate_aminotransferase"
"AAED1",97.7537573569125,0.042026666183905,0.165198961971144,0.254400304229792,0.7991863159532,0.924801651500036,".","AhpC_TSA_antioxidant_enzyme_domain_containing_1"
"AAGAB",615.658681834249,0.146739730013113,0.109731145693941,1.33726599759011,0.181135825816555,0.483676329124408,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",18.5335241668203,-0.00732383183463854,0.358531245157989,-0.0204273182143755,0.983702491610721,NA,".","AP2_associated_kinase_1"
"AAMDC",46.6103565643288,-0.0765840841241386,0.225127426529976,-0.34018104903776,0.733720188743363,0.897330944773271,".","adipogenesis_associated__Mth938_domain_containing"
"AAMP",330.115632324708,0.212110514655929,0.122398442566917,1.73295109159552,0.0831043621204412,0.320321004103508,".","angio-associated__migratory_cell_protein"
"AAR2",280.448012873757,0.08922335686891,0.112832278966383,0.790760921309522,0.429083518112504,0.721745674937047,".","AAR2_splicing_factor_homolog__S._cerevisiae"
"AARD",30.3010800702388,-0.0861535307485786,0.2936129210181,-0.293425542887697,0.769196903840492,0.910336461454208,".","alanine_and_arginine_rich_domain_containing_protein"
"AARS",923.464667430346,0.0397033547728129,0.100977898218658,0.393188563767083,0.694180215727113,0.877220135831451,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",27.8968484808214,0.0995580133986277,0.305698144783756,0.325674247938446,0.744670830055812,0.901147364773921,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",10.4116732486642,0.599459203387831,0.450068516310525,1.33192876565095,0.182883597484793,NA,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",390.661763846281,-0.190137204503341,0.118334564832024,-1.60677655571929,0.108103392881728,0.37117690885909,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",1275.3012564449,0.229206244031548,0.121189464903865,1.89130502567504,0.0585836382206077,0.264572524280317,".","apoptosis_antagonizing_transcription_factor"
"ABCA1",204.641938283922,0.100518688706761,0.130967074878617,0.767511138199612,0.442777673446829,0.733272718735003,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA11P",194.175537618985,-0.375827524441904,0.172886217251522,-2.17384318088894,0.0297169143870172,0.179488723821827,".","ATP-binding_cassette__sub-family_A__ABC1__member_11__pseudogene"
"ABCA12",24.5785369291303,-0.241525054660418,0.343886171242859,-0.702340119660842,0.482467078954491,0.760734740815124,"ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4A__ARCI4A,ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4B__ARCI4B","ATP-binding_cassette__sub-family_A__ABC1__member_12"
"ABCA13",17.8132977138619,-1.14693902715372,0.363388731784988,-3.15623167928153,0.0015982185895941,NA,".","ATP-binding_cassette__sub-family_A__ABC1__member_13"
"ABCA2",54.9964250309757,0.584961756192324,0.226389718231746,2.58387068441651,0.00976984177970293,0.0931074319750485,".","ATP-binding_cassette__sub-family_A__ABC1__member_2"
"ABCA3",114.047036741353,0.39235454374742,0.168038501111292,2.33490861411317,0.0195481952594018,0.141280772456447,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ABCA5",34.2323865448388,-0.0475759467608327,0.266714324430151,-0.17837792125519,0.85842618751353,0.950113240746082,".","ATP-binding_cassette__sub-family_A__ABC1__member_5"
"ABCB10",101.987028065346,-0.297756868174267,0.178977837202954,-1.66365217519431,0.096181958740957,0.347648548366976,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCB6",35.6746395364676,-0.530146417708159,0.273146684099241,-1.94088542372912,0.0522721764155263,0.247510763941539,"BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7","ATP-binding_cassette__sub-family_B__MDR_TAP__member_6"
"ABCB7",211.807014142445,-0.465005261870217,0.173648115282605,-2.67785953860449,0.00740942830467436,0.0793794458646659,"ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT","ATP-binding_cassette__sub-family_B__MDR_TAP__member_7"
"ABCB8",38.6202337399279,-0.176681978592741,0.274016500587009,-0.644785909659622,0.519065934253977,0.78265374915338,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_8"
"ABCC1",355.095773367348,-0.183657542459411,0.175866527674404,-1.04430072560158,0.29634627728137,0.612662245409485,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1"
"ABCC10",26.8932408128545,0.399442613689157,0.289672027101949,1.37894783174412,0.167910839077791,0.463718337204041,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10"
"ABCC2",1118.1691263731,0.180776225289541,0.119002858559547,1.51909145274089,0.128739477872635,0.406622169231901,"DUBIN-JOHNSON_SYNDROME__DJS","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2"
"ABCC3",308.134073944411,-0.305772961008923,0.173981628569818,-1.75750143002149,0.0788323783155453,0.311852265840988,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCC4",82.1902410194517,0.110773634977052,0.198872238426699,0.557009041852169,0.577521251492562,0.8157569432889,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4"
"ABCC5",29.9971528078562,0.357560353225414,0.297874157550818,1.20037386312847,0.229994175000396,0.543553263418746,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5"
"ABCD1",20.2049200508177,0.241303600595837,0.318948086788174,0.756560740105946,0.449313069677381,NA,"ADRENOLEUKODYSTROPHY__ALD","ATP-binding_cassette__sub-family_D__ALD__member_1"
"ABCD3",166.35132070837,0.115057086818729,0.154060235013981,0.746831827228407,0.455165081137998,0.741191954888791,".","ATP-binding_cassette__sub-family_D__ALD__member_3"
"ABCD4",61.0306264103203,-0.057539272506017,0.205411616222407,-0.280116935761399,0.779387791769611,0.916008692956956,"METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ","ATP-binding_cassette__sub-family_D__ALD__member_4"
"ABCE1",527.749552961758,0.40940439580729,0.122566679036766,3.34025853539266,0.000837004311510969,0.0215248170625166,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCF1",327.639962575621,-0.0346378674237646,0.12090212476354,-0.286495109093486,0.774498938934279,0.912821924484554,".","ATP-binding_cassette__sub-family_F__GCN20__member_1"
"ABCF2",484.953879634036,0.220079106250179,0.113607421669362,1.93718951646212,0.0527221812856838,0.248695295070644,".","ATP-binding_cassette__sub-family_F__GCN20__member_2"
"ABCF3",46.401653539825,0.0220407320365048,0.249527046702071,0.0883300320659062,0.929614370100115,0.977096956210312,".","ATP-binding_cassette__sub-family_F__GCN20__member_3"
"ABCG2",179.075228910451,0.118752674301771,0.166449847907506,0.713444174294227,0.475570946350164,0.755027749512469,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD10",66.0649665931556,-0.235405856188203,0.205720712871801,-1.14429827168109,0.252499959819951,0.566549268964126,".","abhydrolase_domain_containing_10"
"ABHD11",49.4684806369796,0.0882256705808843,0.217724770900689,0.405216504378029,0.685318374327218,0.873767791852413,".","abhydrolase_domain_containing_11"
"ABHD12",403.754022111732,0.0244507211788852,0.128790066828935,0.189849433119418,0.849427118223383,0.947089415677349,"POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_","abhydrolase_domain_containing_12"
"ABHD13",44.2198281119744,-0.450498846960697,0.265025091083231,-1.69983470289316,0.0891620219666532,0.33395595164537,".","abhydrolase_domain_containing_13"
"ABHD14A",9.77949491504473,-0.111497726251343,0.446090646683034,-0.249944102348702,0.802630576615294,NA,".","abhydrolase_domain_containing_14A"
"ABHD14B",45.652828182104,-0.0454996887543101,0.220703563109596,-0.20615747255388,0.836667906231333,0.942221521804799,".","abhydrolase_domain_containing_14B"
"ABHD15",97.8003344604886,0.066354554553019,0.174216345402183,0.380874448949309,0.703296412829375,0.882370376865522,".","abhydrolase_domain_containing_15"
"ABHD16A",88.8925981610917,-0.0231796812947206,0.169740193656512,-0.136559766990883,0.891378779780459,0.961447732906481,".","abhydrolase_domain_containing_16A"
"ABHD16B",11.2242681218191,0.0446413756407504,0.413200415458894,0.108038070559954,0.913965492997395,NA,".","abhydrolase_domain_containing_16B"
"ABHD2",427.176686248636,0.0482396766583462,0.12006994951031,0.401763112711263,0.68785837172995,0.875113105456463,".","abhydrolase_domain_containing_2"
"ABHD3",102.65781333268,-0.0749763638623864,0.174465297987217,-0.429749438583941,0.667377916197614,0.864363008008823,".","abhydrolase_domain_containing_3"
"ABHD4",363.846584101476,0.0584772181849074,0.11920787834238,0.490548267430393,0.623745983365069,0.84151205524629,".","abhydrolase_domain_containing_4"
"ABHD5",106.660285584226,0.00631113651907508,0.177398449277764,0.0355760523542871,0.971620403683804,0.992924696592042,"CHANARIN-DORFMAN_SYNDROME__CDS","abhydrolase_domain_containing_5"
"ABHD6",45.1518634700136,0.388598270485155,0.238887825987877,1.6266976723413,0.103801323364296,0.362904556597389,".","abhydrolase_domain_containing_6"
"ABHD8",24.8494274520467,-0.264961096033105,0.28602142768755,-0.926367993388764,0.354254771603394,0.664476814391099,".","abhydrolase_domain_containing_8"
"ABI1",587.657554600714,-0.0055562561520551,0.11662112748852,-0.0476436497546472,0.962000244034988,0.989673000822879,".","abl-interactor_1"
"ABI2",131.886908583927,-0.353300884420715,0.152811485881022,-2.31200477100127,0.0207774203950014,0.145849588187083,".","abl-interactor_2"
"ABI3BP",9.34891202553862,-0.474769301187033,0.461866333526585,-1.02793658408035,0.303979659169263,NA,".","ABI_family__member_3__NESH__binding_protein"
"ABL1",536.138455911391,0.123263417701379,0.141049626425077,0.873901057560432,0.382172138728623,0.68546337256099,"LEUKEMIA__CHRONIC_MYELOID__CML","c-abl_oncogene_1__non-receptor_tyrosine_kinase"
"ABL2",198.125911118951,0.128053935725874,0.134720461351661,0.950515864042465,0.341850196982955,0.655134369229323,".","c-abl_oncogene_2__non-receptor_tyrosine_kinase"
