"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",22.8798415971611,-0.0769806054995938,0.287391569320325,-0.267859651143042,0.788807352800057,0.999299350154369,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",182.284495527349,-0.0968388865023912,0.127341617121513,-0.760465342685137,0.446976477890221,0.999299350154369,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",209.775259664746,-0.218379726953271,0.12923125442095,-1.68983678082962,0.0910591849958809,0.999299350154369,".","acetoacetyl-CoA_synthetase"
"AADAC",313.662848618221,-0.0965112996991458,0.134094076611894,-0.719728284333371,0.471692307942935,0.999299350154369,".","arylacetamide_deacetylase"
"AADAT",78.7656552579132,-0.141681755434184,0.201558667847706,-0.702930600539771,0.482098999924939,0.999299350154369,".","aminoadipate_aminotransferase"
"AAED1",97.7537573569125,0.082183763929623,0.155506369117061,0.52849130486583,0.59715838052081,0.999299350154369,".","AhpC_TSA_antioxidant_enzyme_domain_containing_1"
"AAGAB",615.658681834249,-0.00110752049689969,0.101685688780278,-0.0108916063822197,0.991309927238631,0.999299350154369,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",18.5335241668203,-0.284485688990011,0.330437221706094,-0.860937177480102,0.389272644279921,0.999299350154369,".","AP2_associated_kinase_1"
"AAMDC",46.6103565643288,0.0958332950439241,0.215057612402932,0.445616846449364,0.655874039467986,0.999299350154369,".","adipogenesis_associated__Mth938_domain_containing"
"AAMP",330.115632324708,0.049561147041116,0.113386076959726,0.437100818460452,0.662038233765963,0.999299350154369,".","angio-associated__migratory_cell_protein"
"AAR2",280.448012873757,0.0226282784754045,0.105197181974789,0.215103466182464,0.829686651537578,0.999299350154369,".","AAR2_splicing_factor_homolog__S._cerevisiae"
"AARD",30.3010800702388,0.0833008774977144,0.279554822098722,0.297976893663804,0.765720799177128,0.999299350154369,".","alanine_and_arginine_rich_domain_containing_protein"
"AARS",923.464667430346,-0.10685636053707,0.0935872268033767,-1.1417835979003,0.253543981780797,0.999299350154369,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",27.8968484808214,0.262207741096887,0.290910403253174,0.901335043933413,0.367410206565681,0.999299350154369,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",10.4116732486642,0.4407130712288,0.415515945705427,1.06064057416761,0.288853275923556,0.999299350154369,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",390.661763846281,-0.149994265647809,0.110584425655687,-1.35637785120688,0.174978976715396,0.999299350154369,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",1275.3012564449,-0.0650864567919937,0.112038236224257,-0.580930751727616,0.561287125643946,0.999299350154369,".","apoptosis_antagonizing_transcription_factor"
"ABCA1",204.641938283922,0.245369438943482,0.123542087447874,1.9861202284364,0.0470199756681962,0.999299350154369,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA11P",194.175537618985,-0.201703426691694,0.162292946557289,-1.24283544645912,0.213928477569854,0.999299350154369,".","ATP-binding_cassette__sub-family_A__ABC1__member_11__pseudogene"
"ABCA12",24.5785369291303,0.107027140304655,0.330389780630024,0.323942042337278,0.745981913537226,0.999299350154369,"ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4A__ARCI4A,ICHTHYOSIS__CONGENITAL__AUTOSOMAL_RECESSIVE_4B__ARCI4B","ATP-binding_cassette__sub-family_A__ABC1__member_12"
"ABCA13",17.8132977138619,-0.356887530040298,0.364084308589842,-0.980233208683402,0.326971015577325,0.999299350154369,".","ATP-binding_cassette__sub-family_A__ABC1__member_13"
"ABCA2",54.9964250309757,0.0152923621555221,0.202898742650291,0.0753694279016775,0.939920783003888,0.999299350154369,".","ATP-binding_cassette__sub-family_A__ABC1__member_2"
"ABCA3",114.047036741353,0.056955652999407,0.153891783791325,0.370101974232996,0.711306511174174,0.999299350154369,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ABCA5",34.2323865448388,-0.0847180771507171,0.250212773386231,-0.338584141825348,0.734923030691178,0.999299350154369,".","ATP-binding_cassette__sub-family_A__ABC1__member_5"
"ABCB10",101.987028065346,-0.237701170139043,0.168655209651967,-1.40939121079958,0.1587195215244,0.999299350154369,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCB6",35.6746395364676,-0.240500922548641,0.262346157456933,-0.916731256443587,0.359283483004507,0.999299350154369,"BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7","ATP-binding_cassette__sub-family_B__MDR_TAP__member_6"
"ABCB7",211.807014142445,-0.329250685419745,0.162687462211602,-2.02382335395644,0.0429883303888467,0.999299350154369,"ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT","ATP-binding_cassette__sub-family_B__MDR_TAP__member_7"
"ABCB8",38.6202337399279,0.0178547302936111,0.260878949367798,0.0684406708049058,0.945434847091927,0.999299350154369,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_8"
"ABCC1",355.095773367348,-0.0721848962763067,0.16382947808092,-0.440609938589027,0.659495406543071,0.999299350154369,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1"
"ABCC10",26.8932408128545,0.43519386573168,0.272825643464322,1.59513548728637,0.110681941293362,0.999299350154369,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10"
"ABCC2",1118.1691263731,0.0476925164198536,0.110232556556826,0.432653636181137,0.665266417209627,0.999299350154369,"DUBIN-JOHNSON_SYNDROME__DJS","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2"
"ABCC3",308.134073944411,-0.0232898190188549,0.162884996720567,-0.14298320586769,0.886303444679831,0.999299350154369,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCC4",82.1902410194517,0.112076481727514,0.186266533333683,0.601699509416094,0.547374176626176,0.999299350154369,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4"
"ABCC5",29.9971528078562,0.315996562737954,0.278281668309236,1.13552777176399,0.256154252547386,0.999299350154369,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5"
"ABCD1",20.2049200508177,0.0350055101530607,0.294504428293309,0.118862423753429,0.905384352155723,0.999299350154369,"ADRENOLEUKODYSTROPHY__ALD","ATP-binding_cassette__sub-family_D__ALD__member_1"
"ABCD3",166.35132070837,-0.144966325848706,0.14217531675648,-1.01963075698299,0.307903612357698,0.999299350154369,".","ATP-binding_cassette__sub-family_D__ALD__member_3"
"ABCD4",61.0306264103203,-0.133714450753643,0.192142102959941,-0.695914371154356,0.486482456747075,0.999299350154369,"METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ","ATP-binding_cassette__sub-family_D__ALD__member_4"
"ABCE1",527.749552961758,-0.00329132429457863,0.11267386822676,-0.0292110703784015,0.976696252117095,0.999299350154369,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCF1",327.639962575621,0.133009468686597,0.113679080239302,1.17004349794705,0.241983464535409,0.999299350154369,".","ATP-binding_cassette__sub-family_F__GCN20__member_1"
"ABCF2",484.953879634036,0.0301452102687004,0.105124112608622,0.28675828523691,0.774297405606161,0.999299350154369,".","ATP-binding_cassette__sub-family_F__GCN20__member_2"
"ABCF3",46.401653539825,-0.0518669988080344,0.23300181003757,-0.222603415826132,0.823844177709075,0.999299350154369,".","ATP-binding_cassette__sub-family_F__GCN20__member_3"
"ABCG2",179.075228910451,-0.11675691315267,0.153832511786131,-0.758987237463777,0.447860191360667,0.999299350154369,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD10",66.0649665931556,-0.0683085295452384,0.195514127644341,-0.349378995616614,0.726804800071525,0.999299350154369,".","abhydrolase_domain_containing_10"
"ABHD11",49.4684806369796,0.115678747204226,0.205207064515743,0.563717177462722,0.572946625185792,0.999299350154369,".","abhydrolase_domain_containing_11"
"ABHD12",403.754022111732,-0.0502893985871774,0.119673779198343,-0.420220694324607,0.674324238371901,0.999299350154369,"POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_","abhydrolase_domain_containing_12"
"ABHD13",44.2198281119744,-0.0508083376900955,0.254980825335013,-0.199263366660374,0.842056733681165,0.999299350154369,".","abhydrolase_domain_containing_13"
