"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"ABCC3",363.901135202171,-1.00296840530615,0.185785685599535,6.47114435798276e-09,3.43371245623819e-07,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCG2",362.413050001367,-0.474749251021031,0.163102361918066,0.00102365628727911,0.0107914872366614,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABI1",404.798631178416,-0.615787735895842,0.17136244712392,6.13749027019367e-05,0.00108728225883574,".","abl-interactor_1"
"ABL1",384.277200970696,0.440261516108487,0.156762139181544,0.00161297804446376,0.015414592066432,"LEUKEMIA__CHRONIC_MYELOID__CML","c-abl_oncogene_1__non-receptor_tyrosine_kinase"
"ABL2",110.12679989654,0.980568908954986,0.252326938381136,9.53402644739232e-06,0.00022460392537694,".","c-abl_oncogene_2__non-receptor_tyrosine_kinase"
"ACAA2",289.211018444468,-0.467108973514979,0.173965035019489,0.00206949973004948,0.0187635764783901,".","acetyl-CoA_acyltransferase_2"
"ACAT1",223.603337729043,-0.551763755749658,0.19461464981722,0.000978243498659372,0.0103913892331376,"ALPHA-METHYLACETOACETIC_ACIDURIA","acetyl-CoA_acetyltransferase_1"
"ACAT2",334.02880812331,-0.500705562925971,0.176395948453877,0.00115808969431134,0.0119376442772537,".","acetyl-CoA_acetyltransferase_2"
"ACLY",1126.13068615012,-0.345690820980753,0.12380487746136,0.00244640477396118,0.0213772506760611,".","ATP_citrate_lyase"
"ACO1",85.9139550748962,-1.92842470183326,0.290762909674074,2.2263961552526e-12,1.92315754713021e-10,".","aconitase_1__soluble"
"ACSL4",215.290005417046,-0.500211213252498,0.199366903582281,0.0029643738605869,0.0247430845906516,"AMME_COMPLEX,MENTAL_RETARDATION__X-LINKED_63__MRX63","acyl-CoA_synthetase_long-chain_family_member_4"
"ACTR10",498.436150398538,-0.633613194419452,0.184067644927163,0.000101192449077678,0.00163655654582376,".","actin-related_protein_10_homolog__S._cerevisiae"
"ACTR2",1475.43780226173,-0.34006555620722,0.121583309234391,0.00246547602865729,0.021495839064954,".","ARP2_actin-related_protein_2_homolog__yeast"
"ACYP1",91.6252823110451,0.72768755023546,0.283527824000283,0.00126984094561855,0.0128005315830139,".","acylphosphatase_1__erythrocyte__common__type"
"ADA",179.496507942491,-0.992025512793766,0.238076295107732,2.84346566708815e-06,8.12429177650339e-05,"SEVERE_COMBINED_IMMUNODEFICIENCY__AUTOSOMAL_RECESSIVE__T_CELL-NEGATIVE_","adenosine_deaminase"
"ADAM9",579.302967733281,-0.87773341361942,0.142693881541472,9.08731452709858e-11,6.44967807487003e-09,"CONE-ROD_DYSTROPHY_9__CORD9","ADAM_metallopeptidase_domain_9"
"ADAR",2081.83595890775,1.01095987257369,0.118092929493681,1.16468281337695e-18,1.85400865563705e-16,"AICARDI-GOUTIERES_SYNDROME_6__AGS6,DYSCHROMATOSIS_SYMMETRICA_HEREDITARIA__DSH","adenosine_deaminase__RNA-specific"
"ADM",849.835823785362,1.02899052685689,0.160517049684175,1.42298899464011e-11,1.10883680890033e-09,".","adrenomedullin"
"ADNP2",333.402359626365,0.916652715596144,0.208110024028426,1.10948211200767e-06,3.7237828837655e-05,".","ADNP_homeobox_2"
"ADPRHL2",49.2721483261168,0.741795124911799,0.398170612663345,0.00601091570510008,0.0423921732290697,".","ADP-ribosylhydrolase_like_2"
"AEN",252.123376866735,0.734443985785664,0.187738324581743,1.31081353776904e-05,0.000295676017234016,".","apoptosis_enhancing_nuclease"
"AFAP1L2",48.6755526858658,-1.31665007474454,0.396762768220164,5.7831133371728e-05,0.00104105382740091,".","actin_filament_associated_protein_1-like_2"
"AGA",89.1079742911803,-0.880687691041799,0.303973829514341,0.000355361681896561,0.00462592899693152,"ASPARTYLGLUCOSAMINURIA__AGU","aspartylglucosaminidase"
"AGPAT5",169.126969763044,-0.706551925735451,0.22099720019766,0.000197039441058727,0.0028184987056706,".","1-acylglycerol-3-phosphate_O-acyltransferase_5"
"AGRN",279.084814137543,0.882030845858516,0.182111414981886,1.4567260710946e-07,6.01196244822484e-06,"MYASTHENIA__LIMB-GIRDLE__FAMILIAL","agrin"
"AHNAK2",408.4701454959,-0.731120068492652,0.164152683498472,1.24007796591258e-06,4.11621195174178e-05,".","AHNAK_nucleoprotein_2"
"AK3",319.381560784189,-0.60409732395948,0.18772408069831,0.000242061646261968,0.00337583595030928,".","adenylate_kinase_3"
"AKAP17A",269.835054521828,0.685492463121741,0.175898269544335,1.56740499639872e-05,0.000343135439584892,".","A_kinase__PRKA__anchor_protein_17A"
"AKAP8L",178.179560654312,0.51189290148798,0.214644863350938,0.00395389995966171,0.0307455040129172,".","A_kinase__PRKA__anchor_protein_8-like"
"AKAP9",68.2026287370852,-0.813111169767877,0.33628317036901,0.00153627790245627,0.014757538506095,"LONG_QT_SYNDROME_11__LQT11","A_kinase__PRKA__anchor_protein_9"
"AKIRIN1",461.056378040206,0.647467194840461,0.155603029513559,5.71737433886315e-06,0.000145786504022774,".","akirin_1"
"AKR1A1",361.782294104876,-0.543287847478991,0.173341483665014,0.000390807311930816,0.00500135346341368,".","aldo-keto_reductase_family_1__member_A1__aldehyde_reductase"
"AKR1B1",3936.52903320191,-1.0758932046094,0.149520282967746,5.71098102890755e-14,6.00353411369026e-12,".","aldo-keto_reductase_family_1__member_B1__aldose_reductase"
"AKR1B10",21072.1709630265,-0.496644152223102,0.109109796679208,1.52842257758111e-06,4.85219737378528e-05,".","aldo-keto_reductase_family_1__member_B10__aldose_reductase"
"AKR1C2",17829.7603019512,-0.708083108144948,0.123172806637147,1.45186903446577e-09,8.84053368909947e-08,"46_XY_SEX_REVERSAL_8__SRXY8","aldo-keto_reductase_family_1__member_C2"
"AKR1C3",17368.0927980028,-0.569487519529695,0.103928054145494,9.94006058760808e-09,5.15172535477753e-07,".","aldo-keto_reductase_family_1__member_C3"
"AKTIP",188.561272804393,-0.550708464912554,0.201622147074078,0.00133388395681967,0.0132659923501948,".","AKT_interacting_protein"
"ALCAM",269.376077209139,-0.641137670809746,0.180300056406796,6.55129790663609e-05,0.00114242742681762,".","activated_leukocyte_cell_adhesion_molecule"
"ALDH1A1",17063.7777686099,-1.08799709237709,0.127587949369982,1.38099695310922e-18,2.13728459006889e-16,".","aldehyde_dehydrogenase_1_family__member_A1"
"ALDH3A1",5044.52515712694,-0.937205447517859,0.149818134575124,4.22957846590378e-11,3.16310019097757e-09,".","aldehyde_dehydrogenase_3_family__member_A1"
"ALDH3B1",184.676314077267,-0.561829696441344,0.224877590520915,0.00242704782034021,0.0212782013076719,".","aldehyde_dehydrogenase_3_family__member_B1"
"ALG14",89.7974917274868,-0.750948646861585,0.288003287137507,0.00105813957390805,0.0110920501148235,".","ALG14__UDP-N-acetylglucosaminyltransferase_subunit"
"ALKBH2",144.10968002256,0.537594438167734,0.238778334906227,0.00498006081936965,0.0367745644203022,".","alkB__alkylation_repair_homolog_2__E._coli"
"AMBP",29.4120860723837,-0.979840624785878,0.501503524308628,0.00319495916618297,0.0261582880152659,".","alpha-1-microglobulin_bikunin_precursor"
"AMIGO2",229.54901268388,-0.695193003440263,0.19760922298113,6.54751128968459e-05,0.00114242742681762,".","adhesion_molecule_with_Ig-like_domain_2"
"AMOTL2",245.152417355588,0.964742478816905,0.187268185784855,2.64769173013056e-08,1.31710843521629e-06,".","angiomotin_like_2"
"AMZ2",581.139632212789,-0.56361237573965,0.208698028709782,0.00137973664086481,0.0135816302024351,".","archaelysin_family_metallopeptidase_2"
"ANAPC16",381.167155141695,-0.473156615180346,0.16452515616472,0.00114632748801816,0.0118383013892366,".","anaphase_promoting_complex_subunit_16"
"ANKRD33B",76.1243099262202,1.12245847062361,0.307857910090784,2.07283586256939e-05,0.000436627788593775,".","ankyrin_repeat_domain_33B"
"ANO10",98.2775655720362,-0.538431552481046,0.259106687787378,0.00729349123056624,0.0486432610161476,"SPINOCEREBELLAR_ATAXIA__AUTOSOMAL_RECESSIVE_10__SCAR10","anoctamin_10"
"ANO6",416.600034809169,-0.707681865422509,0.168166165582164,3.94867490539887e-06,0.000108108315653218,"SCOTT_SYNDROME__SCTS","anoctamin_6"
"ANXA1",10072.9042670489,-0.338941481014389,0.106213223840331,0.000695202445171042,0.00795869747400674,".","annexin_A1"
"ANXA11",269.508254081413,-0.484357450521068,0.191660249748758,0.0029964403961282,0.0249360234010878,".","annexin_A11"
"ANXA13",24.6662283545062,-2.78051051460038,0.565744298731296,6.1898075996861e-08,2.87387608680426e-06,".","annexin_A13"
"ANXA2",8500.9912388535,-0.680074272503948,0.115185491355344,6.1585302784252e-10,3.92140016528526e-08,".","annexin_A2"
"ANXA3",239.39186450512,-1.07578859131156,0.219160118017293,8.05633410797643e-08,3.59086923860726e-06,".","annexin_A3"
"ANXA4",2122.37351049932,-0.565875199447839,0.144670909888325,2.04225446851712e-05,0.000432639573054873,".","annexin_A4"
"ANXA5",1260.81080364406,-0.446214191884165,0.130477993962502,0.000206157784831469,0.00292639005907906,"PREGNANCY_LOSS__RECURRENT__SUSCEPTIBILITY_TO__3__RPRGL3","annexin_A5"
"ANXA6",167.656288481109,-0.724127866623428,0.216721840474508,0.000115074476671905,0.00181112273100994,".","annexin_A6"
"AP1M2",146.961700095971,-0.82446328948882,0.218996057607152,1.94503006549349e-05,0.000415200575091839,".","adaptor-related_protein_complex_1__mu_2_subunit"
"AP2M1",994.601356866007,-0.689470704339033,0.128279241351222,1.28901587562052e-08,6.52886541001792e-07,".","adaptor-related_protein_complex_2__mu_1_subunit"
"APLP1",108.080650005814,-0.922598802330377,0.262517066000833,4.24584945738515e-05,0.000797613700482617,".","amyloid_beta__A4__precursor-like_protein_1"
"APOA1BP",634.622407202571,-0.441998999197029,0.171620823367156,0.00310179267016965,0.025526791524151,".","apolipoprotein_A-I_binding_protein"
"APOBEC3F",48.8453900624934,0.847263486845926,0.386710186125903,0.00247628288181585,0.0215165901320076,".","apolipoprotein_B_mRNA_editing_enzyme__catalytic_polypeptide-like_3F"
"APOL1",209.367060477295,2.97225908214388,0.237555123581201,4.94338324731567e-37,1.96728998302995e-34,"FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_4__SUSCEPTIBILITY_TO__FSGS4","apolipoprotein_L__1"
"APOL3",21.6458259309301,4.31700736884837,0.902740088152001,5.63354130697402e-07,2.01200483280806e-05,".","apolipoprotein_L__3"
"APOL6",127.562793949727,2.71101737712505,0.284240787410858,1.01503591190443e-22,2.05646275751837e-20,".","apolipoprotein_L__6"
"APP",464.559515654241,-1.10094177624994,0.159037460400358,4.01676057909792e-13,3.72989692774067e-11,"ALZHEIMER_DISEASE__AD,CEREBRAL_AMYLOID_ANGIOPATHY__APP-RELATED","amyloid_beta__A4__precursor_protein"
"APPL2",126.366080041628,-0.668193870510857,0.254933655024441,0.00125700716509352,0.0127103728136453,".","adaptor_protein__phosphotyrosine_interaction__PH_domain_and_leucine_zipper_containing_2"
"AREG",706.245032315472,1.02167378793564,0.139367301314668,2.30641427916604e-14,2.44765469645211e-12,".","amphiregulin"
"ARF1",2040.29482972416,0.371646551502867,0.121277308781627,0.000945204859401616,0.0101175963000117,".","ADP-ribosylation_factor_1"
"ARHGAP18",138.410118640608,-0.600774063562105,0.22929546926806,0.00154093693694635,0.014789543745386,".","Rho_GTPase_activating_protein_18"
"ARL14",64.8934403882582,0.936780986362761,0.366744447965586,0.000878285577029981,0.00954803530228788,".","ADP-ribosylation_factor-like_14"
"ARL2",128.157824524629,-0.656197276622011,0.24767004761929,0.00119935078416485,0.012227233108828,".","ADP-ribosylation_factor-like_2"
"ARL3",277.583893125024,-0.569238297730454,0.192107409343607,0.000621350049171183,0.00734220954179691,".","ADP-ribosylation_factor-like_3"
"ARL5B",454.960233991788,0.816987000603499,0.165299115948665,9.85481444812151e-08,4.23985318129027e-06,".","ADP-ribosylation_factor-like_5B"
"ARL6IP4",227.990043772973,-0.563354500079729,0.190583531282279,0.000648689291911147,0.00759279913840957,".","ADP-ribosylation-like_factor_6_interacting_protein_4"
