"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"AACS",124.999908500926,-0.753355014258404,0.253333997109615,0.000362683832154041,0.00317863873631995,".","acetoacetyl-CoA_synthetase"
"ABCA1",73.6629697434032,-1.04797332961341,0.300958975096576,4.0751202205946e-05,0.000517945711180687,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA3",57.3043809894167,-1.06765808415473,0.339482011780938,0.00012787928610461,0.00134177244939792,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ABCB10",101.449433090128,0.645621042061123,0.263754960940811,0.00214003965549535,0.0131299659851627,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCE1",541.057467022364,0.47849184437596,0.15247728799651,0.000489330173137696,0.00401656920503472,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCG2",362.413050001367,0.493544999026482,0.160842464868717,0.000581362278297818,0.00461654500084676,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD2",372.781619663872,-0.596886458480314,0.177098751569152,0.000145730365794936,0.00149759381790443,".","abhydrolase_domain_containing_2"
"ABHD4",361.822673386347,-0.449829277736491,0.164684822302695,0.00192588433136382,0.012117118584247,".","abhydrolase_domain_containing_4"
"ABHD5",103.171029195507,0.541394502808934,0.248817215665322,0.00582399983264985,0.0292231528223244,"CHANARIN-DORFMAN_SYNDROME__CDS","abhydrolase_domain_containing_5"
"ABLIM1",33.8315282669525,-0.877386613802741,0.466988914091224,0.00435475432570337,0.0232892429258597,".","actin_binding_LIM_protein_1"
"ABT1",148.232846298106,0.449609634335597,0.217788570188255,0.0107720098165304,0.0468242559726915,".","activator_of_basal_transcription_1"
"ACACB",83.2974204259463,-0.786798224812387,0.294946353555279,0.000826173162648129,0.00612876651866786,".","acetyl-CoA_carboxylase_beta"
"ACBD6",295.747500782353,0.47834041065417,0.200230796119633,0.00443038825076865,0.0236092169011474,".","acyl-CoA_binding_domain_containing_6"
"ACD",124.885211111003,0.464290554512673,0.230605600014796,0.0113070921783083,0.0485940714280556,".","adrenocortical_dysplasia_homolog__mouse"
"ACLY",1126.13068615012,-0.983726958680799,0.128626617698295,2.11838056266047e-15,4.82714457778414e-13,".","ATP_citrate_lyase"
"ACN9",234.410662714917,0.470964350968535,0.190995043505577,0.00373831052520678,0.0205329927756476,".","ACN9_homolog__S._cerevisiae"
