"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0002376",6.5829373989019e-42,1,429,1549,"immune system process","BP"
"GO:0006955",1.20211381702898e-39,1,315,1017,"immune response","BP"
"GO:0006952",1.09316058963971e-32,1,241,747,"defense response","BP"
"GO:0034097",2.75683268877147e-29,1,200,587,"response to cytokine","BP"
"GO:0006950",2.81243936954539e-29,1,531,2309,"response to stress","BP"
"GO:0010033",6.66932363620996e-28,1,441,1838,"response to organic substance","BP"
"GO:0043207",4.44618223781831e-26,1,157,440,"response to external biotic stimulus","BP"
"GO:0051707",4.44618223781831e-26,1,157,440,"response to other organism","BP"
"GO:0042221",9.91707551468339e-26,1,518,2305,"response to chemical","BP"
"GO:0044421",4.15366494348702e-25,1,503,2131,"extracellular region part","CC"
"GO:0002682",4.51207653371403e-25,1,225,754,"regulation of immune system process","BP"
"GO:0005615",5.1294560366848e-25,1,488,2045,"extracellular space","CC"
"GO:0009607",5.29254017498223e-25,1,161,467,"response to biotic stimulus","BP"
"GO:0002252",8.28969235341894e-25,1,203,663,"immune effector process","BP"
"GO:0009605",9.09695487785356e-25,1,287,1081,"response to external stimulus","BP"
"GO:0045087",3.55175823358988e-24,1,157,455,"innate immune response","BP"
"GO:0005576",5.17258299331771e-24,1,534,2325,"extracellular region","CC"
"GO:0071345",1.966322188299e-23,1,171,514,"cellular response to cytokine stimulus","BP"
"GO:0070887",3.05866773382621e-23,1,411,1758,"cellular response to chemical stimulus","BP"
"GO:0050896",2.68377031296898e-22,1,879,4630,"response to stimulus","BP"
"GO:0019221",1.21137017034154e-21,1,132,359,"cytokine-mediated signaling pathway","BP"
"GO:0002684",7.57047077078979e-21,1,161,515,"positive regulation of immune system process","BP"
"GO:0048519",2.58765349546836e-20,1,635,3113,"negative regulation of biological process","BP"
"GO:0071310",6.27851958113122e-20,1,346,1473,"cellular response to organic substance","BP"
"GO:0048584",8.6047420933323e-20,1,291,1186,"positive regulation of response to stimulus","BP"
"GO:0070062",9.48403956682671e-20,1,419,1775,"extracellular exosome","CC"
"GO:1903561",1.16156997138622e-19,1,420,1783,"extracellular vesicle","CC"
"GO:0043230",1.38981623007428e-19,1,420,1784,"extracellular organelle","CC"
"GO:0051607",4.40825945502456e-19,1,68,147,"defense response to virus","BP"
"GO:0009615",7.00494921253303e-19,1,85,208,"response to virus","BP"
"GO:0007166",1.3611110408652e-18,1,346,1509,"cell surface receptor signaling pathway","BP"
"GO:0051716",5.20068109138604e-18,1,745,3912,"cellular response to stimulus","BP"
"GO:0048518",1.03622441404452e-17,1,642,3285,"positive regulation of biological process","BP"
"GO:0050776",1.72561251878251e-17,1,145,481,"regulation of immune response","BP"
"GO:0048525",5.82625137986782e-17,1,41,67,"negative regulation of viral process","BP"
"GO:0043901",1.50888206753805e-16,1,53,106,"negative regulation of multi-organism process","BP"
"GO:0031347",2.15984286944965e-16,1,123,391,"regulation of defense response","BP"
"GO:0098542",2.23967083498052e-16,1,83,214,"defense response to other organism","BP"
"GO:0048523",3.18369701641817e-16,1,561,2814,"negative regulation of cellular process","BP"
"GO:0048583",4.03048027419046e-16,1,459,2232,"regulation of response to stimulus","BP"
"GO:0034340",4.28126574510578e-16,1,40,67,"response to type I interferon","BP"
"GO:0051239",5.19376625426714e-16,1,332,1492,"regulation of multicellular organismal process","BP"
"GO:0034341",7.27384424773897e-16,1,46,84,"response to interferon-gamma","BP"
"GO:0080134",7.71552326914638e-16,1,213,848,"regulation of response to stress","BP"
"GO:0048522",9.26048950366457e-16,1,578,2965,"positive regulation of cellular process","BP"
"GO:0008219",1.11516930443834e-15,1,303,1325,"cell death","BP"
"GO:0031982",1.56866468230784e-15,1,540,2613,"vesicle","CC"
