"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0003723",1.14391524481212e-28,1,484,1384,"RNA binding","MF"
"GO:0032991",2.17875247685435e-26,1,1008,3505,"macromolecular complex","CC"
"GO:0071840",3.22544204848976e-22,1,1113,4119,"cellular component organization or biogenesis","BP"
"GO:0031974",3.63869007714482e-21,1,1049,3821,"membrane-enclosed lumen","CC"
"GO:0043233",3.63869007714482e-21,1,1049,3821,"organelle lumen","CC"
"GO:0070013",3.63869007714482e-21,1,1049,3821,"intracellular organelle lumen","CC"
"GO:0044422",4.24233392978515e-20,1,1570,6225,"organelle part","CC"
"GO:0044446",6.11621271683821e-20,1,1553,6149,"intracellular organelle part","CC"
"GO:1990904",6.29002582286994e-20,1,272,696,"ribonucleoprotein complex","CC"
"GO:0030529",7.4762993690575e-20,1,271,693,"intracellular ribonucleoprotein complex","CC"
"GO:0016071",1.21425283142533e-19,1,260,677,"mRNA metabolic process","BP"
"GO:0005515",2.11168059836621e-18,1,1737,7129,"protein binding","MF"
"GO:0043234",1.50530993592769e-17,1,664,2292,"protein complex","CC"
"GO:0016043",3.86648734046319e-17,1,1035,3927,"cellular component organization","BP"
"GO:0044428",1.9874425775663e-15,1,896,3341,"nuclear part","CC"
"GO:0043228",2.937604769869e-15,1,776,2826,"non-membrane-bounded organelle","CC"
"GO:0043232",2.937604769869e-15,1,776,2826,"intracellular non-membrane-bounded organelle","CC"
"GO:0048522",2.16093804240231e-14,1,785,2965,"positive regulation of cellular process","BP"
"GO:0031981",2.35254339875658e-14,1,835,3104,"nuclear lumen","CC"
"GO:0070062",3.29771994505795e-14,1,541,1775,"extracellular exosome","CC"
"GO:1903561",4.77395525366459e-14,1,542,1783,"extracellular vesicle","CC"
"GO:0043230",5.66084930087416e-14,1,542,1784,"extracellular organelle","CC"
"GO:0022613",6.54435202216026e-14,1,170,420,"ribonucleoprotein complex biogenesis","BP"
"GO:0044421",8.03001731878818e-14,1,627,2131,"extracellular region part","CC"
"GO:0005615",2.60267859789575e-13,1,604,2045,"extracellular space","CC"
"GO:0030055",2.8952242355027e-13,1,129,321,"cell-substrate junction","CC"
"GO:0005737",2.92685850073182e-13,1,1726,7171,"cytoplasm","CC"
"GO:0005925",4.03382373789379e-13,1,128,319,"focal adhesion","CC"
"GO:0032502",4.24037365307981e-13,1,833,3215,"developmental process","BP"
"GO:0005924",5.50704580026171e-13,1,128,320,"cell-substrate adherens junction","CC"
"GO:1904667",1.21406346914603e-12,1,48,72,"negative regulation of ubiquitin protein ligase activity","BP"
"GO:0048518",1.33245227882269e-12,1,850,3285,"positive regulation of biological process","BP"
"GO:1904666",1.5131655564763e-12,1,52,83,"regulation of ubiquitin protein ligase activity","BP"
"GO:1904668",1.55037989897991e-12,1,49,77,"positive regulation of ubiquitin protein ligase activity","BP"
"GO:0031012",1.9363712631847e-12,1,105,242,"extracellular matrix","CC"
"GO:0042590",2.1788415091429e-12,1,41,58,"antigen processing and presentation of exogenous peptide antigen via MHC class I","BP"
"GO:0051436",2.20096356379887e-12,1,45,67,"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:0048519",2.30787599813058e-12,1,821,3113,"negative regulation of biological process","BP"
"GO:0044444",2.76487778489373e-12,1,1512,6166,"cytoplasmic part","CC"
"GO:0051704",3.27306622101421e-12,1,414,1387,"multi-organism process","BP"
"GO:0050839",3.51480202836005e-12,1,132,351,"cell adhesion molecule binding","MF"
"GO:0051439",4.48829782930578e-12,1,45,68,"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:0051437",5.04807255010791e-12,1,46,71,"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition","BP"
"GO:0002479",5.29489330778517e-12,1,40,57,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","BP"
"GO:0070161",7.12875042249551e-12,1,148,406,"anchoring junction","CC"
"GO:0030154",8.39610293637258e-12,1,556,2064,"cell differentiation","BP"
"GO:0051444",9.79171276397719e-12,1,49,78,"negative regulation of ubiquitin-protein transferase activity","BP"
"GO:0048869",9.98752034737888e-12,1,585,2190,"cellular developmental process","BP"
"GO:0043043",1.00383822704083e-11,1,219,596,"peptide biosynthetic process","BP"
"GO:0006396",1.06580453726059e-11,1,268,809,"RNA processing","BP"
"GO:0005912",1.07516680620082e-11,1,145,396,"adherens junction","CC"
"GO:0048856",1.62420254990258e-11,1,762,2957,"anatomical structure development","BP"
"GO:0010033",1.80834738019595e-11,1,513,1838,"response to organic substance","BP"
"GO:0006412",2.05118540931137e-11,1,213,579,"translation","BP"
"GO:0005654",2.44895802242377e-11,1,711,2670,"nucleoplasm","CC"
"GO:1903047",2.72174869151076e-11,1,222,685,"mitotic cell cycle process","BP"
"GO:0006402",3.14070280514823e-11,1,122,286,"mRNA catabolic process","BP"
"GO:0044419",3.28569609568439e-11,1,228,671,"interspecies interaction between organisms","BP"
"GO:0043227",3.52911624676815e-11,1,1865,7896,"membrane-bounded organelle","CC"
