"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0005622",0,1,137,1525,"intracellular","CC"
"GO:0043226",0,1,134,1505,"organelle","CC"
"GO:0043227",0,1,134,1474,"membrane-bounded organelle","CC"
"GO:0044424",0,1,136,1482,"intracellular part","CC"
"GO:0051443",3.48939100753368e-15,1,16,24,"positive regulation of ubiquitin-protein transferase activity","BP"
"GO:0043231",5.25374449633154e-15,1,121,1102,"intracellular membrane-bounded organelle","CC"
"GO:0031145",3.98507252649131e-14,1,15,23,"anaphase-promoting complex-dependent catabolic process","BP"
"GO:0051436",3.98507252649131e-14,1,15,23,"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:0051437",3.98507252649131e-14,1,15,23,"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition","BP"
"GO:0051439",3.98507252649131e-14,1,15,23,"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","BP"
"GO:1904668",3.98507252649131e-14,1,15,23,"positive regulation of ubiquitin protein ligase activity","BP"
"GO:0044446",5.8360254822165e-14,1,121,1128,"intracellular organelle part","CC"
"GO:0031974",6.57182976741275e-14,1,91,689,"membrane-enclosed lumen","CC"
"GO:0043233",6.57182976741275e-14,1,91,689,"organelle lumen","CC"
"GO:0070013",6.57182976741275e-14,1,91,689,"intracellular organelle lumen","CC"
"GO:1904666",9.52584445561044e-14,1,15,24,"regulation of ubiquitin protein ligase activity","BP"
"GO:1904667",9.52584445561044e-14,1,15,24,"negative regulation of ubiquitin protein ligase activity","BP"
"GO:0000502",9.55117873207249e-14,1,15,23,"proteasome complex","CC"
"GO:1905368",9.55117873207249e-14,1,15,23,"peptidase complex","CC"
"GO:1905369",9.55117873207249e-14,1,15,23,"endopeptidase complex","CC"
"GO:0044422",9.71844034198104e-14,1,121,1134,"organelle part","CC"
"GO:0031146",1.35038068633379e-13,1,15,24,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","BP"
"GO:0051438",1.49744243851077e-13,1,17,31,"regulation of ubiquitin-protein transferase activity","BP"
"GO:0010972",3.47340112787139e-13,1,15,25,"negative regulation of G2/M transition of mitotic cell cycle","BP"
"GO:1902750",3.47340112787139e-13,1,15,25,"negative regulation of cell cycle G2/M phase transition","BP"
"GO:0006521",3.97477444682888e-13,1,14,22,"regulation of cellular amino acid metabolic process","BP"
"GO:2000060",1.00223064259895e-12,1,15,26,"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0051444",1.40141843941174e-12,1,16,30,"negative regulation of ubiquitin-protein transferase activity","BP"
"GO:0043229",2.83517668750966e-12,1,130,1347,"intracellular organelle","CC"
"GO:0043161",3.4691976484396e-12,1,23,64,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP"
"GO:0031397",4.43073377459199e-12,1,19,45,"negative regulation of protein ubiquitination","BP"
"GO:0033238",7.3043141554258e-12,1,14,25,"regulation of cellular amine metabolic process","BP"
"GO:0043618",8.47699811727451e-12,1,17,36,"regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0043488",9.79343797777627e-12,1,19,45,"regulation of mRNA stability","BP"
"GO:1903321",1.12588424117781e-11,1,19,47,"negative regulation of protein modification by small protein conjugation or removal","BP"
"GO:1903050",1.13051244761395e-11,1,21,57,"regulation of proteolysis involved in cellular protein catabolic process","BP"
"GO:2000058",1.27758519758682e-11,1,15,29,"regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0001738",1.40180820157505e-11,1,16,33,"morphogenesis of a polarized epithelium","BP"
"GO:0043487",1.65783030350338e-11,1,19,46,"regulation of RNA stability","BP"
"GO:0006511",1.90294140977239e-11,1,26,83,"ubiquitin-dependent protein catabolic process","BP"
"GO:0019941",2.34595015361833e-11,1,26,84,"modification-dependent protein catabolic process","BP"
"GO:0061418",2.64992802261145e-11,1,15,29,"regulation of transcription from RNA polymerase II promoter in response to hypoxia","BP"
"GO:0043632",3.76797546023516e-11,1,26,86,"modification-dependent macromolecule catabolic process","BP"
"GO:0010498",4.15340989884733e-11,1,23,71,"proteasomal protein catabolic process","BP"
"GO:0010389",4.21773291667204e-11,1,16,34,"regulation of G2/M transition of mitotic cell cycle","BP"
"GO:0060218",5.44010351504615e-11,1,16,35,"hematopoietic stem cell differentiation","BP"
"GO:0043620",5.5986839165052e-11,1,17,39,"regulation of DNA-templated transcription in response to stress","BP"
"GO:0016071",5.74023738861327e-11,1,25,84,"mRNA metabolic process","BP"
"GO:0001736",5.767706924716e-11,1,15,31,"establishment of planar polarity","BP"
"GO:0007164",5.767706924716e-11,1,15,31,"establishment of tissue polarity","BP"
"GO:0060071",5.767706924716e-11,1,15,31,"Wnt signaling pathway, planar cell polarity pathway","BP"
