"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006952",8.15911607613663e-62,1,107,747,"defense response","BP"
"GO:0045087",8.40787006258067e-52,1,81,455,"innate immune response","BP"
"GO:0034097",1.53190540844768e-51,1,90,587,"response to cytokine","BP"
"GO:0002376",7.80567270833078e-47,1,126,1549,"immune system process","BP"
"GO:0019221",1.19161556338995e-44,1,70,359,"cytokine-mediated signaling pathway","BP"
"GO:0006955",1.330644817964e-44,1,103,1017,"immune response","BP"
"GO:0043207",4.4431952291809e-43,1,72,440,"response to external biotic stimulus","BP"
"GO:0051707",4.4431952291809e-43,1,72,440,"response to other organism","BP"
"GO:0009607",1.85735837609253e-42,1,73,467,"response to biotic stimulus","BP"
"GO:0071345",3.56855667057912e-42,1,77,514,"cellular response to cytokine stimulus","BP"
"GO:0009615",1.20991929047261e-40,1,52,208,"response to virus","BP"
"GO:0051607",5.77165327116033e-40,1,45,147,"defense response to virus","BP"
"GO:0006950",1.51103197350573e-37,1,138,2309,"response to stress","BP"
"GO:0009605",9.07991930543011e-37,1,95,1081,"response to external stimulus","BP"
"GO:0098542",1.68272849075562e-35,1,49,214,"defense response to other organism","BP"
"GO:0034340",2.81578391017795e-33,1,31,67,"response to type I interferon","BP"
"GO:0060337",3.80987734631915e-31,1,29,62,"type I interferon signaling pathway","BP"
"GO:0071357",3.80987734631915e-31,1,29,62,"cellular response to type I interferon","BP"
"GO:0002682",4.72964065001016e-31,1,76,754,"regulation of immune system process","BP"
"GO:0034341",2.76892015691729e-30,1,32,84,"response to interferon-gamma","BP"
"GO:0050896",9.08962972134353e-28,1,177,4630,"response to stimulus","BP"
"GO:0010033",9.47712296206935e-28,1,110,1838,"response to organic substance","BP"
"GO:0048525",5.68278779954441e-27,1,27,67,"negative regulation of viral process","BP"
"GO:0071346",1.09397751686876e-24,1,26,71,"cellular response to interferon-gamma","BP"
"GO:0007166",3.16535023336153e-24,1,93,1509,"cell surface receptor signaling pathway","BP"
"GO:0043901",1.05283833359351e-23,1,29,106,"negative regulation of multi-organism process","BP"
"GO:0002252",1.13952039499084e-23,1,62,663,"immune effector process","BP"
"GO:1903901",1.34126073512351e-23,1,23,55,"negative regulation of viral life cycle","BP"
"GO:0071310",3.07460983558874e-23,1,91,1473,"cellular response to organic substance","BP"
"GO:0042221",1.18533322650636e-22,1,116,2305,"response to chemical","BP"
"GO:0007165",1.63609633844524e-22,1,132,3025,"signal transduction","BP"
"GO:0002684",3.74876827537511e-22,1,53,515,"positive regulation of immune system process","BP"
"GO:0051704",4.88401166642148e-22,1,89,1387,"multi-organism process","BP"
"GO:0048584",4.98146636200885e-22,1,79,1186,"positive regulation of response to stimulus","BP"
"GO:0045071",7.15967568581273e-22,1,20,41,"negative regulation of viral genome replication","BP"
"GO:0031347",1.38012764721658e-21,1,46,391,"regulation of defense response","BP"
"GO:1903900",2.51537655102279e-21,1,26,97,"regulation of viral life cycle","BP"
"GO:0007154",9.44426703124147e-21,1,134,3241,"cell communication","BP"
"GO:0051716",1.26239078034281e-20,1,150,3912,"cellular response to stimulus","BP"
"GO:0050792",1.85333317186219e-20,1,30,145,"regulation of viral process","BP"
"GO:0023052",1.87586176752014e-20,1,133,3227,"signaling","BP"
"GO:0050776",2.01105849994782e-20,1,49,481,"regulation of immune response","BP"
"GO:0048583",3.3677190597727e-20,1,107,2232,"regulation of response to stimulus","BP"
"GO:0043900",4.13544741226203e-20,1,36,241,"regulation of multi-organism process","BP"
"GO:0043903",1.61298074062765e-19,1,30,157,"regulation of symbiosis, encompassing mutualism through parasitism","BP"
"GO:0060333",2.06959809162901e-19,1,19,50,"interferon-gamma-mediated signaling pathway","BP"
"GO:0070887",2.76316187255998e-19,1,94,1758,"cellular response to chemical stimulus","BP"
"GO:0048519",1.63967908428719e-18,1,130,3113,"negative regulation of biological process","BP"
"GO:0048518",2.38785310304198e-18,1,131,3285,"positive regulation of biological process","BP"
"GO:0006954",3.32481876233455e-18,1,37,293,"inflammatory response","BP"
"GO:0045069",8.25355295358713e-18,1,20,66,"regulation of viral genome replication","BP"
"GO:0045088",1.56416022735306e-17,1,34,259,"regulation of innate immune response","BP"
"GO:0032101",1.9446597247124e-17,1,38,339,"regulation of response to external stimulus","BP"
"GO:0001817",1.97144800423488e-17,1,38,338,"regulation of cytokine production","BP"
"GO:0001816",4.07970589424591e-16,1,38,372,"cytokine production","BP"
"GO:0050778",4.3419731001288e-16,1,39,388,"positive regulation of immune response","BP"
"GO:0005125",1.47808440845891e-15,1,19,62,"cytokine activity","MF"
"GO:0019079",1.93154945410934e-15,1,20,87,"viral genome replication","BP"
"GO:0080134",3.05851436287471e-15,1,56,848,"regulation of response to stress","BP"
"GO:0009966",8.08377558882776e-15,1,85,1799,"regulation of signal transduction","BP"
"GO:0051239",8.64704711525836e-15,1,76,1492,"regulation of multicellular organismal process","BP"
"GO:0065009",9.20853129468795e-15,1,90,1938,"regulation of molecular function","BP"
"GO:0001818",9.79183222695608e-15,1,23,132,"negative regulation of cytokine production","BP"
"GO:0009617",1.75740561554165e-14,1,30,237,"response to bacterium","BP"
"GO:0048018",3.78148936412671e-14,1,23,120,"receptor ligand activity","MF"
"GO:0002683",4.9288751462103e-14,1,28,214,"negative regulation of immune system process","BP"
"GO:0019058",6.28761839855296e-14,1,28,233,"viral life cycle","BP"
"GO:0050789",1.14073382561826e-13,1,183,6253,"regulation of biological process","BP"
"GO:0010646",1.22328140209042e-13,1,86,1924,"regulation of cell communication","BP"
"GO:0030545",2.18407005239106e-13,1,23,133,"receptor regulator activity","MF"
"GO:0002520",2.21775274064744e-13,1,43,549,"immune system development","BP"
"GO:0023051",3.14517368133135e-13,1,86,1955,"regulation of signaling","BP"
"GO:0031349",4.5540683835867e-13,1,29,259,"positive regulation of defense response","BP"
"GO:0002237",5.86026246128673e-13,1,24,175,"response to molecule of bacterial origin","BP"
"GO:0051241",6.29171603751381e-13,1,42,563,"negative regulation of multicellular organismal process","BP"
"GO:0048534",7.45924544670667e-13,1,41,516,"hematopoietic or lymphoid organ development","BP"
"GO:0002250",8.08600159984611e-13,1,22,155,"adaptive immune response","BP"
"GO:0030097",9.65743726861877e-13,1,40,493,"hemopoiesis","BP"
"GO:0048522",1.67866980169028e-12,1,110,2965,"positive regulation of cellular process","BP"
"GO:0032496",1.75408037300822e-12,1,23,167,"response to lipopolysaccharide","BP"
"GO:0050794",1.83896658062093e-12,1,173,5909,"regulation of cellular process","BP"
"GO:0009967",2.68064298333042e-12,1,53,897,"positive regulation of signal transduction","BP"
"GO:0002697",3.57970369882497e-12,1,22,165,"regulation of immune effector process","BP"
"GO:0048523",4.48567235943384e-12,1,107,2814,"negative regulation of cellular process","BP"
"GO:0051246",6.70119576276741e-12,1,79,1740,"regulation of protein metabolic process","BP"
"GO:0032268",7.93531322652674e-12,1,76,1637,"regulation of cellular protein metabolic process","BP"
"GO:0008009",8.24533407733288e-12,1,10,15,"chemokine activity","MF"
"GO:0002687",8.79987412981792e-12,1,15,59,"positive regulation of leukocyte migration","BP"
"GO:0032103",9.24237788994614e-12,1,20,126,"positive regulation of response to external stimulus","BP"
"GO:0010647",9.80920091552153e-12,1,54,959,"positive regulation of cell communication","BP"
"GO:0035556",1.13674147863219e-11,1,73,1633,"intracellular signal transduction","BP"
"GO:0070098",1.21390881919082e-11,1,11,22,"chemokine-mediated signaling pathway","BP"
"GO:0023056",1.2908428060031e-11,1,54,967,"positive regulation of signaling","BP"
"GO:0010469",1.97429058973184e-11,1,24,187,"regulation of receptor activity","BP"
"GO:0001932",2.06097371220156e-11,1,47,804,"regulation of protein phosphorylation","BP"
"GO:0002690",2.09701732249914e-11,1,13,42,"positive regulation of leukocyte chemotaxis","BP"
"GO:0030595",2.65061804147441e-11,1,16,76,"leukocyte chemotaxis","BP"
"GO:0016032",2.71937822949829e-11,1,45,632,"viral process","BP"
"GO:0032479",3.45017575305599e-11,1,17,99,"regulation of type I interferon production","BP"
"GO:0065007",3.61366931167226e-11,1,184,6598,"biological regulation","BP"
"GO:0032606",4.27198691083302e-11,1,17,100,"type I interferon production","BP"
"GO:0044419",5.0446506783966e-11,1,46,671,"interspecies interaction between organisms","BP"
"GO:0045089",5.67554637825228e-11,1,24,217,"positive regulation of innate immune response","BP"
"GO:1903706",9.47034267947182e-11,1,28,268,"regulation of hemopoiesis","BP"
"GO:0009893",1.03667894748148e-10,1,84,2076,"positive regulation of metabolic process","BP"
"GO:0035455",1.1034005975709e-10,0.999999999999893,9,18,"response to interferon-alpha","BP"
"GO:0044403",1.18292333830649e-10,1,45,664,"symbiosis, encompassing mutualism through parasitism","BP"
"GO:0045824",1.62346964735345e-10,0.999999999994599,10,28,"negative regulation of innate immune response","BP"
"GO:0042379",1.63888234524641e-10,0.999999999998099,10,20,"chemokine receptor binding","MF"
"GO:0005126",1.84537829186173e-10,0.999999999980862,18,116,"cytokine receptor binding","MF"
"GO:0010604",1.87584400141262e-10,1,80,1954,"positive regulation of macromolecule metabolic process","BP"
"GO:0051171",1.91858627673897e-10,1,122,3682,"regulation of nitrogen compound metabolic process","BP"
"GO:0042325",2.13918147522278e-10,1,48,895,"regulation of phosphorylation","BP"
"GO:0060759",2.49197451795923e-10,0.99999999997542,17,114,"regulation of response to cytokine stimulus","BP"
"GO:0002688",2.78363391966965e-10,0.999999999982458,13,51,"regulation of leukocyte chemotaxis","BP"
"GO:0019220",2.82498642770856e-10,1,51,994,"regulation of phosphate metabolic process","BP"
"GO:1902533",2.939759629226e-10,1,37,556,"positive regulation of intracellular signal transduction","BP"
"GO:0002685",3.77214655021411e-10,0.9999999999685,15,77,"regulation of leukocyte migration","BP"
"GO:0051174",4.01000730652897e-10,1,51,1005,"regulation of phosphorus metabolic process","BP"
"GO:0031399",4.34918043873578e-10,1,55,1110,"regulation of protein modification process","BP"
"GO:0002460",4.57087421400732e-10,0.999999999956792,16,104,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"GO:0002253",5.68600666381432e-10,1,27,312,"activation of immune response","BP"
"GO:0060326",5.82453271388033e-10,0.999999999939679,17,109,"cell chemotaxis","BP"
"GO:0033993",1.09491184774219e-09,1,35,531,"response to lipid","BP"
"GO:0001819",1.10952248935749e-09,1,22,214,"positive regulation of cytokine production","BP"
"GO:0080090",1.13846650221305e-09,1,122,3777,"regulation of primary metabolic process","BP"
"GO:0035456",1.20548771035106e-09,0.999999999966449,9,20,"response to interferon-beta","BP"
"GO:0050727",1.2792892060347e-09,0.999999999833497,18,137,"regulation of inflammatory response","BP"
"GO:0006468",1.63344534204101e-09,1,54,1157,"protein phosphorylation","BP"
"GO:0030099",2.52725642440368e-09,0.999999999589327,24,244,"myeloid cell differentiation","BP"
"GO:0050921",3.78262240547498e-09,0.999999999674675,13,64,"positive regulation of chemotaxis","BP"
"GO:1902531",4.57676941897024e-09,1,52,1109,"regulation of intracellular signal transduction","BP"
"GO:0042127",5.77854100214426e-09,1,46,879,"regulation of cell proliferation","BP"
"GO:0050777",7.56489097006371e-09,0.999999999390262,12,60,"negative regulation of immune response","BP"
"GO:0051172",7.79797134468438e-09,1,67,1585,"negative regulation of nitrogen compound metabolic process","BP"
"GO:0032480",8.83567506567248e-09,0.999999999496719,10,39,"negative regulation of type I interferon production","BP"
"GO:0031325",9.08064935982796e-09,1,74,1921,"positive regulation of cellular metabolic process","BP"
"GO:0051173",9.99926154514243e-09,1,72,1850,"positive regulation of nitrogen compound metabolic process","BP"
