"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0008009",8.35519617091528e-10,0.999999999985728,8,15,"chemokine activity","MF"
"GO:0042379",3.89684178905651e-09,0.999999999896542,8,20,"chemokine receptor binding","MF"
"GO:0045236",7.52073933261907e-09,0.999999999932596,6,9,"CXCR chemokine receptor binding","MF"
"GO:0070098",9.0856451741075e-09,0.999999999713611,8,22,"chemokine-mediated signaling pathway","BP"
"GO:0030595",3.36211126118184e-08,0.999999997229183,11,76,"leukocyte chemotaxis","BP"
"GO:0060326",7.67406477820628e-08,0.999999992007936,12,109,"cell chemotaxis","BP"
"GO:0048018",2.37449966499661e-07,0.999999969367109,13,120,"receptor ligand activity","MF"
"GO:0032101",2.84906970504787e-07,0.999999945153264,18,339,"regulation of response to external stimulus","BP"
"GO:0005125",2.87036949220033e-07,0.999999974785114,10,62,"cytokine activity","MF"
"GO:0030545",5.18731916923108e-07,0.999999927757208,13,133,"receptor regulator activity","MF"
"GO:0032496",5.19167714563812e-07,0.999999926942509,13,167,"response to lipopolysaccharide","BP"
"GO:0002687",6.32052929270054e-07,0.999999948372911,9,59,"positive regulation of leukocyte migration","BP"
"GO:0002690",6.74179061195227e-07,0.99999995589617,8,42,"positive regulation of leukocyte chemotaxis","BP"
"GO:0033993",7.45129530872592e-07,0.99999981767537,22,531,"response to lipid","BP"
"GO:0097529",7.47748732839274e-07,0.999999936791195,9,69,"myeloid leukocyte migration","BP"
"GO:0006260",7.49784839431763e-07,0.999999880082727,14,238,"DNA replication","BP"
"GO:0071345",7.65982732130453e-07,0.999999800319877,24,514,"cellular response to cytokine stimulus","BP"
"GO:0002237",8.09106631783417e-07,0.99999988122288,13,175,"response to molecule of bacterial origin","BP"
"GO:0043207",9.31064179852658e-07,0.999999777619374,21,440,"response to external biotic stimulus","BP"
"GO:0051707",9.31064179852658e-07,0.999999777619374,21,440,"response to other organism","BP"
"GO:0009617",1.37705481287765e-06,0.999999751023989,15,237,"response to bacterium","BP"
"GO:0034097",1.85857911521213e-06,0.999999474227419,25,587,"response to cytokine","BP"
"GO:0009607",1.94187806260998e-06,0.999999512698508,21,467,"response to biotic stimulus","BP"
"GO:0032103",2.01058457336014e-06,0.999999739014305,11,126,"positive regulation of response to external stimulus","BP"
"GO:0001664",2.15360046523841e-06,0.999999752994366,10,106,"G-protein coupled receptor binding","MF"
"GO:0002688",2.54193429410629e-06,0.999999796170826,8,51,"regulation of leukocyte chemotaxis","BP"
"GO:0006954",2.58417478004924e-06,0.99999947433444,16,293,"inflammatory response","BP"
"GO:0006261",3.1275988548715e-06,0.999999623096862,10,122,"DNA-dependent DNA replication","BP"
"GO:0007049",3.75394909553231e-06,0.999998633215808,37,1400,"cell cycle","BP"
"GO:0002685",4.48831235305694e-06,0.99999952219672,9,77,"regulation of leukocyte migration","BP"
"GO:0098687",6.76316182706898e-06,0.999998593217442,15,296,"chromosomal region","CC"
"GO:0005126",7.21609148962705e-06,0.999999044354421,10,116,"cytokine receptor binding","MF"
"GO:0006275",7.78802001444222e-06,0.999999240999873,8,88,"regulation of DNA replication","BP"
