"ontology","term","count"
"BP","activation of immune response",4
"BP","activation of innate immune response",4
"BP","anatomical structure development",4
"BP","anatomical structure morphogenesis",4
"BP","angiogenesis",4
"BP","animal organ development",4
"BP","antigen processing and presentation",4
"BP","antigen processing and presentation of exogenous peptide antigen via MHC class I",4
"BP","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",4
"BP","antigen processing and presentation of peptide antigen via MHC class I",4
"BP","biological regulation",4
"BP","biosynthetic process",4
"BP","catabolic process",4
"BP","cell activation",4
"BP","cell activation involved in immune response",4
"BP","cell communication",4
"BP","cell death",4
"BP","cell differentiation",4
"BP","cell proliferation",4
"BP","cell surface receptor signaling pathway",4
"BP","cellular aromatic compound metabolic process",4
"BP","cellular biosynthetic process",4
"BP","cellular catabolic process",4
"BP","cellular developmental process",4
"BP","cellular ketone metabolic process",4
"BP","cellular process",4
"BP","cellular response to chemical stimulus",4
"BP","cellular response to cytokine stimulus",4
"BP","cellular response to decreased oxygen levels",4
"BP","cellular response to hypoxia",4
"BP","cellular response to organic substance",4
"BP","cellular response to stimulus",4
"BP","cellular response to stress",4
"BP","cellular response to tumor necrosis factor",4
"BP","cytokine-mediated signaling pathway",4
"BP","defense response",4
"BP","developmental process",4
"BP","epithelium development",4
"BP","gene expression",4
"BP","granulocyte activation",4
"BP","hematopoietic or lymphoid organ development",4
"BP","hemopoiesis",4
"BP","heterocycle metabolic process",4
"BP","immune effector process",4
"BP","immune response",4
"BP","immune response-activating signal transduction",4
"BP","immune system development",4
"BP","immune system process",4
"BP","innate immune response",4
"BP","innate immune response-activating signal transduction",4
"BP","interspecies interaction between organisms",4
"BP","leukocyte activation",4
"BP","leukocyte activation involved in immune response",4
"BP","leukocyte degranulation",4
"BP","leukocyte mediated immunity",4
"BP","localization",4
"BP","metabolic process",4
"BP","multi-organism process",4
"BP","multicellular organism development",4
"BP","multicellular organismal process",4
"BP","myeloid cell activation involved in immune response",4
"BP","myeloid leukocyte activation",4
"BP","myeloid leukocyte mediated immunity",4
"BP","negative regulation of biological process",4
"BP","negative regulation of catalytic activity",4
"BP","negative regulation of cell communication",4
"BP","negative regulation of cellular metabolic process",4
"BP","negative regulation of cellular process",4
"BP","negative regulation of cellular protein metabolic process",4
"BP","negative regulation of gene expression",4
"BP","negative regulation of macromolecule metabolic process",4
"BP","negative regulation of metabolic process",4
"BP","negative regulation of molecular function",4
"BP","negative regulation of nitrogen compound metabolic process",4
"BP","negative regulation of protein metabolic process",4
"BP","negative regulation of protein modification by small protein conjugation or removal",4
"BP","negative regulation of protein modification process",4
"BP","negative regulation of protein ubiquitination",4
"BP","negative regulation of response to stimulus",4
"BP","negative regulation of signal transduction",4
"BP","negative regulation of signaling",4
"BP","negative regulation of transferase activity",4
"BP","neutrophil activation",4
"BP","neutrophil activation involved in immune response",4
"BP","neutrophil degranulation",4
"BP","neutrophil mediated immunity",4
"BP","NIK/NF-kappaB signaling",4
"BP","nitrogen compound metabolic process",4
"BP","nucleic acid metabolic process",4
"BP","nucleobase-containing compound metabolic process",4
"BP","organic cyclic compound metabolic process",4
"BP","organic substance biosynthetic process",4
"BP","organic substance catabolic process",4
"BP","organic substance metabolic process",4
"BP","organonitrogen compound metabolic process",4
"BP","positive regulation of biological process",4
"BP","positive regulation of biosynthetic process",4
"BP","positive regulation of catabolic process",4
"BP","positive regulation of catalytic activity",4
"BP","positive regulation of cell communication",4
"BP","positive regulation of cell proliferation",4
"BP","positive regulation of cellular biosynthetic process",4
"BP","positive regulation of cellular catabolic process",4
"BP","positive regulation of cellular component organization",4
"BP","positive regulation of cellular metabolic process",4
"BP","positive regulation of cellular process",4
"BP","positive regulation of cellular protein metabolic process",4
"BP","positive regulation of defense response",4
"BP","positive regulation of gene expression",4
"BP","positive regulation of immune response",4
"BP","positive regulation of immune system process",4
"BP","positive regulation of innate immune response",4
"BP","positive regulation of macromolecule biosynthetic process",4
"BP","positive regulation of macromolecule metabolic process",4
"BP","positive regulation of metabolic process",4
"BP","positive regulation of molecular function",4
"BP","positive regulation of nitrogen compound metabolic process",4
"BP","positive regulation of nucleobase-containing compound metabolic process",4
"BP","positive regulation of protein metabolic process",4
"BP","positive regulation of protein modification process",4
"BP","positive regulation of proteolysis",4
"BP","positive regulation of response to stimulus",4
"BP","positive regulation of signal transduction",4
"BP","positive regulation of signaling",4
"BP","primary metabolic process",4
"BP","regulated exocytosis",4
"BP","regulation of anatomical structure morphogenesis",4
"BP","regulation of biological process",4
"BP","regulation of biological quality",4
"BP","regulation of catabolic process",4
"BP","regulation of catalytic activity",4
"BP","regulation of cell differentiation",4
"BP","regulation of cell proliferation",4
"BP","regulation of cellular catabolic process",4
"BP","regulation of cellular component organization",4
"BP","regulation of cellular localization",4
"BP","regulation of cellular metabolic process",4
"BP","regulation of cellular process",4
"BP","regulation of cellular protein metabolic process",4
"BP","regulation of developmental process",4
"BP","regulation of hemopoiesis",4
"BP","regulation of immune system process",4
"BP","regulation of innate immune response",4
"BP","regulation of macromolecule metabolic process",4
"BP","regulation of metabolic process",4
"BP","regulation of molecular function",4
"BP","regulation of mRNA catabolic process",4
"BP","regulation of mRNA metabolic process",4
"BP","regulation of multicellular organismal development",4
"BP","regulation of multicellular organismal process",4
