"Gene","Direction","Count","Files"
"B2M","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CHMP5","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CMPK2","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CTSS","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CXCL5","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EIF1B","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EPAS1","DOWN",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"HNRNPL","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IFI16","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IFI30","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IFI35","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IFIH1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IFIT1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IL8","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"LAP3","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
