"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",17.6204043041521,0.00748215775775761,0.250347532329352,0.951106768915773,NA,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",165.532523761713,-0.105854718675653,0.172812158646477,0.442093573758353,0.617657217935673,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",124.999908500926,-0.27210035702223,0.228992665247143,0.0952900241175587,0.221792403924158,".","acetoacetyl-CoA_synthetase"
"AADAC",230.099680692171,0.339555041878188,0.202300087953259,0.0318142508967481,0.103501563842737,".","arylacetamide_deacetylase"
"AADAT",75.2990271412555,0.896645344269966,0.305582735135832,0.000266635181045469,0.00280390402323937,".","aminoadipate_aminotransferase"
"AAGAB",417.358619013824,0.235815118488057,0.144278863625329,0.0593185879048823,0.160111825267016,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",13.2775579084477,-0.00196947328447722,0.262337989446769,0.98266340157663,NA,".","AP2_associated_kinase_1"
"AAMP",456.853490911309,-0.124383671647373,0.138549074537081,0.302520975352152,0.484805485565003,".","angio-associated__migratory_cell_protein"
"AARS",969.514538092969,0.12889668751302,0.138329810857868,0.286171834185768,0.467267989798904,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",16.8567481365173,-0.0316711721626685,0.258468695217068,0.769445074768343,NA,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",8.97253393130055,0.220341079144233,0.385350968569892,0.0550561258564509,NA,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",312.68515730503,0.165880107738949,0.161533465771532,0.215917672580757,0.387916462284403,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",909.187475924923,0.211310551174062,0.123233218475966,0.0567082057579646,0.155469869640839,".","apoptosis_antagonizing_transcription_factor"
"ABCA1",73.6629697434032,-0.488575118666742,0.309052986848517,0.0175359009930825,0.066836913630244,"ATP-BINDING_CASSETTE__SUBFAMILY_A__MEMBER_1__ABCA1,HYPOALPHALIPOPROTEINEMIA__PRIMARY,TANGIER_DISEASE__TGD","ATP-binding_cassette__sub-family_A__ABC1__member_1"
"ABCA2",69.8065805281551,-0.058305226609233,0.205316728141321,0.682182502459726,0.803636098909918,".","ATP-binding_cassette__sub-family_A__ABC1__member_2"
"ABCA3",57.3043809894167,-0.0269967025837109,0.220057144680079,0.845293157879382,0.911359866232447,"SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__3__SMDP3","ATP-binding_cassette__sub-family_A__ABC1__member_3"
"ABCA5",24.4998537033774,0.18116839796933,0.299455539281667,0.202035693715395,0.371745801677818,".","ATP-binding_cassette__sub-family_A__ABC1__member_5"
"ABCA7",8.89186150083647,-0.0129465563892468,0.268211534867436,0.880232615349367,NA,".","ATP-binding_cassette__sub-family_A__ABC1__member_7"
"ABCB10",101.449433090128,0.227803171029676,0.218534535356548,0.1477746155061,0.301100187494497,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_10"
"ABCB6",64.0568472723833,0.0807351201879868,0.221723768546273,0.574025999453225,0.725281039693494,"BLOOD_GROUP__LANGEREIS_SYSTEM__LAN,MICROPHTHALMIA__ISOLATED__WITH_COLOBOMA_7__MCOPCB7","ATP-binding_cassette__sub-family_B__MDR_TAP__member_6"
"ABCB7",174.702825803197,0.222582399681591,0.183317316743903,0.125581817387006,0.267738045716336,"ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA__ASAT","ATP-binding_cassette__sub-family_B__MDR_TAP__member_7"
"ABCB8",36.0233756420615,0.0741845993418163,0.237855919304032,0.589630284141024,0.736826806981384,".","ATP-binding_cassette__sub-family_B__MDR_TAP__member_8"
"ABCC1",382.083773012321,-0.645109650747271,0.224358208354943,0.000518232407826036,0.00469002105311065,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_1"
"ABCC10",24.0596073142249,-0.377967647290387,0.468916007575499,0.0470404137259533,0.136983625169208,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_10"
"ABCC2",1001.50082182923,-0.273008098525564,0.132012859600642,0.0198803015509566,0.0732362788504779,"DUBIN-JOHNSON_SYNDROME__DJS","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_2"
"ABCC3",363.901135202171,0.518873599095823,0.188536119116699,0.00113690065094025,0.00858387095376852,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_3"
"ABCC4",56.3472735284127,-0.2109440866113,0.26199642139307,0.186633458205584,0.352601995455014,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_4"
"ABCC5",33.9063146005643,0.0230082224728307,0.23928746861129,0.859441179282625,0.920104233083462,".","ATP-binding_cassette__sub-family_C__CFTR_MRP__member_5"
"ABCD1",20.7412841589517,-0.0570572003979355,0.255880965524139,0.630852409579858,NA,"ADRENOLEUKODYSTROPHY__ALD","ATP-binding_cassette__sub-family_D__ALD__member_1"
"ABCD3",213.958934840712,0.206564598009433,0.21374527864587,0.181667386250066,0.346826123560725,".","ATP-binding_cassette__sub-family_D__ALD__member_3"
"ABCD4",49.8154375785079,0.0218498367778753,0.220358292789561,0.876381836260561,0.930973889127865,"METHYLMALONIC_ACIDURIA_AND_HOMOCYSTINURIA__cblJ_TYPE__MAHCJ","ATP-binding_cassette__sub-family_D__ALD__member_4"
"ABCE1",541.057467022364,0.519402675198069,0.154933467810541,0.000165134194892808,0.00194027608802554,".","ATP-binding_cassette__sub-family_E__OABP__member_1"
"ABCF1",266.733590391939,-0.099278405926387,0.155306090331156,0.444578580417092,0.619647174671663,".","ATP-binding_cassette__sub-family_F__GCN20__member_1"
"ABCF2",446.261720541525,-0.0351824963930269,0.138676231065227,0.769817160775785,0.864446147439569,".","ATP-binding_cassette__sub-family_F__GCN20__member_2"
"ABCF3",36.5501736669222,-0.043969522339759,0.235769454465431,0.739836235745024,0.84575025234946,".","ATP-binding_cassette__sub-family_F__GCN20__member_3"
"ABCG2",362.413050001367,0.633154029422086,0.165296983886621,1.92935286143713e-05,0.000347536900987953,"BLOOD_GROUP__JUNIOR_SYSTEM__JR,URIC_ACID_CONCENTRATION__SERUM__QUANTITATIVE_TRAIT_LOCUS_1__UAQTL1","ATP-binding_cassette__sub-family_G__WHITE__member_2"
"ABHD10",55.4439838877839,0.447854798053691,0.33740248059517,0.0294427937576957,0.097660140617358,".","abhydrolase_domain_containing_10"
"ABHD11",40.1101939068411,0.0946714585630689,0.236876058348069,0.503957081600572,0.67052271901983,".","abhydrolase_domain_containing_11"
"ABHD12",294.988519511079,-0.01948939583935,0.146424279614971,0.875279453414878,0.930147996923649,"POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_","abhydrolase_domain_containing_12"
"ABHD13",26.6012273876908,-0.0832992910957891,0.252710272916722,0.520655892157689,0.683739190344136,".","abhydrolase_domain_containing_13"
"ABHD14A",14.1943163621251,-0.00915012916082398,0.258116796550811,0.929357375890217,NA,".","abhydrolase_domain_containing_14A"
"ABHD14B",49.7165422603541,0.216115154950012,0.282479706779166,0.175527058068245,0.339354668649461,".","abhydrolase_domain_containing_14B"
"ABHD15",61.5461815786601,-0.0926747713248457,0.221188130423796,0.520635471825767,0.683739190344136,".","abhydrolase_domain_containing_15"
"ABHD16A",59.7866929717842,0.704133765428151,0.405909826224591,0.0066061888678233,0.0327266597391782,".","abhydrolase_domain_containing_16A"
"ABHD16B",14.3314755897771,-0.0254250752695786,0.256123117344726,0.816504208394117,NA,".","abhydrolase_domain_containing_16B"
"ABHD2",372.781619663872,-0.425316642459997,0.176790077709581,0.00425651773216503,0.0235679508342079,".","abhydrolase_domain_containing_2"
"ABHD3",127.476805645122,0.206825907137642,0.213553592470078,0.181326251231825,0.346657375164627,".","abhydrolase_domain_containing_3"
"ABHD4",361.822673386347,-0.139802440765925,0.150032293639867,0.272646022066761,0.452571655923751,".","abhydrolase_domain_containing_4"
"ABHD5",103.171029195507,0.586939020910161,0.257613384355025,0.00314679153221552,0.0187537836752336,"CHANARIN-DORFMAN_SYNDROME__CDS","abhydrolase_domain_containing_5"
"ABHD6",51.9191768681366,-0.182266500063514,0.25239268536419,0.239146231386635,0.41496858329923,".","abhydrolase_domain_containing_6"
"ABHD8",23.713518104388,-0.0746535568943649,0.257975653595902,0.541870357185661,0.700213335296392,".","abhydrolase_domain_containing_8"
"ABI1",404.798631178416,0.541545416833223,0.172591858438114,0.000317885442890828,0.00323307006058775,".","abl-interactor_1"
"ABI2",142.636463346321,0.0430027170213931,0.173800576032777,0.755493592445922,0.855340760437786,".","abl-interactor_2"
"ABL1",384.277200970696,-0.698582617874102,0.162332686408697,2.20025490672696e-06,5.98431936529336e-05,"LEUKEMIA__CHRONIC_MYELOID__CML","c-abl_oncogene_1__non-receptor_tyrosine_kinase"
"ABL2",110.12679989654,-0.528803134954056,0.246043914913091,0.00512404689455211,0.0271052199639641,".","c-abl_oncogene_2__non-receptor_tyrosine_kinase"
"ABLIM1",33.8315282669525,-0.0616324113813889,0.245123400427678,0.635084369196862,0.769096027689922,".","actin_binding_LIM_protein_1"
"ABT1",148.232846298106,0.037756982174933,0.171229529526378,0.783505084068505,0.873041945571796,".","activator_of_basal_transcription_1"
"ABTB1",42.1464982516917,-0.289378365423951,0.329429938678013,0.0960344981469325,0.222759482458138,".","ankyrin_repeat_and_BTB__POZ__domain_containing_1"
"ABTB2",123.33409172048,-0.386011800804404,0.239399805250156,0.0275259581036314,0.0927624686897086,".","ankyrin_repeat_and_BTB__POZ__domain_containing_2"
"ACAA1",131.354733521748,0.128059562258432,0.187270324020708,0.373154366546619,0.55441892188395,".","acetyl-CoA_acyltransferase_1"
"ACAA2",289.211018444468,0.328529271150747,0.17090579363738,0.0210487036990158,0.0761162351089455,".","acetyl-CoA_acyltransferase_2"
"ACACA",241.183345925289,-0.186206649357611,0.168060542433787,0.174984909854836,0.338442812150741,"ACETYL-CoA_CARBOXYLASE_DEFICIENCY__ACACAD","acetyl-CoA_carboxylase_alpha"
"ACACB",83.2974204259463,-0.22992706207937,0.245024490682315,0.155667526419592,0.311064612777438,".","acetyl-CoA_carboxylase_beta"
"ACAD10",46.0227362577412,-0.0430711483336217,0.22949564570355,0.751562602969937,0.853733146132792,".","acyl-CoA_dehydrogenase_family__member_10"
"ACAD8",46.2905090433587,0.0464263424704173,0.227200729546228,0.737969797935325,0.844285990226055,"ISOBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY","acyl-CoA_dehydrogenase_family__member_8"
"ACAD9",80.5734174515139,0.0707971826035181,0.202817639090345,0.62338739762931,0.761856212403132,"ACYL-CoA_DEHYDROGENASE_FAMILY__MEMBER_9__DEFICIENCY_OF","acyl-CoA_dehydrogenase_family__member_9"
"ACADM",122.12670414417,0.194834640275487,0.20120132866928,0.196054816621595,0.364015141052781,"ACYL-CoA_DEHYDROGENASE__MEDIUM-CHAIN__DEFICIENCY_OF__ACADMD","acyl-CoA_dehydrogenase__C-4_to_C-12_straight_chain"
"ACADS",26.709510369798,-0.0913393434694161,0.252136359314983,0.490184242220507,0.658955321976909,"ACYL-CoA_DEHYDROGENASE__SHORT-CHAIN__DEFICIENCY_OF__ACADSD","acyl-CoA_dehydrogenase__C-2_to_C-3_short_chain"
"ACADSB",35.2594257021881,0.0602562432488619,0.242111085940976,0.648966303892413,0.779590417208907,"2-METHYLBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY","acyl-CoA_dehydrogenase__short_branched_chain"
"ACADVL",111.509411095567,-0.00272611900079568,0.184643939865208,0.983206932481007,0.991572453650226,"ACYL-CoA_DEHYDROGENASE__VERY_LONG-CHAIN__DEFICIENCY_OF__ACADVLD","acyl-CoA_dehydrogenase__very_long_chain"
"ACAP1",24.1853162197325,-0.249770648837863,0.352065848349245,0.106267348563366,0.23916381002271,".","ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_1"
"ACAP2",63.1213859933906,0.0846805950478689,0.222668627336195,0.556619787664479,0.711977961812771,".","ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_2"
