"","baseMean","log2FoldChange","lfcSE","pvalue","padj","mim_morbid_descrip","ncbi_name"
"A4GALT",17.6204043041521,0.140942971873319,0.304959227810759,0.337871697534806,0.542052993058256,"BLOOD_GROUP__P1PK_SYSTEM","alpha_1_4-galactosyltransferase"
"AAAS",165.532523761713,-0.154307810502885,0.180186942315348,0.299977749185298,0.503991464036494,"ACHALASIA-ADDISONIANISM-ALACRIMA_SYNDROME__AAAS","achalasia__adrenocortical_insufficiency__alacrimia"
"AACS",124.999908500926,-0.753355014258404,0.253333997109615,0.000362683832154041,0.00317863873631995,".","acetoacetyl-CoA_synthetase"
"AADAC",230.099680692171,-0.0160934356854405,0.170733213543688,0.909375829110634,0.956096098211137,".","arylacetamide_deacetylase"
"AADAT",75.2990271412555,0.492479163868074,0.28222319183189,0.0168903725750145,0.066081119806245,".","aminoadipate_aminotransferase"
"AAGAB",417.358619013824,0.246167531492086,0.144198723500018,0.0553752394485019,0.159593967527962,"KERATODERMA__PALMOPLANTAR__PUNCTATE_TYPE_IA__PPKP1A","alpha-_and_gamma-adaptin_binding_protein"
"AAK1",13.2775579084477,-0.15787282334514,0.330083907616783,0.241861945155459,NA,".","AP2_associated_kinase_1"
"AAMP",456.853490911309,0.0121342317033797,0.137920217762775,0.923211764935361,0.961652163375976,".","angio-associated__migratory_cell_protein"
"AARS",969.514538092969,-0.0942939934144257,0.138147510343468,0.446534668970224,0.64026605967754,"CHARCOT-MARIE-TOOTH_DISEASE__AXONAL__TYPE_2N__CMT2N","alanyl-tRNA_synthetase"
"AARS2",16.8567481365173,-0.0266998336721956,0.281392505506997,0.835764198924176,0.917231738364906,"COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_8__COXPD8","alanyl-tRNA_synthetase_2__mitochondrial"
"AASDH",8.97253393130055,0.150288473542058,0.333927274599537,0.230718397125006,NA,".","aminoadipate-semialdehyde_dehydrogenase"
"AASDHPPT",312.68515730503,0.194208251192805,0.164876098552451,0.169568459959457,0.346808668923056,".","aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase"
"AATF",909.187475924923,0.235190237253257,0.123939803582997,0.0387592223519672,0.123038815473446,".","apoptosis_antagonizing_transcription_factor"
